Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,35.4,27.4,30.7,12.6,2.4,67.0
2022-06-30,30.9,25.5,28.0,11.2,17.5,84.0
2022-07-01,30.4,25.6,27.8,10.4,20.3,79.0
2022-07-02,33.4,25.7,28.9,18.4,2.5,72.0
2022-07-03,31.2,27.4,29.0,16.4,0.0,69.0
2022-07-04,35.9,27.6,31.0,17.6,0.0,64.0
2022-07-05,36.1,28.5,31.2,14.0,0.0,64.0
2022-07-06,34.0,27.9,30.3,10.1,0.1,67.0
2022-07-07,30.3,27.0,28.2,12.6,0.6,81.0
2022-07-08,30.6,25.5,28.1,7.2,0.0,75.0
2022-07-09,31.3,26.1,27.9,7.2,4.0,77.0
2022-07-10,30.8,24.6,27.7,15.5,8.9,76.0
2022-07-11,30.8,25.0,27.5,8.3,18.1,80.0
2022-07-12,31.3,25.3,27.8,8.6,8.7,80.0
2022-07-13,29.9,24.9,27.0,9.7,14.8,86.0
2022-07-14,28.7,24.5,26.3,10.4,19.6,90.0
2022-07-15,31.8,24.9,27.7,9.0,3.1,83.0
2022-07-16,32.1,25.3,28.6,9.0,0.4,81.0
2022-07-17,35.5,26.5,30.6,12.1,0.0,72.0
2022-07-18,37.1,28.4,31.9,15.5,0.0,65.0
2022-07-19,34.9,27.6,31.0,14.8,0.1,71.0
2022-07-20,32.3,26.3,29.2,16.6,8.4,80.0
2022-07-21,30.5,25.2,27.3,13.3,21.6,85.0
2022-07-22,30.9,25.2,27.5,17.6,0.7,80.0
2022-07-23,31.5,24.8,27.8,13.7,3.6,82.0
2022-07-24,33.0,24.8,28.5,15.5,0.1,79.0
2022-07-25,33.6,24.1,28.7,14.0,0.0,75.0
2022-07-26,34.2,24.4,28.9,15.5,0.0,76.0
2022-07-27,35.2,25.5,29.7,15.1,0.0,78.0
2022-07-28,34.8,25.5,29.7,15.1,0.0,78.0
2022-07-29,35.0,25.8,29.8,17.3,0.0,79.0
2022-07-30,34.5,26.9,30.0,13.7,1.9,75.0
2022-07-31,35.2,26.9,30.0,9.7,0.1,74.0
2022-08-01,33.7,27.1,29.9,12.6,1.3,73.0
2022-08-02,31.9,26.8,29.1,13.0,1.1,78.0
2022-08-03,33.6,26.6,29.6,9.4,0.0,77.0
2022-08-04,34.8,27.4,30.5,11.2,0.2,71.0
2022-08-05,33.1,27.2,29.6,13.3,0.0,75.0
2022-08-06,29.6,25.5,27.6,9.4,12.5,84.0
2022-08-07,27.2,24.5,26.0,5.4,5.3,94.0
2022-08-08,29.0,23.9,26.4,11.9,28.6,86.0
2022-08-09,28.1,23.7,25.6,10.4,57.9,87.0
2022-08-10,33.1,24.2,28.2,9.7,0.0,77.0
2022-08-11,31.7,25.3,28.1,13.7,1.4,78.0
2022-08-12,31.1,25.3,27.6,9.7,0.0,80.0
2022-08-13,32.0,25.0,27.9,8.6,0.1,78.0
2022-08-14,33.5,25.6,28.9,9.4,0.5,74.0
2022-08-15,33.7,25.4,29.1,11.5,2.2,75.0
2022-08-16,32.8,25.8,28.9,10.1,0.8,75.0
2022-08-17,32.2,25.1,28.2,9.0,2.5,79.0
2022-08-18,33.2,25.1,28.7,13.7,0.2,77.0
2022-08-19,33.1,25.6,29.0,10.1,0.2,77.0
2022-08-20,29.9,25.5,27.6,7.2,18.0,81.0
2022-08-21,29.4,24.3,26.5,13.7,4.4,87.0
2022-08-22,34.4,25.3,29.0,13.3,0.0,75.0
2022-08-23,32.9,25.7,29.1,10.4,0.0,76.0
2022-08-24,34.0,26.2,29.4,11.9,4.0,79.0
2022-08-25,32.8,25.8,28.9,15.9,0.0,81.0
2022-08-26,29.9,24.8,27.0,17.5,3.3,79.0
2022-08-27,33.1,25.4,28.1,13.0,0.0,77.0
2022-08-28,34.2,24.8,29.2,15.5,0.1,78.0
2022-08-29,34.0,25.0,28.9,17.3,0.1,79.0
2022-08-30,31.2,25.5,28.1,11.5,0.1,82.0
2022-08-31,34.2,26.3,29.4,15.8,0.0,80.0
2022-09-01,32.7,26.3,28.6,14.0,5.7,76.0
2022-09-02,31.0,25.0,27.7,13.0,14.3,78.0
2022-09-03,32.9,25.2,28.5,12.6,0.4,77.0
2022-09-04,31.7,26.3,28.6,11.9,7.5,80.0
2022-09-05,31.5,25.5,27.9,9.4,6.8,74.0
2022-09-06,32.4,24.7,28.3,15.1,0.2,69.0
2022-09-07,30.7,24.3,27.2,18.0,16.1,74.0
2022-09-08,26.2,23.8,24.8,12.6,41.0,94.0
2022-09-09,25.7,23.5,24.3,8.3,42.0,95.0
2022-09-10,26.7,23.9,25.3,7.9,26.2,90.0
2022-09-11,30.1,24.4,26.9,9.4,1.9,84.0
2022-09-12,30.6,24.3,26.8,10.4,0.4,82.0
2022-09-13,30.3,24.1,27.0,11.5,0.0,85.0
2022-09-14,30.8,24.9,27.3,8.6,0.0,84.0
2022-09-15,31.8,25.6,28.0,9.0,1.2,82.0
2022-09-16,31.7,24.9,28.0,9.7,0.4,82.0
2022-09-17,29.2,25.0,26.7,11.5,3.4,89.0
2022-09-18,29.9,24.5,26.9,9.0,1.5,86.0
2022-09-19,31.3,24.5,27.8,9.4,0.2,81.0
2022-09-20,33.2,24.9,28.3,14.4,0.1,82.0
2022-09-21,29.3,24.5,26.6,9.4,21.3,80.0
2022-09-22,29.0,23.8,25.8,10.1,24.7,84.0
2022-09-23,27.5,23.7,25.0,14.0,48.9,89.0
2022-09-24,24.7,23.2,24.2,12.8,68.4,92.0
2022-09-25,27.7,23.2,24.8,7.4,42.9,90.0
2022-09-26,26.9,23.0,25.0,15.5,9.2,88.0
2022-09-27,31.2,23.5,26.8,13.7,11.3,79.0
2022-09-28,27.1,23.7,25.3,37.4,135.2,93.0
2022-09-29,28.1,23.9,26.2,32.8,40.9,87.0
2022-09-30,28.4,23.6,25.6,10.8,12.0,89.0
2022-10-01,28.0,23.8,25.7,9.4,7.8,90.0
2022-10-02,26.3,23.7,24.5,6.3,21.8,95.0
2022-10-03,28.3,23.3,25.4,11.5,10.3,87.0
2022-10-04,28.7,23.2,25.6,11.9,6.7,87.0
2022-10-05,28.1,24.3,25.7,12.6,7.7,88.0
2022-10-06,30.2,23.3,26.2,11.9,8.5,86.0
2022-10-07,27.9,23.6,25.6,14.4,18.4,88.0
2022-10-08,29.4,24.2,25.8,12.2,12.3,86.0
2022-10-09,26.8,24.0,25.2,22.0,40.5,89.0
2022-10-10,25.0,20.4,21.6,27.7,86.3,91.0
2022-10-11,24.8,20.9,22.4,16.6,2.0,77.0
2022-10-12,26.4,21.1,23.0,14.4,0.4,72.0
2022-10-13,28.0,21.1,23.8,18.0,0.6,69.0
2022-10-14,25.4,21.1,23.5,19.3,1.1,69.0
2022-10-15,24.4,20.9,22.9,21.3,23.6,79.0
2022-10-16,27.6,21.7,23.8,21.0,0.9,66.0
2022-10-17,28.6,21.1,24.4,25.5,0.0,69.0
2022-10-18,28.2,21.4,24.0,25.2,0.0,65.0
2022-10-19,22.5,18.2,21.1,25.6,8.2,71.0
2022-10-20,19.1,17.2,18.4,23.5,1.9,86.0
2022-10-21,22.0,19.2,20.8,20.3,24.5,92.0
2022-10-22,24.8,21.0,22.8,20.3,16.3,89.0
2022-10-23,29.6,21.4,24.5,10.1,0.0,79.0
2022-10-24,28.5,21.8,24.8,14.8,0.4,81.0
2022-10-25,24.1,22.6,23.6,17.2,51.1,92.0
2022-10-26,25.8,21.3,23.3,14.8,5.0,92.0
2022-10-27,26.4,22.9,24.2,13.3,1.8,91.0
2022-10-28,26.2,23.2,24.6,20.5,2.5,87.0
2022-10-29,26.1,22.2,24.0,18.0,5.3,85.0
2022-10-30,26.9,21.5,23.7,18.0,1.7,82.0
2022-10-31,27.0,21.6,23.9,24.2,1.0,76.0
2022-11-01,27.1,19.9,23.4,25.2,0.0,69.0
2022-11-02,27.8,18.3,22.5,11.8,0.0,65.0
2022-11-03,28.2,17.4,22.1,11.2,0.0,65.0
2022-11-04,27.5,18.4,22.4,14.0,0.1,74.0
2022-11-05,25.8,19.7,22.6,19.1,2.9,76.0
2022-11-06,24.9,21.0,22.7,15.5,2.1,84.0
2022-11-07,26.0,20.4,23.1,11.9,0.5,86.0
2022-11-08,26.3,20.6,23.1,11.2,1.1,83.0
2022-11-09,27.1,20.1,23.4,10.1,1.9,85.0
2022-11-10,27.0,21.2,23.6,13.8,2.5,86.0
2022-11-11,27.2,21.8,24.3,10.4,1.3,86.0
2022-11-12,27.3,21.8,24.3,11.9,0.2,87.0
2022-11-13,26.8,21.8,24.2,10.8,1.7,87.0
2022-11-14,28.1,22.3,24.9,10.8,1.9,85.0
2022-11-15,27.6,23.1,24.8,9.0,1.2,87.0
2022-11-16,28.1,23.2,25.2,12.6,1.0,88.0
2022-11-17,28.5,22.9,25.3,13.0,1.8,88.0
2022-11-18,28.7,23.3,25.5,14.4,1.9,87.0
2022-11-19,28.3,23.6,25.5,11.9,2.7,83.0
2022-11-20,26.8,23.0,24.6,15.8,18.1,87.0
2022-11-21,26.8,22.9,24.4,15.5,10.5,89.0
2022-11-22,25.9,23.4,24.3,16.2,21.2,93.0
2022-11-23,25.7,23.5,24.2,13.7,24.0,94.0
2022-11-24,26.3,23.7,24.7,11.2,14.1,91.0
2022-11-25,27.3,23.3,25.0,10.1,2.6,89.0
2022-11-26,27.5,23.3,25.1,11.5,3.2,90.0
2022-11-27,29.6,23.0,25.7,12.2,2.3,88.0
2022-11-28,30.5,23.8,26.5,10.8,0.0,84.0
2022-11-29,31.3,24.2,27.0,11.9,0.3,86.0
2022-11-30,29.7,24.0,26.1,16.9,3.1,88.0
2022-12-01,24.2,18.9,22.0,19.9,44.4,90.0
2022-12-02,19.9,18.1,18.7,22.3,5.2,92.0
2022-12-03,21.2,18.4,19.7,14.4,0.5,87.0
2022-12-04,22.0,20.2,21.0,15.4,22.0,90.0
2022-12-05,20.8,16.7,19.0,23.8,15.0,94.0
2022-12-06,19.9,16.4,18.1,17.3,7.1,86.0
2022-12-07,19.7,18.0,18.8,18.7,9.5,90.0
2022-12-08,19.8,18.7,19.3,18.0,11.6,91.0
2022-12-09,20.6,18.3,19.4,14.0,9.0,89.0
2022-12-10,20.4,19.7,20.1,13.7,11.5,92.0
2022-12-11,20.1,18.3,19.5,14.5,18.5,89.0
2022-12-12,17.9,16.5,17.4,18.1,8.1,87.0
2022-12-13,20.4,15.6,17.6,10.8,0.2,76.0
2022-12-14,21.0,15.3,18.1,21.4,0.6,70.0
2022-12-15,20.5,14.2,17.1,11.2,0.0,77.0
2022-12-16,20.7,15.2,18.1,17.3,2.4,86.0
2022-12-17,18.3,14.8,16.2,27.7,6.3,78.0
2022-12-18,16.4,14.1,14.9,26.1,0.4,64.0
2022-12-19,18.0,13.1,15.4,13.0,0.0,69.0
2022-12-20,19.5,15.8,17.4,9.4,0.2,79.0
2022-12-21,18.2,14.5,17.1,19.1,12.4,83.0
2022-12-22,19.8,13.7,16.9,8.3,0.0,77.0
2022-12-23,21.5,15.1,18.3,11.2,0.7,78.0
2022-12-24,19.3,17.5,18.6,15.8,6.9,87.0
2022-12-25,20.3,16.1,17.9,11.6,0.0,85.0
2022-12-26,20.4,16.0,18.1,7.5,0.1,84.0
2022-12-27,20.0,16.5,18.5,6.8,1.0,89.0
2022-12-28,22.5,16.7,19.4,20.2,10.8,87.0
2022-12-29,16.4,14.3,15.3,21.3,1.7,90.0
2022-12-30,15.2,13.4,14.2,19.6,1.8,82.0
2022-12-31,18.3,15.0,16.4,16.2,2.9,78.0
2023-01-01,19.7,15.9,17.5,15.5,2.6,80.0
2023-01-02,18.0,17.0,17.5,16.5,4.5,83.0
2023-01-03,18.7,16.8,17.6,18.2,4.3,82.0
2023-01-04,18.7,16.7,17.7,15.6,1.4,86.0
2023-01-05,19.1,18.0,18.4,18.3,10.0,91.0
2023-01-06,20.9,17.8,19.2,23.9,12.3,82.0
2023-01-07,21.0,17.0,18.5,16.4,0.0,73.0
2023-01-08,19.3,17.6,18.0,12.2,0.0,80.0
2023-01-09,19.5,17.8,18.7,11.9,1.1,88.0
2023-01-10,19.2,18.4,18.8,13.5,7.1,95.0
2023-01-11,20.3,18.8,19.5,9.4,13.1,93.0
2023-01-12,21.8,18.5,20.2,10.1,12.0,92.0
2023-01-13,28.1,17.8,22.3,9.4,0.0,83.0
2023-01-14,30.6,18.0,23.5,9.0,0.0,71.0
2023-01-15,22.9,18.1,20.3,20.4,12.9,89.0
2023-01-16,18.5,15.3,16.3,22.7,6.5,90.0
2023-01-17,16.1,15.3,15.8,15.5,6.8,88.0
2023-01-18,17.0,14.9,16.2,15.3,6.7,89.0
2023-01-19,17.0,14.8,15.9,16.6,4.7,85.0
2023-01-20,17.5,15.8,16.3,14.6,2.1,87.0
2023-01-21,20.4,15.9,18.1,10.1,0.0,88.0
2023-01-22,24.4,15.2,19.6,13.7,0.0,88.0
2023-01-23,24.1,18.6,20.9,13.0,1.4,91.0
2023-01-24,20.5,13.2,16.3,29.9,11.7,88.0
2023-01-25,16.8,13.4,14.8,14.0,0.0,74.0
2023-01-26,19.6,13.4,16.5,10.1,0.2,85.0
2023-01-27,18.2,14.0,16.6,27.8,9.4,92.0
2023-01-28,16.1,12.6,14.2,20.9,0.1,71.0
2023-01-29,18.4,12.6,15.1,21.6,0.0,63.0
2023-01-30,19.5,11.0,15.4,13.3,0.0,65.0
2023-01-31,21.0,10.4,15.6,11.5,0.0,75.0
2023-02-01,20.9,13.7,17.7,7.9,0.0,90.0
2023-02-02,21.1,18.6,19.4,9.0,1.1,94.0
2023-02-03,20.2,19.5,19.8,8.3,7.6,97.0
