Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,33.5,26.7,29.9,25.2,0.3,68.0
2022-06-30,33.2,26.1,29.2,24.5,0.2,71.0
2022-07-01,31.5,26.6,28.3,26.5,0.0,71.0
2022-07-02,33.2,26.9,29.6,19.8,0.1,64.0
2022-07-03,34.1,26.1,29.8,20.3,0.0,62.0
2022-07-04,33.8,26.5,30.0,22.3,0.0,61.0
2022-07-05,33.7,27.4,30.3,18.7,0.0,64.0
2022-07-06,33.8,27.4,30.2,18.0,4.3,60.0
2022-07-07,33.1,26.0,29.3,19.1,3.7,69.0
2022-07-08,30.6,25.0,27.4,12.2,19.5,80.0
2022-07-09,29.5,25.3,27.1,23.8,32.2,75.0
2022-07-10,29.0,25.5,26.7,19.6,10.5,81.0
2022-07-11,29.5,24.4,26.6,21.6,1.1,80.0
2022-07-12,30.9,25.2,27.5,17.6,8.8,76.0
2022-07-13,29.3,24.2,26.6,16.2,8.1,81.0
2022-07-14,29.7,24.8,27.0,15.2,0.0,81.0
2022-07-15,30.7,25.1,27.5,14.0,0.4,79.0
2022-07-16,32.3,25.5,28.4,14.0,3.9,76.0
2022-07-17,32.0,25.4,28.3,16.6,1.4,78.0
2022-07-18,33.8,25.4,29.1,23.4,0.3,71.0
2022-07-19,31.3,26.1,28.6,16.2,0.5,75.0
2022-07-20,27.0,24.1,25.5,14.9,23.8,93.0
2022-07-21,29.3,23.3,25.9,13.0,15.3,84.0
2022-07-22,31.3,23.5,26.8,14.8,0.0,81.0
2022-07-23,31.0,24.0,27.2,13.0,0.3,80.0
2022-07-24,31.3,24.0,27.3,15.5,0.4,80.0
2022-07-25,31.2,24.7,27.7,13.7,0.4,79.0
2022-07-26,30.6,24.7,27.5,13.7,1.3,80.0
2022-07-27,32.3,24.7,27.9,16.9,2.1,78.0
2022-07-28,31.7,24.2,28.0,16.1,0.3,78.0
2022-07-29,33.8,26.1,29.1,14.0,1.1,74.0
2022-07-30,31.7,25.9,28.5,19.8,4.7,76.0
2022-07-31,32.7,26.2,28.6,16.9,7.6,73.0
2022-08-01,32.5,25.7,28.5,14.4,2.2,75.0
2022-08-02,31.6,25.7,28.4,16.1,3.8,74.0
2022-08-03,30.8,24.9,27.6,14.8,2.1,79.0
2022-08-04,29.8,25.8,27.4,15.1,0.3,78.0
2022-08-05,32.1,25.0,28.2,21.2,0.2,74.0
2022-08-06,32.8,25.6,28.2,21.2,2.8,74.0
2022-08-07,30.1,24.4,26.8,17.6,7.2,80.0
2022-08-08,25.3,23.9,24.5,30.5,20.8,91.0
2022-08-09,27.6,24.1,25.4,32.4,5.0,78.0
2022-08-10,29.8,24.3,26.7,28.2,0.4,73.0
2022-08-11,32.1,25.0,27.6,15.1,0.4,74.0
2022-08-12,29.9,24.8,27.4,17.3,0.2,75.0
2022-08-13,33.2,25.3,28.3,18.0,0.3,72.0
2022-08-14,31.9,25.3,28.0,14.8,7.3,76.0
2022-08-15,31.2,25.4,27.9,15.1,6.2,78.0
2022-08-16,32.7,24.9,28.1,19.8,1.0,72.0
2022-08-17,32.0,25.4,28.1,18.0,0.0,74.0
2022-08-18,33.5,25.7,28.8,21.2,0.1,70.0
2022-08-19,29.8,26.3,27.9,17.3,0.4,77.0
2022-08-20,30.5,26.4,28.0,16.6,2.8,71.0
2022-08-21,29.7,24.6,27.4,16.9,1.7,76.0
2022-08-22,32.6,25.2,28.4,15.8,2.1,74.0
2022-08-23,31.2,25.1,28.1,15.1,7.9,79.0
2022-08-24,32.8,24.9,28.3,20.9,1.2,75.0
2022-08-25,30.1,25.5,27.5,16.9,1.2,77.0
2022-08-26,30.2,25.3,27.1,16.6,1.5,78.0
2022-08-27,32.2,24.1,27.7,17.6,0.3,79.0
2022-08-28,31.1,23.6,27.2,16.2,9.5,79.0
2022-08-29,30.1,24.7,27.0,13.3,3.7,80.0
2022-08-30,31.4,24.8,27.5,15.1,2.3,80.0
2022-08-31,29.6,24.5,27.0,10.8,4.3,82.0
2022-09-01,31.3,24.3,27.6,11.2,2.9,80.0
2022-09-02,30.3,24.9,27.7,11.5,4.7,81.0
2022-09-03,31.2,25.0,28.1,15.5,2.1,78.0
2022-09-04,31.3,25.4,28.2,18.0,3.4,76.0
2022-09-05,31.7,25.1,27.8,19.4,13.1,77.0
2022-09-06,29.3,24.2,26.3,15.5,13.7,83.0
2022-09-07,27.0,24.3,25.3,6.5,27.0,90.0
2022-09-08,28.9,24.0,26.4,9.4,5.3,85.0
2022-09-09,29.3,24.2,26.6,15.2,4.3,82.0
2022-09-10,31.1,24.3,27.1,13.0,2.3,82.0
2022-09-11,30.0,24.0,26.5,13.3,5.1,81.0
2022-09-12,29.6,23.5,26.7,13.7,1.3,80.0
2022-09-13,30.0,24.4,26.8,11.6,8.1,81.0
2022-09-14,30.5,24.2,27.1,11.2,12.8,81.0
2022-09-15,28.6,24.6,26.5,17.1,2.0,87.0
2022-09-16,30.1,24.6,27.0,16.2,3.5,80.0
2022-09-17,32.7,24.7,27.8,19.4,6.2,74.0
2022-09-18,30.6,24.9,27.3,23.4,2.9,79.0
2022-09-19,30.8,24.9,27.2,20.2,4.1,79.0
2022-09-20,29.1,24.4,26.2,16.3,7.3,83.0
2022-09-21,28.2,23.9,26.1,10.7,11.5,84.0
2022-09-22,27.9,24.2,25.8,10.8,9.8,87.0
2022-09-23,29.5,23.7,26.3,13.7,0.9,83.0
2022-09-24,27.7,24.2,26.3,8.3,9.4,85.0
2022-09-25,27.0,23.9,25.5,8.3,14.3,92.0
2022-09-26,29.4,23.4,26.2,16.9,4.0,85.0
2022-09-27,25.6,23.8,24.5,28.2,8.9,90.0
2022-09-28,28.9,24.4,26.5,36.4,4.3,75.0
2022-09-29,30.1,24.0,26.6,14.0,3.7,81.0
2022-09-30,29.7,24.0,26.7,15.8,4.2,84.0
2022-10-01,26.6,24.1,25.5,8.1,10.6,94.0
2022-10-02,28.7,23.6,25.7,16.2,14.7,85.0
2022-10-03,28.1,23.8,25.7,14.0,15.8,85.0
2022-10-04,27.7,24.3,25.6,15.5,16.1,88.0
2022-10-05,28.1,24.3,25.9,15.1,21.0,87.0
2022-10-06,27.9,24.1,25.6,12.6,13.0,89.0
2022-10-07,29.4,24.2,26.2,15.7,14.1,87.0
2022-10-08,27.9,24.3,26.0,11.9,13.2,86.0
2022-10-09,26.7,23.9,25.3,11.9,17.9,89.0
2022-10-10,26.1,24.5,25.3,19.4,20.1,90.0
2022-10-11,25.7,24.2,25.1,20.4,32.1,92.0
2022-10-12,25.7,23.7,25.0,27.4,10.6,88.0
2022-10-13,23.6,22.2,23.1,25.6,49.41,94.0
2022-10-14,23.2,21.9,22.2,31.3,42.7,92.0
2022-10-15,27.3,21.1,24.4,12.6,0.3,87.0
2022-10-16,27.4,22.9,25.1,19.4,9.9,88.0
2022-10-17,27.9,23.4,25.2,17.6,0.3,81.0
2022-10-18,29.2,22.4,25.3,19.1,0.0,80.0
2022-10-19,29.4,22.1,25.5,13.0,0.0,84.0
2022-10-20,27.0,23.3,24.8,12.2,0.3,87.0
2022-10-21,29.0,23.6,25.5,14.9,0.8,85.0
2022-10-22,27.1,22.9,25.2,13.0,2.1,88.0
2022-10-23,25.8,23.6,24.8,17.3,6.7,90.0
2022-10-24,27.0,22.6,24.9,14.8,0.4,81.0
2022-10-25,27.1,23.1,25.0,17.3,4.7,88.0
2022-10-26,27.1,23.6,25.2,13.7,16.9,89.0
2022-10-27,25.5,23.9,24.5,18.7,16.6,93.0
2022-10-28,25.9,23.2,24.5,25.4,7.1,89.0
2022-10-29,25.2,23.7,24.5,23.8,16.3,92.0
2022-10-30,26.3,22.7,24.8,24.8,4.6,88.0
2022-10-31,28.3,21.9,24.6,18.0,0.0,84.0
2022-11-01,25.6,21.8,23.7,17.6,0.0,83.0
2022-11-02,25.2,21.0,23.1,16.2,0.0,82.0
2022-11-03,25.3,22.0,24.0,11.9,0.7,80.0
2022-11-04,25.6,22.4,23.9,18.7,3.6,81.0
2022-11-05,25.5,22.7,24.0,21.2,2.0,79.0
2022-11-06,25.9,23.1,24.4,19.4,2.2,86.0
2022-11-07,25.8,22.2,24.0,19.8,1.1,89.0
2022-11-08,26.1,23.2,24.4,21.6,0.2,89.0
2022-11-09,26.0,23.1,24.4,19.8,0.2,89.0
2022-11-10,25.9,23.8,24.6,16.2,3.8,91.0
2022-11-11,26.7,23.6,24.8,18.0,4.9,90.0
2022-11-12,26.5,23.1,24.8,18.0,13.5,88.0
2022-11-13,26.6,23.5,24.9,16.6,9.1,90.0
2022-11-14,28.4,23.5,25.5,15.8,6.7,88.0
2022-11-15,27.3,23.2,25.2,13.7,3.7,88.0
2022-11-16,29.4,22.9,25.5,11.5,4.6,88.0
2022-11-17,27.4,23.5,25.3,11.5,4.3,88.0
2022-11-18,26.8,23.5,25.0,14.4,4.0,90.0
2022-11-19,26.8,23.6,24.9,22.5,46.5,88.0
2022-11-20,24.7,23.2,23.8,19.1,71.9,94.0
2022-11-21,25.5,23.1,24.3,13.3,18.3,94.0
2022-11-22,26.2,23.8,24.9,12.5,23.0,91.0
2022-11-23,27.1,23.6,25.3,13.7,5.0,89.0
2022-11-24,29.6,23.6,25.9,13.7,1.6,87.0
2022-11-25,27.1,23.3,25.1,9.4,4.0,88.0
2022-11-26,26.7,23.5,25.0,10.4,14.6,89.0
2022-11-27,26.4,23.6,24.6,6.1,4.3,91.0
2022-11-28,28.4,23.0,25.4,11.9,0.4,86.0
2022-11-29,29.5,22.8,25.6,10.1,0.5,87.0
2022-11-30,27.4,23.5,25.2,13.6,4.0,88.0
2022-12-01,26.2,24.0,25.0,21.3,6.5,90.0
2022-12-02,26.5,23.6,24.7,15.8,13.1,90.0
2022-12-03,26.2,23.5,24.8,13.3,17.3,90.0
2022-12-04,26.1,23.7,24.7,14.4,9.9,90.0
2022-12-05,25.6,23.2,24.5,18.5,11.9,91.0
2022-12-06,25.2,24.1,24.6,23.9,24.3,92.0
2022-12-07,25.1,24.0,24.5,21.9,24.3,93.0
2022-12-08,25.4,23.8,24.5,22.0,14.2,91.0
2022-12-09,25.0,23.4,24.2,27.0,3.8,88.0
2022-12-10,25.3,23.0,23.9,21.9,2.5,86.0
2022-12-11,24.3,22.3,23.1,21.6,2.9,87.0
2022-12-12,24.1,21.7,22.6,26.3,3.4,86.0
2022-12-13,24.0,21.3,22.4,27.0,0.2,83.0
2022-12-14,22.7,20.7,21.3,26.3,0.5,87.0
