Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,18.9,11.9,14.1,10.1,26.4,88.0
2022-06-30,17.8,12.3,14.2,9.0,26.62,89.0
2022-07-01,17.1,11.5,13.8,10.8,20.5,91.0
2022-07-02,16.7,10.5,13.6,6.1,21.5,89.0
2022-07-03,17.6,12.7,14.3,9.0,22.4,86.0
2022-07-04,16.0,11.5,13.3,11.5,33.63,92.0
2022-07-05,18.0,11.0,13.9,6.5,6.3,84.0
2022-07-06,19.1,11.3,14.7,9.0,66.4,82.0
2022-07-07,16.2,11.5,13.8,8.3,14.2,89.0
2022-07-08,15.6,11.7,13.4,6.5,12.2,94.0
2022-07-09,16.5,10.9,13.6,14.0,17.0,86.0
2022-07-10,15.8,11.7,13.1,15.1,13.17,91.0
2022-07-11,14.0,11.3,12.2,6.8,28.87,98.0
2022-07-12,15.4,11.5,13.3,7.2,18.0,93.0
2022-07-13,17.7,11.8,13.6,13.3,17.14,92.0
2022-07-14,14.2,11.7,12.6,9.7,19.1,97.0
2022-07-15,15.1,11.5,12.9,8.3,27.11,97.0
2022-07-16,17.4,11.3,13.7,8.6,24.4,91.0
2022-07-17,16.9,11.4,13.3,10.1,33.26,93.0
2022-07-18,18.6,11.4,13.9,8.6,7.2,88.0
2022-07-19,18.1,11.6,14.3,10.1,41.04,87.0
2022-07-20,15.0,11.1,12.8,8.3,18.4,97.0
2022-07-21,16.3,11.4,13.4,7.9,29.2,93.0
2022-07-22,19.2,11.1,14.8,7.9,10.4,87.0
2022-07-23,18.6,11.5,14.6,8.3,25.22,90.0
2022-07-24,14.6,11.2,13.0,8.6,34.7,97.0
2022-07-25,18.3,10.5,14.0,9.7,7.2,88.0
2022-07-26,17.5,11.4,14.1,11.2,8.81,89.0
2022-07-27,13.7,11.2,12.4,5.0,20.68,96.0
2022-07-28,17.8,11.9,14.2,8.3,12.83,90.0
2022-07-29,16.4,11.2,13.3,9.7,17.87,94.0
2022-07-30,19.4,11.3,14.7,7.2,33.0,85.0
2022-07-31,18.1,11.4,14.5,7.2,78.39,89.0
2022-08-01,14.8,11.4,12.7,7.2,55.8,95.0
2022-08-02,16.2,11.0,13.2,11.2,13.27,93.0
2022-08-03,17.1,11.8,13.5,10.1,8.7,92.0
2022-08-04,17.9,12.2,13.9,12.6,13.05,93.0
2022-08-05,15.8,11.4,13.4,7.6,28.3,98.0
2022-08-06,15.5,10.9,13.0,6.5,10.9,96.0
2022-08-07,14.6,11.8,12.9,6.1,17.61,98.0
2022-08-08,15.4,11.9,13.1,7.9,10.4,97.0
2022-08-09,18.2,11.7,13.9,14.8,11.1,91.0
2022-08-10,15.4,11.7,13.2,6.5,17.0,98.0
2022-08-11,15.9,11.6,13.4,10.1,18.43,95.0
2022-08-12,14.1,11.6,12.7,6.8,14.7,98.0
2022-08-13,14.4,11.5,12.3,5.4,16.79,98.0
2022-08-14,15.5,11.9,13.2,5.0,18.56,95.0
2022-08-15,18.2,11.0,14.3,8.6,17.5,92.0
2022-08-16,17.1,11.9,13.8,5.0,27.8,93.0
2022-08-17,17.3,12.1,13.8,5.4,31.34,96.0
2022-08-18,17.2,10.7,13.8,8.3,15.8,92.0
2022-08-19,16.1,11.2,13.1,5.8,30.62,97.0
2022-08-20,16.9,11.4,13.7,8.6,12.5,92.0
2022-08-21,15.3,11.2,12.8,7.2,15.72,96.0
2022-08-22,18.3,10.8,13.8,10.4,15.45,89.0
2022-08-23,18.5,9.8,13.6,7.2,42.2,88.0
2022-08-24,17.8,10.6,13.8,7.2,35.9,88.0
2022-08-25,18.0,11.0,13.7,9.4,19.15,91.0
2022-08-26,17.8,10.5,13.6,7.2,52.4,93.0
2022-08-27,18.8,10.4,13.9,10.1,20.9,88.0
2022-08-28,18.2,10.1,13.9,7.2,19.94,91.0
2022-08-29,18.8,10.2,13.7,7.9,27.28,89.0
2022-08-30,19.2,10.3,14.4,9.7,37.0,84.0
2022-08-31,19.4,10.3,14.3,7.9,16.92,85.0
2022-09-01,18.2,10.6,14.0,9.0,19.86,88.0
2022-09-02,19.1,10.3,14.4,9.0,16.34,87.0
2022-09-03,19.5,10.9,14.7,10.3,28.24,85.0
2022-09-04,16.9,10.9,13.6,10.1,22.53,93.0
2022-09-05,17.5,9.8,13.4,7.6,19.67,90.0
2022-09-06,19.0,11.1,14.6,7.6,15.87,86.0
2022-09-07,19.0,10.8,14.4,8.0,22.84,86.0
2022-09-08,18.6,11.0,14.3,9.0,29.93,86.0
2022-09-09,18.0,10.6,14.2,7.9,14.77,88.0
2022-09-10,19.0,11.5,14.6,9.4,14.9,87.0
2022-09-11,18.0,11.1,14.1,7.6,54.66,89.0
2022-09-12,18.5,10.3,14.0,9.0,21.7,89.0
2022-09-13,19.3,11.0,14.7,8.6,19.0,85.0
