Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,37.4,24.9,30.4,11.9,1.1,71.0
2022-06-30,36.5,26.4,29.9,11.3,7.0,72.0
2022-07-01,32.6,24.7,28.4,12.6,5.4,75.0
2022-07-02,29.1,25.1,26.9,12.7,3.6,86.0
2022-07-03,35.5,26.0,29.9,15.5,1.7,63.0
2022-07-04,25.3,17.8,22.0,4.7,4.1,91.0
2022-07-05,35.2,25.6,30.1,12.2,0.6,68.0
2022-07-06,22.7,17.2,20.4,4.9,4.9,92.0
2022-07-07,34.1,25.3,28.8,12.6,7.1,76.0
2022-07-08,23.4,16.5,21.0,3.2,7.9,90.0
2022-07-09,30.3,25.5,27.5,6.8,13.9,76.0
2022-07-10,29.6,24.0,26.7,9.4,22.9,82.0
2022-07-11,29.2,24.5,26.5,11.9,15.0,83.0
2022-07-12,24.4,17.5,22.0,5.4,7.7,88.0
2022-07-13,25.7,18.3,22.2,6.5,5.2,84.0
2022-07-14,31.0,24.0,26.9,12.6,7.8,85.0
2022-07-15,32.5,24.1,27.6,12.6,3.6,81.0
2022-07-16,32.9,24.7,28.3,10.8,2.9,79.0
2022-07-17,34.1,25.4,29.1,12.4,3.9,76.0
2022-07-18,35.1,25.4,29.6,13.2,0.0,72.0
2022-07-19,34.5,25.2,29.3,14.4,11.6,74.0
2022-07-20,31.5,24.7,27.8,15.8,7.7,83.0
2022-07-21,30.3,24.0,27.0,13.7,18.7,82.0
2022-07-22,32.5,24.6,28.1,15.8,1.4,76.0
2022-07-23,33.4,23.6,28.3,14.4,0.5,76.0
2022-07-24,33.9,24.3,28.4,15.8,0.0,74.0
2022-07-25,34.0,24.2,28.6,12.6,0.0,72.0
2022-07-26,28.3,17.1,22.8,2.9,0.0,77.0
2022-07-27,27.8,18.6,23.0,4.3,0.1,78.0
2022-07-28,35.0,24.6,29.4,15.2,0.4,70.0
2022-07-29,35.4,24.6,29.6,15.5,0.2,72.0
2022-07-30,35.6,25.1,29.9,11.0,0.0,72.0
2022-07-31,34.0,25.3,28.7,14.4,43.8,77.0
2022-08-01,22.4,19.5,20.9,2.2,11.2,94.0
2022-08-02,33.8,24.9,28.4,12.6,9.0,78.0
2022-08-03,24.1,19.2,21.6,3.2,9.2,91.0
2022-08-04,34.8,24.9,28.6,12.1,1.3,75.0
2022-08-05,23.4,16.9,21.0,2.9,18.7,92.0
2022-08-06,29.9,24.2,26.9,13.8,29.8,82.0
2022-08-07,28.3,24.5,25.9,7.7,6.0,90.0
2022-08-08,23.1,19.6,21.2,5.8,14.1,88.0
2022-08-09,29.4,23.9,26.3,17.3,11.9,82.0
2022-08-10,32.7,23.1,27.3,15.1,0.1,77.0
2022-08-11,31.1,23.7,26.6,11.2,9.7,78.0
2022-08-12,32.5,23.6,27.0,13.3,12.3,80.0
2022-08-13,32.1,24.0,27.6,10.4,9.4,80.0
2022-08-14,33.6,24.4,28.3,13.0,3.7,75.0
2022-08-15,24.3,20.8,22.3,3.2,9.2,89.0
2022-08-16,32.9,24.3,27.5,12.6,13.5,77.0
2022-08-17,32.8,24.1,27.8,11.2,11.6,79.0
2022-08-18,25.0,18.4,21.9,2.2,2.9,87.0
2022-08-19,33.2,25.5,28.4,13.1,0.9,77.0
2022-08-20,27.6,17.8,21.6,5.4,7.6,87.0
2022-08-21,32.7,23.5,26.9,7.2,11.1,81.0
2022-08-22,22.2,17.4,20.6,2.5,14.1,95.0
2022-08-23,25.0,20.8,22.5,3.2,1.3,86.0
2022-08-24,34.5,24.1,28.6,10.4,0.9,78.0
2022-08-25,26.7,17.2,22.0,4.3,5.0,86.0
2022-08-26,30.5,25.2,27.2,9.7,5.5,87.0
2022-08-27,21.8,17.1,20.4,2.5,3.9,96.0
2022-08-28,33.5,23.8,28.3,16.6,0.0,79.0
2022-08-29,31.5,24.7,27.6,15.8,0.1,80.0
2022-08-30,23.8,18.9,21.9,4.3,1.1,93.0
2022-08-31,34.5,23.9,28.7,15.8,0.3,79.0
2022-09-01,33.8,24.8,28.3,14.0,1.9,77.0
2022-09-02,31.9,24.0,27.3,13.0,5.5,79.0
2022-09-03,33.6,24.1,28.2,11.9,3.6,79.0
2022-09-04,21.0,16.2,18.8,4.3,17.5,93.0
2022-09-05,33.2,24.9,27.7,14.0,2.7,80.0
2022-09-06,33.1,24.3,27.7,13.3,0.5,78.0
2022-09-07,28.5,24.1,26.0,7.7,29.8,83.0
2022-09-08,30.4,23.5,26.2,11.7,4.6,87.0
2022-09-09,29.0,24.8,26.3,11.1,21.2,90.0
2022-09-10,20.8,14.8,18.7,2.5,16.1,93.0
2022-09-11,32.0,23.9,26.8,13.3,2.2,80.0
2022-09-12,20.1,16.5,18.9,3.2,9.1,98.0
2022-09-13,32.5,23.4,27.6,11.9,0.0,81.0
2022-09-14,32.2,24.6,27.4,11.2,1.2,81.0
2022-09-15,32.9,23.5,27.3,9.0,5.1,80.0
2022-09-16,32.2,23.6,27.4,10.4,6.2,80.0
2022-09-17,20.6,16.0,18.1,4.7,7.4,96.0
2022-09-18,31.9,23.6,26.9,10.8,11.0,82.0
2022-09-19,32.7,23.2,27.2,9.4,0.5,81.0
2022-09-20,24.9,17.5,20.9,4.3,13.8,85.0
2022-09-21,31.1,24.2,27.0,12.6,7.8,78.0
2022-09-22,29.3,23.4,25.8,9.7,9.1,80.0
2022-09-23,28.2,22.9,24.9,9.4,22.7,86.0
2022-09-24,27.9,22.6,25.0,5.8,16.3,87.0
2022-09-25,28.8,23.7,25.4,6.8,18.9,86.0
2022-09-26,28.2,22.9,25.1,11.2,59.4,86.0
2022-09-27,23.5,18.8,20.7,3.6,0.0,81.0
2022-09-28,24.3,14.5,19.6,7.9,4.2,74.0
2022-09-29,30.8,23.5,26.2,10.8,12.3,81.0
2022-09-30,29.8,23.6,26.0,11.2,18.5,86.0
2022-10-01,28.9,23.6,25.6,7.9,5.2,90.0
2022-10-02,29.1,23.6,25.9,14.4,1.2,89.0
2022-10-03,21.8,17.7,19.8,5.0,9.5,95.0
2022-10-04,30.2,22.3,25.7,9.4,10.8,86.0
2022-10-05,29.9,22.7,25.5,8.3,15.7,88.0
2022-10-06,28.4,23.2,25.3,11.5,10.2,89.0
2022-10-07,20.5,14.6,18.1,5.0,5.5,92.0
2022-10-08,21.5,17.9,20.0,4.0,8.6,92.0
2022-10-09,19.8,16.1,18.6,6.5,9.8,97.0
2022-10-10,18.0,12.1,15.2,5.8,0.0,85.0
2022-10-11,25.8,22.0,24.1,19.8,22.0,90.0
2022-10-12,25.0,21.6,23.3,14.7,3.3,90.0
2022-10-13,25.1,21.5,23.3,18.0,2.9,87.0
2022-10-14,25.5,21.2,23.0,35.6,132.28,96.0
2022-10-15,27.2,23.6,25.4,33.4,57.3,93.0
2022-10-16,21.6,15.3,18.1,6.1,0.0,65.0
2022-10-17,29.6,20.8,24.2,20.2,0.7,76.0
2022-10-18,28.7,21.6,24.0,23.1,0.5,75.0
2022-10-19,22.3,20.0,21.3,23.4,18.9,94.0
2022-10-20,23.9,19.8,22.1,21.8,2.2,87.0
2022-10-21,24.8,20.8,22.7,15.1,3.9,89.0
2022-10-22,22.3,15.7,19.2,5.0,0.0,86.0
2022-10-23,29.3,21.7,24.7,11.2,1.9,85.0
2022-10-24,28.4,21.2,24.3,16.6,10.7,87.0
2022-10-25,20.5,14.3,18.1,5.0,3.1,87.0
2022-10-26,20.9,15.9,18.7,4.0,1.3,89.0
2022-10-27,21.2,17.2,18.9,4.3,1.9,93.0
2022-10-28,27.1,22.3,24.1,18.4,7.0,86.0
2022-10-29,26.1,22.4,23.7,18.4,8.7,87.0
2022-10-30,28.4,21.5,23.9,11.9,5.1,83.0
2022-10-31,26.7,21.0,23.4,24.9,3.3,83.0
2022-11-01,27.2,20.9,23.1,20.2,1.2,76.0
2022-11-02,21.9,13.9,17.6,2.9,0.0,61.0
2022-11-03,26.9,17.8,21.6,9.7,0.0,72.0
2022-11-04,26.9,18.3,22.1,15.1,1.5,82.0
2022-11-05,18.9,13.9,16.5,5.0,0.2,71.0
2022-11-06,26.5,20.4,22.7,12.2,2.6,88.0
2022-11-07,26.9,20.9,23.2,9.0,2.1,89.0
2022-11-08,19.5,14.5,16.9,4.0,0.1,79.0
2022-11-09,25.2,21.0,22.9,6.9,7.6,89.0
2022-11-10,27.5,22.3,24.1,11.5,4.4,89.0
2022-11-11,28.4,21.8,24.2,11.9,2.5,87.0
2022-11-12,23.3,15.5,19.2,3.6,0.0,73.0
2022-11-13,28.2,21.9,24.4,10.8,4.4,87.0
2022-11-14,29.0,22.0,24.8,11.2,4.7,86.0
2022-11-15,28.1,22.0,24.7,9.7,2.4,89.0
2022-11-16,30.2,22.2,25.3,13.3,2.0,86.0
2022-11-17,30.6,22.1,25.3,12.6,1.1,86.0
2022-11-18,30.3,22.8,25.5,13.7,1.6,85.0
2022-11-19,20.7,18.9,19.6,4.0,0.5,95.0
2022-11-20,25.9,23.3,24.3,15.1,25.0,91.0
2022-11-21,25.6,23.0,24.0,10.8,60.5,94.0
2022-11-22,27.9,22.9,24.4,12.2,17.2,93.0
2022-11-23,27.8,22.1,24.6,11.5,6.6,91.0
2022-11-24,28.9,22.3,25.1,9.8,8.8,90.0
2022-11-25,30.5,22.6,25.6,11.2,0.8,88.0
2022-11-26,19.4,16.6,18.2,2.9,5.4,99.0
2022-11-27,30.6,22.2,25.7,9.0,0.7,85.0
2022-11-28,32.1,23.0,26.5,10.1,2.2,84.0
