Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,18.9,12.8,15.6,22.3,3.1,80.0
2022-06-30,20.0,11.1,15.0,17.6,3.6,76.0
2022-07-01,18.5,9.9,14.1,21.2,2.4,83.0
2022-07-02,17.8,10.4,14.1,23.8,0.7,84.0
2022-07-03,18.8,8.7,14.2,16.9,0.6,77.0
2022-07-04,19.8,10.0,14.5,23.4,0.0,69.0
2022-07-05,19.5,9.7,14.8,21.6,0.6,73.0
2022-07-06,22.5,12.0,17.8,26.5,0.1,75.0
2022-07-07,23.5,12.9,17.8,24.8,0.0,66.0
2022-07-08,25.0,12.1,18.4,21.6,0.0,74.0
2022-07-09,24.7,12.0,17.9,16.6,0.0,63.0
2022-07-10,26.7,10.6,19.3,14.4,0.0,65.0
2022-07-11,28.9,14.3,21.9,10.8,0.0,62.0
2022-07-12,25.4,17.2,21.7,17.2,0.0,57.0
2022-07-13,24.4,12.5,18.2,19.1,0.0,61.0
2022-07-14,21.8,9.9,16.3,24.5,0.0,57.0
2022-07-15,23.0,9.6,16.9,27.0,0.1,66.0
2022-07-16,27.3,9.7,18.7,10.4,0.0,57.0
2022-07-17,31.9,15.0,23.2,16.9,0.0,44.0
2022-07-18,38.2,19.2,28.3,20.3,0.0,29.0
2022-07-19,39.4,22.9,30.6,29.5,0.0,26.0
2022-07-20,26.9,16.3,22.0,26.3,0.5,56.0
2022-07-21,19.5,14.9,16.9,13.3,0.3,75.0
2022-07-22,20.2,13.9,16.4,13.0,4.8,79.0
2022-07-23,22.6,13.2,18.1,24.1,1.4,75.0
2022-07-24,27.2,16.6,21.0,33.8,0.5,72.0
2022-07-25,21.0,14.1,18.0,27.4,1.0,69.0
2022-07-26,19.3,13.1,15.9,13.0,0.0,60.0
2022-07-27,22.0,10.7,16.9,15.1,4.6,58.0
2022-07-28,22.0,12.6,17.4,17.3,1.0,57.0
2022-07-29,23.9,13.7,18.3,14.0,0.2,56.0
2022-07-30,21.8,15.0,18.5,18.8,4.1,74.0
2022-07-31,21.6,15.1,18.0,14.9,2.3,85.0
