Day,TempMax,TempMin,TempAvg,MaxWind_km/h,TotalPrecip_mm,AvgHumidity
2022-06-29,20.2,8.6,14.1,12.4,2.7,70.0
2022-06-30,21.6,9.3,14.6,13.3,0.9,70.0
2022-07-01,20.9,9.5,14.0,13.6,0.6,71.0
2022-07-02,19.8,8.1,13.7,14.0,0.5,69.0
2022-07-03,18.6,9.4,13.5,12.6,2.0,71.0
2022-07-04,20.0,10.0,14.2,12.1,2.7,68.0
2022-07-05,20.0,9.9,14.3,12.2,0.4,66.0
2022-07-06,19.7,10.5,14.4,14.2,2.2,71.0
2022-07-07,19.6,9.0,14.1,14.2,0.5,72.0
2022-07-08,18.8,10.5,14.1,13.6,3.7,74.0
2022-07-09,18.3,11.5,14.3,13.0,3.5,73.0
2022-07-10,21.0,9.2,14.4,14.8,0.1,72.0
2022-07-11,20.6,8.1,14.0,15.1,0.3,75.0
2022-07-12,18.9,10.5,14.3,12.6,1.6,78.0
2022-07-13,18.6,12.1,14.5,13.0,1.6,82.0
2022-07-14,20.3,9.8,14.4,14.9,0.6,80.0
2022-07-15,20.1,11.6,14.9,14.0,1.3,79.0
2022-07-16,20.0,9.8,14.3,13.7,2.4,80.0
2022-07-17,18.6,11.8,14.6,13.3,7.5,81.0
2022-07-18,14.2,11.4,12.8,4.7,15.2,84.0
2022-07-19,18.7,10.0,13.7,12.5,2.9,75.0
2022-07-20,19.6,10.0,14.1,12.7,0.4,71.0
2022-07-21,21.3,7.7,14.5,13.1,0.3,69.0
2022-07-22,21.5,9.0,14.8,14.2,0.6,70.0
2022-07-23,21.0,9.8,14.9,14.3,0.6,71.0
2022-07-24,20.2,11.8,15.1,11.8,2.4,74.0
2022-07-25,18.7,10.6,14.1,13.2,7.7,78.0
2022-07-26,17.8,10.9,14.0,10.1,8.5,80.0
2022-07-27,20.3,10.7,14.8,12.4,2.3,71.0
2022-07-28,21.6,9.1,15.2,13.3,0.6,67.0
2022-07-29,21.6,9.2,14.9,14.2,0.6,63.0
2022-07-30,21.5,9.5,14.9,14.0,0.5,66.0
2022-07-31,20.9,10.0,14.9,13.3,0.3,68.0
2022-08-01,20.0,10.9,14.8,14.2,0.6,69.0
2022-08-02,20.1,10.6,14.8,15.5,0.6,73.0
2022-08-03,20.1,10.8,14.9,14.3,1.3,74.0
2022-08-04,19.1,10.1,14.1,15.1,4.9,75.0
2022-08-05,18.7,11.3,14.4,13.1,3.4,78.0
2022-08-06,17.9,12.1,14.2,12.6,4.5,81.0
2022-08-07,18.8,11.4,14.3,15.2,1.8,80.0
2022-08-08,18.8,10.8,14.0,14.8,0.8,78.0
2022-08-09,18.5,10.3,13.9,14.4,4.6,74.0
2022-08-10,16.6,10.3,13.2,13.6,10.3,81.0
2022-08-11,19.8,10.5,14.6,14.5,4.4,74.0
2022-08-12,20.0,10.1,14.4,13.8,2.1,75.0
2022-08-13,20.3,9.5,14.3,14.9,0.3,72.0
2022-08-14,21.6,8.7,14.5,14.8,0.0,69.0
2022-08-15,21.1,9.5,14.8,15.1,0.7,71.0
2022-08-16,20.1,10.9,15.2,16.2,0.8,74.0
2022-08-17,19.9,11.9,15.1,14.5,1.4,78.0
2022-08-18,20.6,11.8,15.4,13.0,2.2,80.0
2022-08-19,14.6,10.9,13.0,9.4,22.8,88.0
2022-08-20,17.8,9.1,13.0,14.5,0.1,80.0
2022-08-21,19.4,8.6,13.9,14.8,0.1,68.0
2022-08-22,17.7,9.1,13.0,15.1,1.0,76.0
2022-08-23,18.6,7.9,13.2,14.6,1.0,72.0
2022-08-24,20.3,8.8,14.1,14.6,1.0,67.0
2022-08-25,21.0,8.9,14.5,13.7,0.2,66.0
2022-08-26,20.1,9.2,14.3,14.6,1.0,69.0
2022-08-27,20.1,9.3,14.4,14.0,0.7,67.0
2022-08-28,20.1,8.5,14.0,15.1,8.0,66.0
2022-08-29,15.5,10.4,12.4,10.1,4.7,79.0
2022-08-30,17.7,11.3,13.7,12.8,2.0,74.0
2022-08-31,20.4,10.4,14.9,13.1,0.8,68.0
2022-09-01,21.9,9.7,15.3,12.7,1.0,64.0
2022-09-02,21.0,8.6,14.6,13.7,0.2,71.0
2022-09-03,19.0,9.1,13.8,13.3,6.1,70.0
2022-09-04,18.3,10.5,14.2,12.6,4.9,71.0
2022-09-05,18.2,11.7,14.0,13.6,9.2,73.0
