Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,29.8,24.4,26.4,5.0,9.1,89.0,Moderate rain at times,6.0
2022-06-30,27.3,22.5,24.6,3.6,12.4,96.0,Moderate rain at times,6.0
2022-07-01,30.2,22.5,25.7,3.6,9.9,91.0,Moderate or heavy rain shower,7.0
2022-07-02,33.5,23.4,27.8,5.0,4.0,78.0,Patchy rain possible,7.0
2022-07-03,31.6,23.5,26.9,5.8,15.8,88.0,Heavy rain at times,7.0
2022-07-04,33.5,25.1,28.4,5.4,9.7,82.0,Moderate or heavy rain shower,7.0
2022-07-05,30.4,24.7,27.3,5.0,19.6,91.0,Moderate rain at times,7.0
2022-07-06,27.4,23.9,25.6,5.0,10.0,98.0,Moderate rain at times,6.0
2022-07-07,30.4,23.6,25.6,4.7,9.2,90.0,Moderate or heavy rain shower,7.0
2022-07-08,26.8,22.4,24.5,3.2,25.1,95.0,Moderate or heavy rain shower,6.0
2022-07-09,29.8,22.0,25.4,5.8,12.0,88.0,Moderate or heavy rain shower,6.0
2022-07-10,30.3,22.6,26.2,5.4,1.1,87.0,Patchy rain possible,7.0
2022-07-11,32.1,23.7,26.8,5.0,3.1,82.0,Moderate rain at times,7.0
2022-07-12,29.1,23.5,26.1,4.3,4.1,87.0,Patchy rain possible,6.0
2022-07-13,31.2,23.9,26.2,3.6,4.0,88.0,Moderate rain at times,7.0
2022-07-14,30.7,23.3,26.3,4.3,3.3,90.0,Moderate rain at times,7.0
2022-07-15,30.4,23.7,26.8,4.3,4.0,85.0,Moderate rain at times,7.0
2022-07-16,31.2,24.2,27.4,6.5,0.8,83.0,Patchy rain possible,7.0
2022-07-17,32.4,24.9,28.4,6.1,0.3,87.0,Patchy rain possible,7.0
2022-07-18,32.2,24.6,28.6,6.1,9.9,88.0,Overcast,7.0
2022-07-19,30.4,24.6,27.0,5.4,19.9,95.0,Moderate rain at times,7.0
2022-07-20,28.6,24.7,26.0,6.8,10.6,94.0,Moderate or heavy rain shower,6.0
2022-07-21,27.3,23.4,25.0,4.7,12.1,95.0,Moderate or heavy rain shower,6.0
2022-07-22,28.5,22.5,25.0,6.5,11.7,89.0,Moderate or heavy rain shower,6.0
2022-07-23,29.7,21.4,25.8,6.1,3.0,82.0,Heavy rain at times,6.0
2022-07-24,31.2,22.8,26.8,7.6,1.3,79.0,Patchy rain possible,7.0
2022-07-25,33.9,22.7,27.7,7.6,0.0,75.0,Partly cloudy,8.0
2022-07-26,34.3,23.0,27.8,7.9,0.0,75.0,Sunny,8.0
2022-07-27,30.6,23.2,26.7,7.9,0.1,82.0,Patchy rain possible,7.0
2022-07-28,33.2,23.2,27.4,7.2,0.9,78.0,Patchy rain possible,7.0
2022-07-29,31.6,23.6,27.3,7.2,0.4,78.0,Patchy rain possible,7.0
2022-07-30,28.8,23.6,26.0,4.3,26.8,94.0,Moderate or heavy rain shower,6.0
2022-07-31,29.9,23.6,25.7,5.4,8.7,86.0,Moderate or heavy rain shower,6.0
2022-08-01,29.7,22.6,25.4,3.6,11.6,93.0,Heavy rain at times,6.0
2022-08-02,30.1,23.4,26.2,5.4,4.2,85.0,Moderate rain at times,7.0
2022-08-03,32.6,23.7,27.5,4.0,3.5,81.0,Patchy rain possible,7.0
2022-08-04,31.2,23.4,27.0,3.6,9.8,89.0,Moderate or heavy rain shower,7.0
2022-08-05,26.6,23.1,24.9,3.6,19.5,94.0,Moderate or heavy rain shower,6.0
2022-08-06,26.2,23.0,24.3,3.6,10.1,96.0,Heavy rain at times,6.0
2022-08-07,25.8,22.1,23.8,4.7,7.4,97.0,Heavy rain at times,6.0
2022-08-08,31.3,21.4,25.6,4.3,2.5,85.0,Heavy rain at times,7.0
2022-08-09,32.0,23.0,26.3,3.8,8.2,85.0,Moderate or heavy rain shower,7.0
2022-08-10,29.5,23.3,25.8,5.0,15.7,91.0,Moderate or heavy rain shower,6.0
2022-08-11,24.3,22.6,23.4,7.5,31.4,99.0,Moderate or heavy rain shower,5.0
2022-08-12,24.3,22.3,23.1,4.7,28.2,99.0,Moderate or heavy rain shower,5.0
2022-08-13,28.3,22.5,24.8,5.8,16.7,91.0,Moderate or heavy rain shower,6.0
2022-08-14,28.8,23.1,25.6,5.0,9.5,92.0,Patchy rain possible,6.0
2022-08-15,30.0,22.2,26.1,4.7,5.6,93.0,Patchy rain possible,6.0
2022-08-16,29.8,22.2,26.3,4.3,5.2,94.0,Patchy rain possible,6.0
2022-08-17,32.7,23.1,27.1,6.1,8.1,77.0,Moderate or heavy rain shower,7.0
2022-08-18,32.5,22.5,27.0,5.9,3.0,81.0,Patchy rain possible,7.0
2022-08-19,31.3,24.1,27.0,3.6,13.0,88.0,Moderate or heavy rain shower,7.0
2022-08-20,30.8,23.0,26.0,4.3,28.4,89.0,Moderate or heavy rain shower,7.0
2022-08-21,27.5,22.6,24.4,6.5,15.3,93.0,Moderate or heavy rain shower,6.0
2022-08-22,28.1,22.8,25.3,2.9,4.5,96.0,Moderate rain at times,6.0
2022-08-23,32.3,23.2,27.2,5.4,1.4,88.0,Moderate rain at times,7.0
2022-08-24,31.0,23.6,27.2,3.6,9.9,89.0,Moderate or heavy rain shower,7.0
2022-08-25,32.0,23.8,27.0,4.9,24.1,85.0,Patchy rain possible,7.0
2022-08-26,24.6,22.3,23.4,15.5,71.25,99.0,Moderate or heavy rain shower,5.0
2022-08-27,27.3,22.1,25.0,4.3,4.1,97.0,Patchy rain possible,6.0
2022-08-28,29.4,22.7,26.0,4.7,1.8,94.0,Patchy rain possible,6.0
2022-08-29,29.0,23.9,26.3,6.8,2.32,93.0,Heavy rain at times,6.0
2022-08-30,30.6,23.3,26.7,6.1,0.0,83.0,Cloudy,7.0
2022-08-31,33.4,23.0,27.5,4.0,7.7,75.0,Moderate or heavy rain shower,7.0
2022-09-01,28.4,22.1,24.9,7.9,5.4,92.0,Moderate rain at times,6.0
2022-09-02,29.7,22.3,25.9,4.0,0.6,89.0,Patchy rain possible,6.0
2022-09-03,30.5,22.5,26.5,4.0,0.4,87.0,Patchy rain possible,7.0
2022-09-04,26.1,23.1,24.5,5.8,9.2,77.0,Moderate or heavy rain shower,6.0
2022-09-05,32.3,21.3,25.9,4.7,0.0,69.0,Partly cloudy,8.0
2022-09-06,35.2,21.7,27.1,5.8,0.0,64.0,Cloudy,8.0
2022-09-07,31.3,22.1,26.2,5.8,0.8,65.0,Patchy rain possible,7.0
2022-09-08,24.8,22.2,23.5,4.7,24.4,93.0,Moderate or heavy rain shower,5.0
2022-09-09,25.5,21.9,23.5,4.0,21.9,97.0,Moderate or heavy rain shower,6.0
2022-09-10,27.4,21.0,24.0,3.4,11.7,91.0,Moderate or heavy rain shower,6.0
2022-09-11,25.9,21.3,23.6,5.0,15.5,98.0,Moderate or heavy rain shower,6.0
2022-09-12,26.9,21.1,24.1,3.2,4.0,96.0,Patchy rain possible,6.0
2022-09-13,27.4,21.3,24.5,4.0,12.0,92.0,Heavy rain at times,6.0
2022-09-14,29.6,21.4,25.1,4.0,6.1,85.0,Moderate or heavy rain shower,6.0
2022-09-15,30.0,21.5,25.6,4.3,5.5,83.0,Moderate rain at times,6.0
2022-09-16,26.1,21.6,23.7,5.0,37.4,94.0,Moderate or heavy rain shower,6.0
2022-09-17,26.9,21.7,24.1,4.3,11.0,93.0,Moderate or heavy rain shower,6.0
2022-09-18,30.8,21.3,25.6,2.9,0.1,84.0,Patchy rain possible,7.0
2022-09-19,33.1,21.8,26.7,2.5,0.2,79.0,Patchy rain possible,7.0
2022-09-20,31.4,22.4,26.3,4.3,0.0,84.0,Overcast,7.0
2022-09-21,30.8,22.5,25.6,4.7,19.8,91.0,Moderate or heavy rain shower,7.0
2022-09-22,30.6,21.2,24.7,7.2,3.4,80.0,Moderate rain at times,7.0
2022-09-23,31.2,20.0,24.9,4.3,0.5,82.0,Patchy rain possible,7.0
2022-09-24,29.5,22.6,24.7,6.5,2.6,91.0,Patchy rain possible,6.0
2022-09-25,26.1,21.2,23.4,4.7,2.3,92.0,Moderate rain at times,6.0
2022-09-26,30.6,20.0,24.5,3.2,0.3,84.0,Patchy rain possible,7.0
2022-09-27,32.0,19.8,25.9,4.3,0.1,71.0,Patchy rain possible,7.0
2022-09-28,30.2,22.2,25.1,10.8,17.0,76.0,Moderate or heavy rain shower,7.0
2022-09-29,23.4,21.4,22.5,9.4,35.8,98.0,Moderate or heavy rain shower,5.0
2022-09-30,24.0,21.4,22.8,4.3,17.3,97.0,Moderate or heavy rain shower,5.0
2022-10-01,24.1,21.5,22.9,5.0,13.4,98.0,Moderate rain at times,5.0
