Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,33.3,27.9,29.9,13.3,4.4,72.0,Moderate or heavy rain shower,7.0
2022-06-30,31.6,25.6,28.3,9.7,18.0,79.0,Moderate or heavy rain shower,7.0
2022-07-01,33.1,25.0,28.6,11.9,9.2,76.0,Moderate or heavy rain shower,7.0
2022-07-02,36.0,26.7,30.4,13.3,37.9,68.0,Moderate or heavy rain shower,8.0
2022-07-03,30.9,26.5,28.4,13.8,6.41,90.0,Heavy rain at times,7.0
2022-07-04,33.5,27.4,30.4,10.4,0.2,77.0,Patchy rain possible,7.0
2022-07-05,33.5,26.9,30.2,9.7,4.5,79.0,Cloudy,7.0
2022-07-06,28.4,25.2,26.6,8.3,17.9,88.0,Moderate or heavy rain shower,6.0
2022-07-07,28.2,25.1,26.8,7.6,36.3,87.0,Moderate or heavy rain shower,6.0
2022-07-08,29.9,25.1,26.8,12.3,11.8,86.0,Moderate or heavy rain shower,6.0
2022-07-09,31.1,25.6,28.2,13.4,10.5,79.0,Moderate or heavy rain shower,7.0
2022-07-10,32.7,25.6,28.6,13.7,4.6,78.0,Moderate or heavy rain shower,7.0
2022-07-11,32.6,26.1,28.9,16.1,6.8,78.0,Heavy rain at times,7.0
2022-07-12,32.9,26.6,29.0,11.8,4.8,76.0,Patchy rain possible,7.0
2022-07-13,32.3,25.2,28.6,11.0,5.1,78.0,Moderate rain at times,7.0
2022-07-14,30.6,25.4,28.2,8.6,9.5,81.0,Moderate or heavy rain shower,7.0
2022-07-15,33.8,25.8,29.0,13.7,5.2,76.0,Patchy rain possible,7.0
2022-07-16,32.8,26.8,29.6,16.2,0.7,78.0,Patchy rain possible,7.0
2022-07-17,35.3,27.6,30.5,19.0,0.0,79.0,Overcast,8.0
2022-07-18,36.3,27.8,30.9,18.0,9.0,79.0,Overcast,8.0
2022-07-19,33.7,28.2,30.4,22.6,11.0,79.0,Patchy rain possible,7.0
2022-07-20,32.9,27.4,29.5,19.6,5.1,75.0,Heavy rain at times,7.0
2022-07-21,31.7,25.6,28.3,20.5,13.7,78.0,Moderate or heavy rain shower,7.0
2022-07-22,31.4,25.0,28.0,16.9,11.5,78.0,Moderate or heavy rain shower,7.0
2022-07-23,33.6,25.7,28.8,16.9,2.0,76.0,Moderate rain at times,7.0
2022-07-24,34.7,25.8,29.5,16.6,0.1,74.0,Patchy rain possible,7.0
2022-07-25,36.0,25.4,29.7,17.3,0.0,71.0,Partly cloudy,9.0
2022-07-26,36.0,25.4,29.7,17.6,0.0,73.0,Partly cloudy,9.0
2022-07-27,33.8,25.7,29.4,16.9,0.0,75.0,Cloudy,7.0
