Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,27.8,23.8,25.2,3.0,19.8,89.0,Heavy rain at times,6.0
2022-06-30,27.8,23.0,24.5,5.8,13.2,90.0,Moderate or heavy rain shower,6.0
2022-07-01,29.0,22.5,25.1,6.9,10.5,90.0,Moderate or heavy rain shower,6.0
2022-07-02,32.7,23.4,27.1,12.2,4.5,82.0,Moderate or heavy rain shower,7.0
2022-07-03,30.8,24.2,26.5,13.7,2.5,89.0,Moderate rain at times,7.0
2022-07-04,34.2,24.4,27.9,5.8,8.0,79.0,Moderate or heavy rain shower,7.0
2022-07-05,29.1,24.8,26.7,5.8,3.9,90.0,Heavy rain at times,6.0
2022-07-06,27.6,23.9,25.2,6.9,18.2,95.0,Moderate or heavy rain shower,6.0
2022-07-07,26.4,23.1,24.3,6.8,12.5,96.0,Moderate or heavy rain shower,6.0
2022-07-08,26.1,22.8,24.0,8.3,27.6,93.0,Moderate or heavy rain shower,6.0
2022-07-09,28.3,23.2,24.9,8.6,4.7,88.0,Moderate or heavy rain shower,6.0
2022-07-10,30.2,22.7,25.7,7.9,0.6,84.0,Patchy rain possible,7.0
2022-07-11,29.8,23.5,26.0,6.8,1.3,84.0,Patchy rain possible,6.0
2022-07-12,28.8,23.9,25.9,7.6,1.4,84.0,Patchy rain possible,6.0
2022-07-13,29.9,24.1,26.5,10.1,1.1,84.0,Patchy rain possible,6.0
2022-07-14,29.8,23.2,26.1,9.0,0.7,86.0,Patchy rain possible,6.0
2022-07-15,31.2,23.4,26.7,6.5,1.4,83.0,Moderate rain at times,7.0
2022-07-16,32.4,24.3,27.3,8.6,0.4,83.0,Patchy rain possible,7.0
2022-07-17,33.4,25.1,28.2,10.8,0.5,86.0,Patchy rain possible,7.0
2022-07-18,31.6,25.2,27.6,10.1,20.2,88.0,Moderate rain at times,7.0
2022-07-19,28.6,24.5,25.8,8.3,16.0,95.0,Moderate or heavy rain shower,6.0
2022-07-20,28.1,24.3,25.6,9.0,4.4,94.0,Heavy rain at times,6.0
2022-07-21,26.6,23.4,24.7,7.6,10.6,94.0,Moderate or heavy rain shower,6.0
2022-07-22,28.4,22.4,24.6,9.0,5.2,87.0,Moderate or heavy rain shower,6.0
2022-07-23,30.4,21.6,25.8,10.4,0.1,81.0,Patchy rain possible,7.0
2022-07-24,33.4,22.7,27.0,11.5,0.0,78.0,Overcast,7.0
2022-07-25,34.5,23.0,27.4,10.1,0.0,75.0,Cloudy,7.0
2022-07-26,34.8,22.6,27.7,11.9,0.0,74.0,Partly cloudy,8.0
2022-07-27,34.1,22.9,27.3,14.4,0.0,77.0,Overcast,7.0
2022-07-28,32.2,22.3,27.0,11.2,0.0,74.0,Overcast,7.0
2022-07-29,32.9,23.1,27.4,9.7,0.5,74.0,Patchy rain possible,7.0
2022-07-30,30.7,23.7,26.6,5.4,6.9,89.0,Moderate or heavy rain shower,7.0
2022-07-31,30.6,23.1,26.3,11.2,3.6,80.0,Patchy rain possible,7.0
2022-08-01,29.3,23.1,25.6,6.8,5.2,86.0,Heavy rain at times,6.0
2022-08-02,30.3,23.1,26.5,6.1,1.5,80.0,Moderate rain at times,7.0
2022-08-03,33.5,22.9,27.6,4.7,0.4,73.0,Patchy rain possible,7.0
2022-08-04,33.3,23.1,27.3,4.7,1.4,79.0,Moderate rain at times,7.0
