"Ten,","ngay,",LuongVao(m3/s),Luongvao(m3),QuaNhaMay(m3/s),Luuluong(m3),Dien_nang (KW)
"sonLa,","06/07/2023,",2058,7408800,669,2408400,56865
"sonLa,","05/07/2023,",2085,7506000,0,0,0
"sonLa,","04/07/2023,",1944,6998400,0,0,0
"sonLa,","03/07/2023,",1111,3999600,0,0,0
"sonLa,","02/07/2023,",1111,3999600,0,0,0
"sonLa,","01/07/2023,",1853,6670800,0,0,0
"sonLa,","30/06/2023,",1248,4492800,137,493200,11645
"sonLa,","29/06/2023,",842,3031200,0,0,0
"sonLa,","28/06/2023,",835,3006000,0,0,0
"sonLa,","27/06/2023,",545,1962000,0,0,0
"sonLa,","26/06/2023,",556,2001600,0,0,0
"sonLa,","25/06/2023,",989,3560400,0,0,0
"sonLa,","24/06/2023,",2222,7999200,0,0,0
"sonLa,","23/06/2023,",556,2001600,0,0,0
"sonLa,","22/06/2023,",1050,3780000,0,0,0
"sonLa,","21/06/2023,",1050,3780000,0,0,0
"sonLa,","20/06/2023,",402,1447200,0,0,0
"sonLa,","19/06/2023,",655,2358000,0,0,0
"sonLa,","18/06/2023,",256,921600,0,0,0
"sonLa,","17/06/2023,",596,2145600,0,0,0
"sonLa,","16/06/2023,",305,1098000,0,0,0
"sonLa,","15/06/2023,",650,2340000,0,0,0
"sonLa,","14/06/2023,",335,1206000,0,0,0
"sonLa,","13/06/2023,",320,1152000,0,0,0
"sonLa,","12/06/2023,",150,540000,0,0,0
"sonLa,","11/06/2023,",278,1000800,0,0,0
"sonLa,","10/06/2023,",308,1108800,0,0,0
"sonLa,","09/06/2023,",524,1886400,0,0,0
"sonLa,","08/06/2023,",138,496800,0,0,0
"sonLa,","07/06/2023,",378,1360800,0,0,0
"sonLa,","07/06/2023,",90,324000,0,0,0
"sonLa,","06/06/2023,",95,342000,0,0,0
"sonLa,","05/06/2023,",90,324000,0,0,0
"sonLa,","04/06/2023,",290,1044000,0,0,0
"sonLa,","03/06/2023,",290,1044000,0,0,0
"sonLa,","02/06/2023,",202,727200,316,1137600,26860
"sonLa,","01/06/2023,",242,871200,2464,8870400,209440
"sonLa,","31/05/2023,",539,1940400,2483,8938800,211055
"sonLa,","30/05/2023,",784,2822400,1320,4752000,112200
"sonLa,","29/05/2023,",1582,5695200,0,0,0
"sonLa,","28/05/2023,",122,439200,0,0,0
"sonLa,","27/05/2023,",188,676800,0,0,0
"sonLa,","26/05/2023,",188,676800,0,0,0
"sonLa,","25/05/2023,",184,662400,0,0,0
"sonLa,","24/05/2023,",278,1000800,0,0,0
"sonLa,","23/05/2023,",367,1321200,1150,4140000,97750
"sonLa,","22/05/2023,",1145,4122000,2765,9954000,235025
"sonLa,","21/05/2023,",167,601200,2720,9792000,231200
"sonLa,","20/05/2023,",417,1501200,1753,6310800,149005
"sonLa,","19/05/2023,",1755,6318000,3024,10886400,257040
"sonLa,","18/05/2023,",1835,6606000,1728,6220800,146880
"sonLa,","17/05/2023,",1327,4777200,1883,6778800,160055
"sonLa,","16/05/2023,",556,2001600,0,0,0
"sonLa,","15/05/2023,",370,1332000,92,331200,7820
"sonLa,","14/05/2023,",130,468000,0,0,0
"sonLa,","13/05/2023,",278,1000800,0,0,0
"sonLa,","12/05/2023,",372,1339200,2159,7772400,183515
"sonLa,","11/05/2023,",426,1533600,2926,10533600,248710
"sonLa,","10/05/2023,",296,1065600,2828,10180800,240380
"sonLa,","09/05/2023,",213,766800,2820,10152000,239700
"sonLa,","08/05/2023,",412,1483200,2874,10346400,244290
"sonLa,","07/05/2023,",1370,4932000,2314,8330400,196690
"sonLa,","06/05/2023,",1090,3924000,2757,9925200,234345
"sonLa,","05/05/2023,",302,1087200,2524,9086400,214540
"sonLa,","04/05/2023,",1163,4186800,2464,8870400,209440
"sonLa,","03/05/2023,",415,1494000,2637,9493200,224145
"sonLa,","02/05/2023,",225,810000,2594,9338400,220490
"sonLa,","01/05/2023,",235,846000,771,2775600,65535
"sonLa,","30/04/2023,",278,1000800,0,0,0
"sonLa,","29/04/2023,",350,1260000,0,0,0
"sonLa,","28/04/2023,",186,669600,1575,5670000,133875
"sonLa,","27/04/2023,",237,853200,139,500400,11815
"sonLa,","26/04/2023,",93,334800,677,2437200,57545
"sonLa,","25/04/2023,",240,864000,1112,4003200,94520
"sonLa,","24/04/2023,",537,1933200,2901,10443600,246585
"sonLa,","23/04/2023,",739,2660400,2703,9730800,229755
"sonLa,","22/04/2023,",440,1584000,2825,10170000,240125
"sonLa,","21/04/2023,",1809,6512400,2733,9838800,232305
"sonLa,","20/04/2023,",375,1350000,2637,9493200,224145
"sonLa,","19/04/2023,",1153,4150800,2863,10306800,243355
"sonLa,","18/04/2023,",935,3366000,2296,8265600,195160
"sonLa,","17/04/2023,",360,1296000,2332,8395200,198220
"sonLa,","16/04/2023,",85,306000,466,1677600,39610
"sonLa,","15/04/2023,",226,813600,1435,5166000,121975
"sonLa,","14/04/2023,",422,1519200,1533,5518800,130305
"sonLa,","13/04/2023,",342,1231200,1250,4500000,106250
"sonLa,","12/04/2023,",1665,5994000,1817,6541200,154445
"sonLa,","11/04/2023,",1843,6634800,873,3142800,74205
"sonLa,","10/04/2023,",1567,5641200,486,1749600,41310
"sonLa,","09/04/2023,",1348,4852800,237,853200,20145
"sonLa,","08/04/2023,",271,975600,216,777600,18360
"sonLa,","07/04/2023,",260,936000,1525,5490000,129625
"sonLa,","06/04/2023,",1950,7020000,281,1011600,23885
"sonLa,","05/04/2023,",807,2905200,2314,8330400,196690
"sonLa,","04/04/2023,",470,1692000,1581,5691600,134385
"sonLa,","03/04/2023,",451,1623600,1274,4586400,108290
"sonLa,","02/04/2023,",1111,3999600,0,0,0
"sonLa,","01/04/2023,",456,1641600,0,0,0
"sonLa,","31/03/2023,",601,2163600,976,3513600,82960
"sonLa,","30/03/2023,",454,1634400,836,3009600,71060
"sonLa,","29/03/2023,",965,3474000,0,0,0
"sonLa,","28/03/2023,",439,1580400,0,0,0
"sonLa,","27/03/2023,",750,2700000,120,432000,10200
"sonLa,","26/03/2023,",1042,3751200,75,270000,6375
"sonLa,","25/03/2023,",576,2073600,1831,6591600,155635
"sonLa,","24/03/2023,",1300,4680000,1450,5220000,123250
"sonLa,","23/03/2023,",1440,5184000,1996,7185600,169660
"sonLa,","22/03/2023,",1282,4615200,1282,4615200,108970
"sonLa,","21/03/2023,",1594,5738400,613,2206800,52105
"sonLa,","20/03/2023,",1598,5752800,833,2998800,70805
"sonLa,","19/03/2023,",1389,5000400,0,0,0
"sonLa,","18/03/2023,",1450,5220000,0,0,0
"sonLa,","17/03/2023,",1445,5202000,0,0,0
"sonLa,","16/03/2023,",1291,4647600,0,0,0
"sonLa,","15/03/2023,",1211,4359600,0,0,0
"sonLa,","14/03/2023,",288,1036800,0,0,0
"sonLa,","13/03/2023,",150,540000,0,0,0
"sonLa,","12/03/2023,",112,403200,0,0,0
"sonLa,","11/03/2023,",246,885600,0,0,0
"sonLa,","10/03/2023,",268,964800,0,0,0
"sonLa,","09/03/2023,",356,1281600,0,0,0
"sonLa,","08/03/2023,",277,997200,0,0,0
"sonLa,","07/03/2023,",132,475200,0,0,0
"sonLa,","06/03/2023,",296,1065600,0,0,0
"sonLa,","05/03/2023,",215,774000,0,0,0
