Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,25.8,21.6,23.5,3.6,12.2,94.0,Moderate or heavy rain shower,6.0
2022-06-30,25.3,22.1,23.1,4.0,43.7,97.0,Moderate or heavy rain shower,6.0
2022-07-01,27.9,22.0,23.9,3.2,4.1,93.0,Heavy rain at times,6.0
2022-07-02,30.4,21.7,25.2,4.0,3.4,84.0,Moderate rain at times,7.0
2022-07-03,29.0,22.4,25.2,6.5,3.0,88.0,Patchy rain possible,6.0
2022-07-04,28.5,22.8,25.0,5.8,7.5,92.0,Moderate or heavy rain shower,6.0
2022-07-05,24.7,22.9,23.4,3.6,21.56,99.0,Moderate or heavy rain shower,5.0
2022-07-06,23.1,21.3,22.4,3.2,17.04,100.0,Moderate or heavy rain shower,5.0
2022-07-07,25.9,22.1,23.6,5.0,1.0,96.0,Patchy rain possible,6.0
2022-07-08,28.3,21.2,24.2,5.0,4.9,87.0,Moderate rain at times,6.0
2022-07-09,28.1,21.0,24.0,3.2,17.0,87.0,Moderate or heavy rain shower,6.0
2022-07-10,29.5,21.2,25.1,4.0,2.2,83.0,Moderate rain at times,6.0
2022-07-11,31.6,21.3,25.8,5.0,3.7,79.0,Moderate or heavy rain shower,7.0
2022-07-12,31.1,21.9,25.8,5.4,1.4,77.0,Moderate rain at times,7.0
2022-07-13,31.7,21.8,26.1,7.9,2.4,74.0,Moderate or heavy rain shower,7.0
2022-07-14,32.8,21.3,26.2,6.1,2.4,73.0,Moderate or heavy rain shower,7.0
2022-07-15,31.0,21.6,25.8,4.3,0.8,80.0,Patchy rain possible,7.0
2022-07-16,31.8,22.0,26.5,4.0,0.4,85.0,Patchy rain possible,7.0
2022-07-17,30.9,22.5,26.9,6.1,0.4,78.0,Patchy rain possible,7.0
2022-07-18,31.6,23.5,26.8,6.5,8.5,80.0,Moderate rain at times,7.0
2022-07-19,29.8,23.0,25.5,4.7,0.7,94.0,Patchy rain possible,6.0
2022-07-20,30.6,22.3,25.6,4.7,6.6,86.0,Heavy rain at times,7.0
2022-07-21,29.1,22.1,24.6,6.5,9.3,82.0,Moderate or heavy rain shower,6.0
2022-07-22,29.2,20.9,24.6,6.8,3.4,82.0,Moderate or heavy rain shower,6.0
2022-07-23,27.7,20.7,24.0,4.3,8.6,86.0,Heavy rain at times,6.0
2022-07-24,32.8,21.4,26.2,4.0,1.2,74.0,Patchy rain possible,7.0
2022-07-25,34.7,22.1,28.0,3.2,0.6,66.0,Patchy rain possible,7.0
2022-07-26,35.3,22.3,28.5,5.4,0.5,66.0,Patchy rain possible,8.0
2022-07-27,34.9,22.4,28.1,5.8,0.6,70.0,Moderate rain at times,7.0
2022-07-28,35.4,22.7,28.4,5.8,0.7,66.0,Patchy rain possible,8.0
2022-07-29,34.1,23.5,27.7,6.1,2.0,72.0,Patchy rain possible,7.0
2022-07-30,29.4,22.5,25.3,3.2,25.8,93.0,Moderate or heavy rain shower,6.0
2022-07-31,28.4,21.8,24.2,4.3,10.1,94.0,Moderate rain at times,6.0
2022-08-01,30.7,21.6,25.0,5.0,6.9,84.0,Moderate rain at times,7.0
2022-08-02,29.1,21.3,24.6,3.5,9.6,94.0,Moderate rain at times,6.0
2022-08-03,28.7,21.7,24.6,4.0,7.3,92.0,Moderate or heavy rain shower,6.0
2022-08-04,30.8,21.5,25.6,4.7,1.1,83.0,Patchy rain possible,7.0
2022-08-05,28.0,22.4,25.0,5.0,14.2,93.0,Moderate or heavy rain shower,6.0
