Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,23.7,18.3,20.5,11.2,13.3,90.0,Moderate or heavy rain shower,5.0
2022-06-30,23.5,17.7,20.2,7.9,8.9,89.0,Heavy rain at times,5.0
2022-07-01,23.4,17.5,20.2,8.3,7.0,91.0,Patchy rain possible,5.0
2022-07-02,26.1,17.4,21.7,9.7,6.8,84.0,Patchy rain possible,6.0
2022-07-03,26.7,17.9,21.9,15.2,4.7,84.0,Moderate or heavy rain shower,6.0
2022-07-04,27.1,18.9,22.2,5.8,7.9,85.0,Heavy rain at times,6.0
2022-07-05,27.4,18.2,22.0,5.8,8.1,84.0,Moderate or heavy rain shower,6.0
2022-07-06,26.5,17.8,21.8,6.1,2.6,81.0,Patchy rain possible,6.0
2022-07-07,28.4,17.9,21.8,8.6,3.2,80.0,Moderate rain at times,6.0
2022-07-08,24.7,17.0,20.7,6.8,26.1,86.0,Moderate or heavy rain shower,5.0
2022-07-09,25.4,18.3,20.6,13.0,11.2,90.0,Moderate or heavy rain shower,6.0
2022-07-10,25.2,17.5,20.7,14.8,0.6,89.0,Patchy rain possible,6.0
2022-07-11,26.4,17.9,21.4,14.4,1.0,86.0,Patchy rain possible,6.0
2022-07-12,26.5,18.1,21.6,14.8,1.0,86.0,Patchy rain possible,6.0
2022-07-13,26.5,17.9,21.6,13.7,1.2,84.0,Patchy rain possible,6.0
2022-07-14,26.6,17.9,21.3,11.5,0.5,82.0,Patchy rain possible,6.0
2022-07-15,25.2,17.5,21.1,10.4,1.8,87.0,Moderate rain at times,6.0
2022-07-16,27.4,17.9,22.1,11.5,0.6,86.0,Patchy rain possible,6.0
2022-07-17,27.5,19.0,22.7,10.8,0.2,87.0,Patchy rain possible,6.0
2022-07-18,27.1,19.6,22.8,13.7,1.8,87.0,Heavy rain at times,6.0
2022-07-19,23.6,18.9,20.9,10.0,2.6,95.0,Moderate rain at times,5.0
2022-07-20,25.3,18.9,21.3,13.7,6.0,92.0,Moderate rain at times,6.0
2022-07-21,24.4,17.7,20.7,17.3,3.0,88.0,Moderate rain at times,5.0
2022-07-22,24.8,17.3,20.3,14.8,2.5,87.0,Patchy rain possible,5.0
2022-07-23,26.0,16.6,20.6,13.3,1.0,85.0,Patchy rain possible,6.0
2022-07-24,26.3,16.8,20.9,14.0,0.2,86.0,Patchy rain possible,6.0
2022-07-25,28.5,16.8,22.1,16.2,0.2,81.0,Patchy rain possible,6.0
2022-07-26,28.9,17.2,22.4,15.8,0.0,80.0,Overcast,6.0
2022-07-27,29.2,17.3,22.3,17.3,0.7,81.0,Patchy rain possible,6.0
2022-07-28,28.7,17.6,22.1,15.0,1.8,82.0,Moderate rain at times,6.0
2022-07-29,26.0,17.9,21.2,12.6,5.8,86.0,Moderate or heavy rain shower,6.0
2022-07-30,25.6,17.8,20.7,11.5,3.9,86.0,Moderate or heavy rain shower,6.0
2022-07-31,24.5,17.6,20.1,9.0,2.0,91.0,Moderate rain at times,5.0
2022-08-01,23.2,17.7,19.7,7.7,5.7,93.0,Moderate or heavy rain shower,5.0
2022-08-02,24.3,17.9,20.7,13.0,2.7,90.0,Moderate rain at times,5.0
2022-08-03,25.6,17.3,21.0,10.4,1.5,87.0,Patchy rain possible,6.0
2022-08-04,26.3,17.4,21.3,6.5,4.4,87.0,Moderate or heavy rain shower,6.0
2022-08-05,26.6,17.7,21.2,7.2,14.3,88.0,Moderate or heavy rain shower,6.0
2022-08-06,23.9,18.3,20.2,10.1,7.5,91.0,Moderate or heavy rain shower,5.0
2022-08-07,22.9,18.0,19.8,12.2,3.5,93.0,Moderate rain at times,5.0
2022-08-08,26.0,17.2,20.4,11.5,1.6,85.0,Patchy rain possible,6.0
2022-08-09,26.3,16.1,20.7,8.6,8.1,81.0,Moderate or heavy rain shower,6.0
2022-08-10,26.2,16.4,20.2,10.8,7.4,84.0,Heavy rain at times,6.0
2022-08-11,19.6,18.0,18.7,13.0,18.8,97.0,Moderate or heavy rain shower,4.0
2022-08-12,21.3,17.1,19.4,11.5,17.2,93.0,Moderate or heavy rain shower,5.0
2022-08-13,23.6,16.3,19.8,11.9,2.8,88.0,Heavy rain at times,5.0
2022-08-14,26.5,17.4,21.2,10.8,1.3,85.0,Patchy rain possible,6.0
2022-08-15,26.3,17.4,21.4,9.7,1.4,88.0,Patchy rain possible,6.0
2022-08-16,26.5,18.1,21.1,11.2,1.6,89.0,Patchy rain possible,6.0
2022-08-17,26.4,18.4,21.4,11.2,1.6,85.0,Moderate rain at times,6.0
2022-08-18,26.6,17.8,21.4,10.8,0.7,85.0,Patchy rain possible,6.0
2022-08-19,27.5,17.4,22.0,7.6,1.5,84.0,Moderate rain at times,6.0
2022-08-20,26.6,18.1,21.5,8.3,11.8,85.0,Moderate or heavy rain shower,6.0
2022-08-21,23.9,17.2,19.9,10.1,8.3,89.0,Heavy rain at times,5.0
2022-08-22,24.0,17.6,20.0,8.3,2.1,91.0,Patchy rain possible,5.0
2022-08-23,26.4,17.9,21.5,9.7,0.1,87.0,Patchy rain possible,6.0
