Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,35.9,28.1,31.4,12.6,5.0,69.0,Moderate rain at times,8.0
2022-06-30,33.6,24.9,28.2,11.2,25.2,82.0,Moderate or heavy rain shower,7.0
2022-07-01,31.4,25.8,27.8,9.2,14.8,84.0,Moderate or heavy rain shower,7.0
2022-07-02,35.0,25.7,29.8,10.4,9.5,71.0,Moderate or heavy rain shower,8.0
2022-07-03,32.3,25.7,28.7,15.8,0.5,87.0,Patchy rain possible,7.0
2022-07-04,36.5,27.0,31.3,11.2,0.0,66.0,Partly cloudy,9.0
2022-07-05,36.3,28.0,30.9,13.0,0.0,75.0,Cloudy,8.0
2022-07-06,33.3,26.6,29.2,12.8,1.3,84.0,Moderate rain at times,7.0
2022-07-07,30.5,26.1,28.2,10.9,4.2,83.0,Moderate or heavy rain shower,7.0
2022-07-08,30.0,24.7,27.2,9.0,1.5,83.0,Patchy rain possible,7.0
2022-07-09,30.9,25.3,27.7,10.8,6.2,82.0,Heavy rain at times,7.0
2022-07-10,32.6,25.5,28.6,15.5,7.7,80.0,Moderate or heavy rain shower,7.0
2022-07-11,32.2,25.8,28.4,14.8,7.8,82.0,Heavy rain at times,7.0
2022-07-12,31.6,25.7,28.0,11.5,6.0,81.0,Moderate or heavy rain shower,7.0
2022-07-13,30.7,25.7,27.8,8.6,10.8,82.0,Moderate or heavy rain shower,7.0
2022-07-14,30.6,25.0,27.1,9.4,30.2,86.0,Moderate or heavy rain shower,7.0
2022-07-15,32.5,24.8,28.1,11.5,2.7,81.0,Patchy rain possible,7.0
2022-07-16,34.4,26.1,29.4,12.6,0.2,79.0,Patchy rain possible,7.0
2022-07-17,36.1,27.4,30.7,14.4,0.0,79.0,Cloudy,8.0
2022-07-18,37.5,27.8,31.7,15.8,0.0,72.0,Sunny,9.0
2022-07-19,36.3,28.0,31.0,18.7,0.0,77.0,Sunny,9.0
2022-07-20,32.1,26.2,29.5,16.7,20.9,82.0,Moderate or heavy rain shower,7.0
2022-07-21,29.8,25.6,27.4,18.4,19.6,86.0,Moderate or heavy rain shower,6.0
2022-07-22,31.7,24.3,27.6,18.4,4.0,83.0,Patchy rain possible,7.0
2022-07-23,33.0,24.8,28.5,14.4,0.5,81.0,Patchy rain possible,7.0
2022-07-24,33.6,25.7,29.1,17.3,0.2,79.0,Patchy rain possible,7.0
2022-07-25,34.0,25.2,29.0,16.6,0.0,75.0,Sunny,8.0
2022-07-26,34.3,25.4,29.3,17.3,0.0,77.0,Partly cloudy,8.0
2022-07-27,33.7,26.3,29.3,16.2,0.0,79.0,Cloudy,7.0
2022-07-28,33.6,26.1,29.3,15.5,0.0,80.0,Cloudy,7.0
2022-07-29,35.2,26.3,29.7,15.8,0.0,81.0,Cloudy,8.0
2022-07-30,33.8,26.2,29.8,11.6,8.2,80.0,Moderate or heavy rain shower,7.0
2022-07-31,33.3,25.3,29.1,11.9,14.8,75.0,Moderate or heavy rain shower,7.0
2022-08-01,32.6,25.5,28.6,16.9,10.7,83.0,Moderate or heavy rain shower,7.0
2022-08-02,32.5,25.9,28.7,14.4,18.9,81.0,Moderate or heavy rain shower,7.0
2022-08-03,32.3,25.4,28.6,12.6,2.1,82.0,Patchy rain possible,7.0
2022-08-04,33.1,26.5,29.5,11.5,0.1,81.0,Patchy rain possible,7.0
2022-08-05,29.8,25.8,27.8,10.1,17.1,84.0,Heavy rain at times,6.0
2022-08-06,28.2,25.4,26.4,7.9,29.7,91.0,Moderate or heavy rain shower,6.0
2022-08-07,26.6,24.0,25.3,6.1,24.25,95.0,Moderate or heavy rain shower,6.0
2022-08-08,30.2,23.7,26.5,10.8,9.4,85.0,Heavy rain at times,7.0
2022-08-09,30.8,24.3,26.9,8.6,20.5,85.0,Moderate or heavy rain shower,7.0
2022-08-10,33.0,24.8,28.1,10.8,5.4,81.0,Moderate rain at times,7.0
2022-08-11,29.6,24.8,26.7,9.8,35.3,87.0,Moderate or heavy rain shower,6.0
2022-08-12,27.0,23.7,25.4,6.8,14.5,92.0,Moderate or heavy rain shower,6.0
2022-08-13,30.8,24.6,26.9,10.4,5.2,88.0,Moderate rain at times,7.0
2022-08-14,33.6,25.2,28.5,10.2,0.5,82.0,Moderate rain at times,7.0
2022-08-15,33.8,25.7,29.2,12.7,4.2,80.0,Moderate rain at times,7.0
2022-08-16,32.5,26.3,29.0,12.2,7.5,83.0,Moderate or heavy rain shower,7.0
