Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,34.5,27.2,30.7,10.8,4.0,70.0,Heavy rain at times,7.0
2022-06-30,30.4,25.6,27.5,11.5,17.0,82.0,Moderate or heavy rain shower,7.0
2022-07-01,33.5,25.3,28.9,11.2,8.5,72.0,Moderate or heavy rain shower,7.0
2022-07-02,36.4,27.0,31.1,18.4,0.9,67.0,Patchy rain possible,8.0
2022-07-03,34.3,26.9,29.3,12.6,10.0,85.0,Heavy rain at times,7.0
2022-07-04,34.5,28.5,31.4,11.9,0.0,71.0,Partly cloudy,8.0
2022-07-05,34.3,27.3,30.7,11.9,1.17,75.0,Cloudy,7.0
2022-07-06,29.8,26.2,27.9,10.4,6.16,87.0,Moderate rain at times,6.0
2022-07-07,28.8,26.1,27.2,9.7,19.3,86.0,Moderate or heavy rain shower,6.0
2022-07-08,31.0,25.2,27.7,10.4,5.3,80.0,Patchy rain possible,7.0
2022-07-09,31.9,26.0,28.4,13.2,5.5,77.0,Moderate rain at times,7.0
2022-07-10,33.2,26.0,28.9,14.8,2.8,78.0,Patchy rain possible,7.0
2022-07-11,33.7,26.9,29.3,13.7,6.1,73.0,Moderate rain at times,7.0
2022-07-12,32.3,26.9,28.8,13.8,6.0,74.0,Moderate rain at times,7.0
2022-07-13,32.2,26.6,28.7,11.2,6.8,76.0,Moderate or heavy rain shower,7.0
2022-07-14,31.5,25.5,27.8,8.6,5.5,82.0,Moderate rain at times,7.0
2022-07-15,33.7,25.6,29.2,13.7,2.6,77.0,Patchy rain possible,7.0
2022-07-16,34.9,27.0,30.5,14.4,0.0,73.0,Overcast,7.0
2022-07-17,37.2,27.8,31.7,16.8,0.0,75.0,Overcast,8.0
2022-07-18,37.9,28.3,32.0,16.2,0.9,75.0,Cloudy,8.0
2022-07-19,36.6,28.6,31.6,18.7,3.8,75.0,Cloudy,8.0
2022-07-20,33.7,27.3,29.6,17.9,5.9,74.0,Heavy rain at times,7.0
2022-07-21,31.7,25.3,28.1,20.2,15.1,79.0,Heavy rain at times,7.0
2022-07-22,32.3,25.2,28.0,16.6,6.3,78.0,Moderate or heavy rain shower,7.0
2022-07-23,33.7,25.9,29.1,14.8,2.7,75.0,Moderate or heavy rain shower,7.0
2022-07-24,35.1,26.2,30.1,16.6,0.3,71.0,Patchy rain possible,8.0
2022-07-25,36.6,25.7,30.4,19.6,0.0,67.0,Sunny,9.0
2022-07-26,36.6,25.7,30.3,20.4,0.0,69.0,Sunny,9.0
2022-07-27,33.3,26.5,29.9,14.0,0.0,75.0,Overcast,7.0
2022-07-28,36.7,26.3,30.7,16.2,0.0,71.0,Cloudy,8.0
2022-07-29,35.4,26.5,30.6,14.4,0.0,73.0,Cloudy,8.0
2022-07-30,33.1,26.9,29.5,11.9,18.4,80.0,Moderate or heavy rain shower,7.0
2022-07-31,33.9,25.1,28.7,10.8,19.6,74.0,Moderate or heavy rain shower,7.0
2022-08-01,33.8,25.9,29.1,11.4,10.9,79.0,Moderate or heavy rain shower,7.0
2022-08-02,32.4,26.2,29.0,13.3,3.3,78.0,Patchy rain possible,7.0
2022-08-03,35.0,26.1,29.9,14.0,0.7,75.0,Patchy rain possible,8.0
2022-08-04,34.6,27.1,30.5,11.5,0.6,74.0,Patchy rain possible,7.0
2022-08-05,28.7,26.0,27.6,11.9,20.7,85.0,Moderate or heavy rain shower,6.0
2022-08-06,27.6,25.0,26.1,10.1,21.4,89.0,Moderate or heavy rain shower,6.0
2022-08-07,26.4,24.3,25.2,9.0,21.9,93.0,Moderate or heavy rain shower,6.0
2022-08-08,32.9,23.9,27.8,11.9,5.7,81.0,Heavy rain at times,7.0
2022-08-09,33.2,24.2,29.1,8.6,5.6,74.0,Patchy rain possible,7.0
2022-08-10,33.0,25.3,28.3,14.4,17.9,78.0,Moderate or heavy rain shower,7.0
2022-08-11,26.3,24.3,25.2,9.8,94.7,94.0,Moderate or heavy rain shower,6.0
2022-08-12,26.2,23.6,24.6,11.2,30.7,95.0,Moderate or heavy rain shower,6.0
2022-08-13,31.1,24.4,27.1,12.2,7.9,86.0,Moderate or heavy rain shower,7.0
2022-08-14,33.3,25.5,28.6,14.0,7.3,82.0,Moderate or heavy rain shower,7.0
2022-08-15,33.3,26.2,29.2,15.1,2.1,81.0,Patchy rain possible,7.0
2022-08-16,33.3,25.9,29.1,14.0,1.4,82.0,Patchy rain possible,7.0
2022-08-17,33.6,26.1,29.4,13.0,2.4,75.0,Patchy rain possible,7.0
2022-08-18,34.7,26.4,29.8,11.9,0.9,76.0,Patchy rain possible,7.0
2022-08-19,34.5,26.6,30.0,12.2,3.5,74.0,Heavy rain at times,7.0
2022-08-20,32.5,26.4,28.6,9.7,21.7,77.0,Moderate or heavy rain shower,7.0
2022-08-21,29.3,25.1,26.7,10.8,15.4,87.0,Moderate or heavy rain shower,6.0
2022-08-22,32.3,24.1,27.6,10.8,3.9,84.0,Moderate or heavy rain shower,7.0
2022-08-23,34.2,25.6,29.3,11.0,1.8,78.0,Moderate rain at times,7.0
2022-08-24,34.7,26.8,30.1,10.1,6.9,75.0,Moderate or heavy rain shower,7.0
2022-08-25,33.9,26.3,29.8,9.0,15.2,77.0,Patchy rain possible,7.0
2022-08-26,28.2,24.1,25.7,21.5,79.8,94.0,Moderate or heavy rain shower,6.0
2022-08-27,31.0,24.0,27.2,11.9,0.2,87.0,Overcast,7.0
2022-08-28,33.8,25.2,28.9,15.8,0.4,79.0,Patchy rain possible,7.0
2022-08-29,34.2,26.5,29.6,19.9,0.0,77.0,Partly cloudy,8.0
2022-08-30,33.4,25.6,28.9,12.2,0.0,77.0,Cloudy,7.0
2022-08-31,35.5,25.5,29.9,10.4,0.2,74.0,Patchy rain possible,8.0
2022-09-01,31.2,25.9,28.1,10.8,6.6,80.0,Moderate rain at times,7.0
2022-09-02,32.9,24.8,28.7,10.1,1.0,78.0,Patchy rain possible,7.0
2022-09-03,34.7,25.4,29.0,10.8,0.4,78.0,Patchy rain possible,7.0
2022-09-04,30.9,24.8,27.4,16.9,3.6,77.0,Moderate rain at times,7.0
2022-09-05,33.2,24.2,27.9,14.0,0.0,66.0,Partly cloudy,8.0
2022-09-06,35.0,23.9,29.3,15.5,0.0,61.0,Partly cloudy,8.0
2022-09-07,33.9,24.3,28.1,11.2,3.0,68.0,Heavy rain at times,7.0
2022-09-08,26.8,24.1,25.3,15.1,38.4,91.0,Moderate or heavy rain shower,6.0
2022-09-09,25.6,23.6,24.6,5.4,13.5,94.0,Moderate rain at times,6.0
2022-09-10,28.5,23.3,25.6,9.0,4.0,86.0,Patchy rain possible,6.0
2022-09-11,32.2,24.1,27.2,5.9,1.9,81.0,Patchy rain possible,7.0
2022-09-12,30.0,23.7,26.4,7.6,0.3,85.0,Patchy rain possible,7.0
2022-09-13,30.3,23.3,26.5,7.9,0.3,85.0,Patchy rain possible,7.0
2022-09-14,32.6,23.3,27.3,11.2,0.5,78.0,Patchy rain possible,7.0
2022-09-15,32.2,23.5,27.4,13.0,1.7,82.0,Moderate rain at times,7.0
2022-09-16,28.9,24.7,26.2,11.5,31.7,84.0,Moderate or heavy rain shower,6.0
2022-09-17,29.4,24.5,26.1,4.7,27.3,88.0,Moderate or heavy rain shower,6.0
2022-09-18,33.5,23.4,28.2,8.6,0.1,76.0,Patchy rain possible,7.0
2022-09-19,35.0,25.0,29.6,8.9,0.0,73.0,Partly cloudy,8.0
2022-09-20,34.6,25.8,29.2,11.4,0.3,74.0,Cloudy,7.0
2022-09-21,31.3,25.0,27.2,14.8,15.7,79.0,Moderate rain at times,7.0
2022-09-22,29.4,24.0,26.2,13.3,11.9,85.0,Moderate or heavy rain shower,6.0
