Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,35.9,27.7,30.5,15.5,6.3,74.0,Moderate or heavy rain shower,8.0
2022-06-30,32.2,26.0,28.9,11.2,29.4,75.0,Moderate or heavy rain shower,7.0
2022-07-01,33.2,26.0,29.0,13.3,17.8,72.0,Moderate or heavy rain shower,7.0
2022-07-02,35.3,26.3,29.9,20.5,11.6,70.0,Heavy rain at times,8.0
2022-07-03,30.5,25.3,27.2,16.6,18.03,92.0,Moderate or heavy rain shower,7.0
2022-07-04,35.6,27.7,30.7,11.9,0.0,75.0,Cloudy,8.0
2022-07-05,34.2,27.0,30.5,13.4,7.1,78.0,Heavy rain at times,7.0
2022-07-06,32.1,26.1,28.7,16.2,4.0,81.0,Patchy rain possible,7.0
2022-07-07,31.5,25.8,27.7,13.3,15.3,87.0,Heavy rain at times,7.0
2022-07-08,30.4,25.4,27.1,10.1,8.6,87.0,Moderate rain at times,7.0
2022-07-09,31.4,25.5,28.1,17.6,7.9,81.0,Moderate or heavy rain shower,7.0
2022-07-10,31.4,26.1,28.5,18.0,10.0,78.0,Moderate or heavy rain shower,7.0
2022-07-11,32.6,25.9,28.8,21.2,17.8,79.0,Moderate or heavy rain shower,7.0
2022-07-12,32.0,26.1,28.9,18.6,6.3,81.0,Moderate rain at times,7.0
2022-07-13,31.9,25.9,28.7,18.5,6.3,80.0,Moderate rain at times,7.0
2022-07-14,31.3,25.9,28.1,17.3,17.7,85.0,Moderate or heavy rain shower,7.0
2022-07-15,32.9,25.3,28.9,13.3,7.9,79.0,Moderate rain at times,7.0
2022-07-16,34.2,26.9,30.0,14.4,0.4,77.0,Cloudy,7.0
2022-07-17,35.2,27.8,30.8,18.7,0.3,80.0,Overcast,8.0
2022-07-18,36.0,28.6,31.1,19.0,0.0,79.0,Overcast,8.0
2022-07-19,33.8,28.4,30.7,22.7,1.1,79.0,Patchy rain possible,7.0
2022-07-20,32.5,27.6,29.6,22.9,10.7,76.0,Moderate or heavy rain shower,7.0
2022-07-21,31.4,25.9,28.3,23.8,20.4,78.0,Moderate or heavy rain shower,7.0
2022-07-22,31.3,25.4,28.2,19.8,8.0,79.0,Moderate rain at times,7.0
2022-07-23,32.8,25.5,28.9,16.6,1.4,77.0,Patchy rain possible,7.0
2022-07-24,34.4,26.1,29.5,16.6,0.3,75.0,Patchy rain possible,7.0
2022-07-25,34.9,25.7,29.6,16.2,0.0,72.0,Sunny,8.0
2022-07-26,34.6,25.9,29.5,17.3,0.0,74.0,Partly cloudy,8.0
2022-07-27,34.8,26.4,29.9,17.6,0.0,73.0,Partly cloudy,8.0
2022-07-28,35.3,26.3,30.0,15.5,0.0,71.0,Partly cloudy,9.0
2022-07-29,35.0,26.2,30.0,14.8,0.0,70.0,Sunny,8.0
2022-07-30,33.1,26.5,29.7,15.8,5.7,76.0,Moderate or heavy rain shower,7.0
2022-07-31,32.3,26.5,29.3,16.9,24.0,76.0,Moderate or heavy rain shower,7.0
2022-08-01,32.8,26.5,29.5,18.0,9.5,76.0,Moderate or heavy rain shower,7.0
2022-08-02,32.5,26.8,29.4,16.6,5.7,74.0,Heavy rain at times,7.0
2022-08-03,34.8,26.4,30.1,14.0,1.8,74.0,Patchy rain possible,7.0
2022-08-04,34.8,27.3,30.2,12.2,1.0,75.0,Moderate rain at times,7.0
2022-08-05,28.8,26.4,27.5,11.8,27.5,88.0,Moderate or heavy rain shower,6.0
2022-08-06,27.5,24.3,25.8,12.2,24.7,92.0,Moderate or heavy rain shower,6.0
2022-08-07,27.4,24.1,25.7,13.0,27.18,94.0,Moderate or heavy rain shower,6.0
2022-08-08,31.3,24.1,27.6,11.7,18.5,83.0,Moderate or heavy rain shower,7.0
2022-08-09,33.2,25.7,28.9,10.0,16.3,76.0,Moderate or heavy rain shower,7.0
2022-08-10,30.4,25.2,27.4,17.3,21.5,82.0,Moderate or heavy rain shower,7.0
2022-08-11,28.3,23.7,25.7,17.3,48.6,91.0,Moderate or heavy rain shower,6.0
2022-08-12,26.6,24.5,25.3,16.6,34.36,95.0,Moderate or heavy rain shower,6.0
2022-08-13,31.2,24.2,27.1,13.7,5.4,88.0,Moderate rain at times,7.0
2022-08-14,32.8,26.1,28.8,13.3,2.0,84.0,Moderate rain at times,7.0
2022-08-15,32.3,26.3,29.1,18.4,0.8,83.0,Patchy rain possible,7.0
2022-08-16,33.4,26.6,29.5,18.7,2.9,80.0,Heavy rain at times,7.0
2022-08-17,33.2,26.3,29.3,14.4,3.0,78.0,Moderate rain at times,7.0
2022-08-18,33.8,26.2,29.7,13.3,4.3,79.0,Heavy rain at times,7.0
2022-08-19,34.2,26.7,29.9,13.7,7.2,77.0,Moderate or heavy rain shower,7.0
2022-08-20,31.8,26.2,28.4,12.8,34.2,79.0,Moderate or heavy rain shower,7.0
2022-08-21,29.6,25.1,27.0,15.1,19.6,88.0,Moderate or heavy rain shower,6.0
2022-08-22,32.6,24.3,28.0,14.0,5.1,85.0,Patchy rain possible,7.0
2022-08-23,33.0,26.2,29.3,12.6,2.4,80.0,Moderate rain at times,7.0
2022-08-24,34.5,26.5,29.9,10.4,5.2,78.0,Moderate or heavy rain shower,7.0
2022-08-25,33.5,26.2,28.9,26.4,54.2,80.0,Moderate or heavy rain shower,7.0
2022-08-26,29.3,24.5,26.8,27.6,44.39,92.0,Moderate or heavy rain shower,6.0
2022-08-27,30.1,25.0,27.3,17.3,1.9,88.0,Cloudy,7.0
2022-08-28,32.6,25.1,28.5,15.5,0.6,83.0,Patchy rain possible,7.0
2022-08-29,32.9,26.5,29.2,17.3,0.3,77.0,Patchy rain possible,7.0
2022-08-30,33.6,25.9,29.2,10.8,0.0,78.0,Overcast,7.0
2022-08-31,34.8,25.5,29.6,10.1,0.6,77.0,Patchy rain possible,7.0
2022-09-01,32.0,25.1,28.4,10.7,19.7,79.0,Moderate rain at times,7.0
2022-09-02,32.9,24.7,28.7,9.7,3.5,79.0,Patchy rain possible,7.0
2022-09-03,33.8,25.2,29.0,9.7,0.9,79.0,Patchy rain possible,7.0
2022-09-04,32.4,25.2,28.6,10.3,9.7,74.0,Moderate or heavy rain shower,7.0
2022-09-05,33.3,23.7,28.2,15.5,0.0,67.0,Partly cloudy,8.0
2022-09-06,35.7,24.2,29.4,11.2,0.0,65.0,Partly cloudy,9.0
2022-09-07,32.9,24.6,28.5,17.3,6.7,70.0,Moderate rain at times,7.0
2022-09-08,28.4,24.3,26.5,19.8,56.1,87.0,Moderate or heavy rain shower,6.0
2022-09-09,26.2,23.6,25.0,13.0,35.6,96.0,Moderate or heavy rain shower,6.0
2022-09-10,30.7,22.9,26.3,8.6,16.3,86.0,Moderate or heavy rain shower,7.0
2022-09-11,32.6,23.4,27.8,10.4,4.3,80.0,Heavy rain at times,7.0
2022-09-12,30.3,23.9,27.0,7.6,1.7,86.0,Patchy rain possible,7.0
2022-09-13,31.2,23.5,27.0,9.4,0.6,85.0,Patchy rain possible,7.0
2022-09-14,32.9,23.5,27.6,11.5,0.2,78.0,Patchy rain possible,7.0
2022-09-15,33.5,24.3,28.5,14.0,0.9,79.0,Moderate rain at times,7.0
2022-09-16,29.6,25.3,27.4,9.4,11.0,84.0,Moderate or heavy rain shower,6.0
2022-09-17,31.2,24.1,27.1,10.1,20.6,86.0,Moderate or heavy rain shower,7.0
2022-09-18,33.0,23.5,27.9,9.7,0.3,81.0,Patchy rain possible,7.0
2022-09-19,33.7,24.9,29.3,10.4,0.0,77.0,Partly cloudy,8.0
2022-09-20,34.7,25.1,28.7,13.0,2.6,78.0,Moderate or heavy rain shower,7.0
2022-09-21,30.2,24.2,27.2,21.6,22.7,83.0,Moderate or heavy rain shower,7.0
2022-09-22,29.5,23.7,26.3,22.7,19.6,87.0,Heavy rain at times,6.0
2022-09-23,31.7,23.8,27.2,15.5,15.8,80.0,Heavy rain at times,7.0
2022-09-24,31.1,23.6,26.9,21.6,15.0,79.0,Heavy rain at times,7.0
2022-09-25,30.3,23.5,26.8,19.1,10.5,82.0,Moderate or heavy rain shower,7.0
2022-09-26,32.7,23.4,27.7,10.4,0.6,80.0,Patchy rain possible,7.0
2022-09-27,34.2,23.7,28.5,11.4,0.7,73.0,Partly cloudy,8.0
2022-09-28,27.3,23.8,25.6,22.0,30.5,87.0,Moderate or heavy rain shower,6.0
2022-09-29,27.9,23.3,25.2,22.9,38.4,88.0,Moderate or heavy rain shower,6.0
2022-09-30,28.0,23.5,25.5,13.0,21.8,93.0,Moderate or heavy rain shower,6.0
2022-10-01,28.0,23.3,25.7,12.2,38.6,92.0,Moderate or heavy rain shower,6.0
2022-10-02,28.9,24.1,26.3,13.0,23.5,86.0,Moderate or heavy rain shower,6.0
2022-10-03,31.2,23.5,27.0,19.8,4.8,85.0,Moderate rain at times,7.0
2022-10-04,30.8,23.3,27.1,12.6,6.1,83.0,Moderate rain at times,7.0
2022-10-05,32.1,24.2,27.8,17.6,4.1,79.0,Patchy rain possible,7.0
2022-10-06,31.1,23.8,27.2,20.9,3.8,82.0,Moderate rain at times,7.0
2022-10-07,29.6,23.3,26.7,21.6,12.5,84.0,Moderate or heavy rain shower,6.0
2022-10-08,28.0,23.7,25.8,22.3,17.8,85.0,Heavy rain at times,6.0
2022-10-09,25.7,20.9,23.7,19.8,14.9,93.0,Heavy rain at times,6.0
2022-10-10,22.2,18.3,20.2,18.7,0.0,82.0,Overcast,5.0
2022-10-11,27.9,17.8,22.4,9.8,0.0,59.0,Partly cloudy,7.0
2022-10-12,28.7,18.0,23.2,11.2,0.0,59.0,Sunny,7.0
2022-10-13,30.0,18.1,23.7,10.8,0.0,57.0,Sunny,8.0
2022-10-14,30.2,17.8,24.0,17.3,0.0,54.0,Sunny,8.0
2022-10-15,29.6,20.8,24.7,16.2,0.0,54.0,Cloudy,6.0
2022-10-16,31.5,18.8,24.8,19.1,0.0,52.0,Partly cloudy,8.0
2022-10-17,31.3,20.4,25.3,24.8,0.0,55.0,Sunny,8.0
2022-10-18,30.0,19.7,24.4,24.8,0.0,46.0,Sunny,8.0
2022-10-19,23.0,15.8,20.2,15.2,14.0,56.0,Moderate or heavy rain shower,5.0
2022-10-20,18.3,14.7,16.8,18.9,20.3,94.0,Moderate or heavy rain shower,4.0
2022-10-21,26.6,17.4,21.2,16.1,10.2,86.0,Moderate or heavy rain shower,6.0
2022-10-22,30.9,18.9,24.4,13.8,0.0,77.0,Partly cloudy,8.0
2022-10-23,32.3,21.6,26.5,10.4,0.0,70.0,Partly cloudy,8.0
2022-10-24,30.9,22.7,26.2,20.6,0.0,71.0,Partly cloudy,8.0
2022-10-25,26.8,23.4,24.9,20.5,4.3,80.0,Heavy rain at times,6.0
2022-10-26,27.9,22.3,24.3,20.5,1.8,78.0,Patchy rain possible,6.0
2022-10-27,29.2,22.2,24.9,22.3,0.6,79.0,Patchy rain possible,6.0
2022-10-28,30.1,21.1,24.9,18.4,0.4,80.0,Patchy rain possible,7.0
2022-10-29,29.6,21.3,24.6,14.8,0.0,72.0,Partly cloudy,7.0
2022-10-30,30.0,21.0,25.4,13.4,0.0,65.0,Partly cloudy,7.0
2022-10-31,29.8,20.9,24.7,24.8,0.0,56.0,Sunny,7.0
2022-11-01,29.1,19.3,23.7,24.5,0.0,48.0,Sunny,7.0
2022-11-02,30.0,17.8,23.4,8.6,0.0,50.0,Sunny,7.0
2022-11-03,30.0,17.9,24.0,13.3,0.0,50.0,Partly cloudy,8.0
2022-11-04,29.6,20.3,24.0,15.8,0.0,58.0,Sunny,7.0
2022-11-05,28.7,20.1,23.8,19.1,0.0,65.0,Sunny,7.0
2022-11-06,27.7,18.7,22.7,14.8,0.0,72.0,Overcast,6.0
2022-11-07,27.0,19.7,23.2,17.2,0.0,75.0,Overcast,6.0
2022-11-08,28.9,20.5,24.0,17.9,0.0,72.0,Cloudy,6.0
2022-11-09,28.2,20.8,24.2,16.2,0.6,74.0,Patchy rain possible,6.0
2022-11-10,28.8,21.2,24.7,18.4,1.9,78.0,Patchy rain possible,6.0
2022-11-11,29.4,21.8,25.3,20.9,1.1,80.0,Patchy rain possible,6.0
2022-11-12,28.8,21.4,24.7,18.0,0.4,79.0,Patchy rain possible,6.0
2022-11-13,30.0,20.7,25.3,17.3,1.5,76.0,Patchy rain possible,7.0
2022-11-14,30.1,23.3,26.2,21.6,0.5,71.0,Patchy rain possible,7.0
2022-11-15,29.3,22.9,25.9,20.5,2.0,83.0,Patchy rain possible,6.0
2022-11-16,30.0,23.1,26.3,16.9,1.5,77.0,Patchy rain possible,7.0
2022-11-17,30.0,22.9,26.2,17.6,0.8,79.0,Patchy rain possible,7.0
2022-11-18,30.3,23.4,26.6,16.3,1.0,77.0,Patchy rain possible,7.0
2022-11-19,30.0,23.6,26.3,20.2,1.2,74.0,Patchy rain possible,7.0
2022-11-20,30.1,21.7,25.7,21.6,0.0,70.0,Partly cloudy,8.0
2022-11-21,29.4,21.8,25.4,19.8,0.4,77.0,Patchy rain possible,6.0
2022-11-22,27.6,23.5,25.5,13.7,6.4,78.0,Moderate rain at times,6.0
2022-11-23,27.5,23.7,25.0,15.5,1.6,83.0,Patchy rain possible,6.0
2022-11-24,24.1,22.5,23.4,12.6,14.1,88.0,Moderate or heavy rain shower,5.0
2022-11-25,27.3,22.0,24.5,15.1,23.5,83.0,Moderate rain at times,6.0
2022-11-26,25.9,23.1,24.5,16.9,61.7,86.0,Moderate or heavy rain shower,6.0
2022-11-27,29.9,23.3,26.4,24.8,0.6,83.0,Patchy rain possible,6.0
