Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,35.9,27.5,30.1,14.0,6.3,77.0,Moderate or heavy rain shower,8.0
2022-06-30,32.3,26.3,28.7,10.1,29.4,77.0,Moderate or heavy rain shower,7.0
2022-07-01,32.2,26.1,28.8,12.2,17.8,73.0,Moderate or heavy rain shower,7.0
2022-07-02,34.7,26.4,29.8,19.8,11.6,70.0,Heavy rain at times,7.0
2022-07-03,30.1,25.6,27.2,15.4,17.07,93.0,Moderate or heavy rain shower,7.0
2022-07-04,36.1,27.8,30.5,13.0,0.0,77.0,Overcast,8.0
2022-07-05,33.3,25.8,30.0,13.1,7.1,80.0,Heavy rain at times,7.0
2022-07-06,32.2,25.1,28.2,15.5,4.0,81.0,Patchy rain possible,7.0
2022-07-07,30.5,25.9,27.3,12.8,15.3,88.0,Heavy rain at times,7.0
2022-07-08,29.0,25.5,26.7,9.0,8.6,88.0,Moderate rain at times,6.0
2022-07-09,30.7,25.8,28.0,17.3,7.9,82.0,Moderate or heavy rain shower,7.0
2022-07-10,32.2,26.3,28.6,17.6,10.0,79.0,Moderate or heavy rain shower,7.0
2022-07-11,32.9,26.2,29.0,19.8,17.8,78.0,Moderate or heavy rain shower,7.0
2022-07-12,31.8,26.4,28.8,17.6,6.3,80.0,Moderate rain at times,7.0
2022-07-13,32.4,26.3,29.0,20.5,6.3,79.0,Moderate rain at times,7.0
2022-07-14,30.8,26.5,28.1,16.0,17.7,84.0,Moderate or heavy rain shower,7.0
2022-07-15,33.5,25.6,28.9,13.7,7.9,78.0,Moderate rain at times,7.0
2022-07-16,33.2,27.2,29.8,14.8,0.4,77.0,Cloudy,7.0
2022-07-17,34.3,27.9,30.6,17.9,0.3,80.0,Cloudy,7.0
2022-07-18,34.1,28.6,30.8,18.0,0.0,80.0,Overcast,7.0
2022-07-19,33.5,28.3,30.4,20.5,1.1,80.0,Patchy rain possible,7.0
2022-07-20,31.8,27.7,29.5,22.4,10.7,77.0,Moderate or heavy rain shower,7.0
2022-07-21,30.8,26.1,28.3,22.7,20.4,79.0,Moderate or heavy rain shower,7.0
2022-07-22,30.8,25.5,28.0,20.2,8.0,79.0,Moderate rain at times,7.0
2022-07-23,33.2,25.7,29.1,16.6,1.4,77.0,Patchy rain possible,7.0
2022-07-24,34.0,26.2,29.5,16.2,0.3,75.0,Patchy rain possible,7.0
2022-07-25,34.4,25.9,29.6,15.8,0.0,72.0,Sunny,8.0
2022-07-26,34.1,26.0,29.5,16.6,0.0,74.0,Partly cloudy,8.0
2022-07-27,34.3,26.6,29.7,17.3,0.0,73.0,Partly cloudy,8.0
2022-07-28,34.8,26.4,29.9,15.1,0.0,71.0,Partly cloudy,8.0
2022-07-29,34.8,26.3,29.9,14.0,0.0,70.0,Sunny,8.0
2022-07-30,33.9,26.4,29.7,15.7,5.7,76.0,Moderate or heavy rain shower,7.0
2022-07-31,32.9,26.5,29.4,15.8,24.0,77.0,Moderate or heavy rain shower,7.0
2022-08-01,32.5,26.5,29.4,17.6,9.5,76.0,Moderate or heavy rain shower,7.0
2022-08-02,32.2,26.9,29.3,16.6,5.7,73.0,Heavy rain at times,7.0
2022-08-03,34.2,26.6,29.7,14.8,1.8,73.0,Patchy rain possible,7.0
2022-08-04,33.9,27.4,30.1,12.2,1.0,75.0,Moderate rain at times,7.0
2022-08-05,28.2,26.3,27.2,10.9,27.5,89.0,Moderate or heavy rain shower,6.0
2022-08-06,26.2,24.5,25.4,9.7,24.7,93.0,Moderate or heavy rain shower,6.0
2022-08-07,27.6,24.5,25.7,13.0,29.96,94.0,Moderate or heavy rain shower,6.0
2022-08-08,31.2,24.5,27.6,11.0,18.5,83.0,Moderate or heavy rain shower,7.0
2022-08-09,33.1,26.3,28.9,9.7,16.3,76.0,Moderate or heavy rain shower,7.0
2022-08-10,30.5,25.4,27.2,14.8,21.5,81.0,Moderate or heavy rain shower,7.0
2022-08-11,26.9,24.1,25.4,17.4,48.6,92.0,Moderate or heavy rain shower,6.0
2022-08-12,25.5,24.4,24.9,16.2,38.51,95.0,Moderate or heavy rain shower,6.0
2022-08-13,30.1,24.4,26.8,13.3,5.4,88.0,Moderate rain at times,7.0
2022-08-14,32.1,26.3,28.6,13.0,2.0,83.0,Moderate rain at times,7.0
2022-08-15,32.3,26.4,28.8,18.0,0.8,83.0,Patchy rain possible,7.0
2022-08-16,33.0,26.6,29.2,18.4,2.9,80.0,Heavy rain at times,7.0
2022-08-17,33.3,26.4,29.0,14.8,3.0,78.0,Moderate rain at times,7.0
2022-08-18,33.5,26.2,29.4,13.0,4.3,79.0,Heavy rain at times,7.0
2022-08-19,33.6,26.8,29.6,13.0,7.2,77.0,Moderate or heavy rain shower,7.0
2022-08-20,31.5,26.4,28.6,12.6,34.2,80.0,Moderate or heavy rain shower,7.0
2022-08-21,28.2,25.0,26.6,14.8,19.6,89.0,Moderate or heavy rain shower,6.0
2022-08-22,31.5,24.5,27.6,14.0,5.1,85.0,Patchy rain possible,7.0
2022-08-23,33.3,26.4,29.3,12.6,2.4,80.0,Moderate rain at times,7.0
2022-08-24,34.4,26.7,29.7,9.4,5.2,78.0,Moderate or heavy rain shower,7.0
2022-08-25,32.4,26.3,28.6,26.2,54.2,80.0,Moderate or heavy rain shower,7.0
2022-08-26,28.2,24.6,26.0,26.0,44.28,92.0,Moderate or heavy rain shower,6.0
2022-08-27,30.0,25.1,27.2,16.4,1.9,89.0,Cloudy,7.0
2022-08-28,31.1,25.2,28.2,15.8,0.6,84.0,Patchy rain possible,7.0
2022-08-29,33.3,26.7,29.0,16.9,0.3,78.0,Patchy rain possible,7.0
2022-08-30,33.3,26.1,28.9,10.4,0.0,78.0,Cloudy,7.0
2022-08-31,34.2,25.6,29.1,9.0,0.6,76.0,Patchy rain possible,7.0
2022-09-01,32.4,25.6,28.4,11.0,19.7,79.0,Moderate rain at times,7.0
2022-09-02,33.6,25.2,28.5,8.6,3.5,79.0,Patchy rain possible,7.0
2022-09-03,34.0,25.5,28.7,8.6,0.9,79.0,Patchy rain possible,7.0
2022-09-04,33.3,25.3,28.5,11.2,9.7,72.0,Moderate or heavy rain shower,7.0
2022-09-05,33.8,24.2,28.1,14.0,0.0,65.0,Partly cloudy,8.0
2022-09-06,35.7,24.6,29.0,9.7,0.0,64.0,Partly cloudy,9.0
2022-09-07,33.2,25.1,28.3,15.5,6.7,70.0,Moderate rain at times,7.0
2022-09-08,28.8,24.8,26.5,17.3,56.1,85.0,Moderate or heavy rain shower,6.0
2022-09-09,26.1,23.6,24.8,10.8,35.6,95.0,Moderate or heavy rain shower,6.0
2022-09-10,30.6,23.3,26.2,7.9,16.3,85.0,Moderate or heavy rain shower,7.0
2022-09-11,32.0,23.8,27.3,9.7,4.3,79.0,Heavy rain at times,7.0
