Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,32.7,26.0,29.0,6.5,7.8,77.0,Moderate or heavy rain shower,7.0
2022-06-30,28.3,24.6,26.2,5.0,25.6,91.0,Moderate or heavy rain shower,6.0
2022-07-01,29.6,24.6,27.2,4.7,10.2,86.0,Moderate or heavy rain shower,6.0
2022-07-02,35.1,24.9,29.3,6.1,0.1,78.0,Patchy rain possible,8.0
2022-07-03,35.2,25.7,29.6,6.5,4.2,83.0,Patchy rain possible,8.0
2022-07-04,35.4,27.1,30.7,5.8,0.0,74.0,Cloudy,8.0
2022-07-05,36.3,27.3,30.4,7.2,0.3,79.0,Patchy rain possible,8.0
2022-07-06,29.8,25.6,28.0,4.7,4.88,92.0,Moderate rain at times,6.0
2022-07-07,28.3,24.4,26.8,5.4,15.9,90.0,Moderate or heavy rain shower,6.0
2022-07-08,30.8,23.6,26.8,5.4,6.1,87.0,Moderate rain at times,7.0
2022-07-09,29.7,24.4,26.9,5.8,9.6,87.0,Moderate or heavy rain shower,6.0
2022-07-10,31.7,24.7,27.5,7.2,2.1,89.0,Patchy rain possible,7.0
2022-07-11,32.7,24.9,28.0,8.3,5.9,83.0,Moderate rain at times,7.0
2022-07-12,31.4,25.1,27.5,6.5,4.4,85.0,Moderate rain at times,7.0
2022-07-13,28.6,25.3,26.9,5.8,4.7,89.0,Moderate rain at times,6.0
2022-07-14,28.3,24.7,26.2,5.2,6.0,91.0,Heavy rain at times,6.0
2022-07-15,31.3,24.4,27.6,6.1,5.2,87.0,Moderate or heavy rain shower,7.0
2022-07-16,33.5,25.5,29.0,5.8,0.0,83.0,Cloudy,7.0
2022-07-17,35.6,26.6,30.1,8.6,0.0,83.0,Cloudy,8.0
2022-07-18,37.2,27.1,31.1,6.5,0.0,81.0,Cloudy,8.0
2022-07-19,35.3,26.2,29.9,6.1,10.4,84.0,Patchy rain possible,8.0
2022-07-20,31.2,25.8,28.4,9.7,5.7,87.0,Heavy rain at times,7.0
2022-07-21,28.7,24.6,26.4,9.0,16.8,91.0,Moderate or heavy rain shower,6.0
2022-07-22,29.7,23.9,26.3,7.9,6.0,88.0,Moderate or heavy rain shower,6.0
2022-07-23,32.1,24.0,27.3,6.8,3.1,83.0,Moderate or heavy rain shower,7.0
2022-07-24,34.2,24.7,28.6,7.2,0.8,81.0,Patchy rain possible,7.0
2022-07-25,35.8,24.8,29.3,7.6,0.1,76.0,Patchy rain possible,8.0
2022-07-26,36.1,24.4,29.4,8.3,0.0,76.0,Sunny,9.0
2022-07-27,34.2,25.0,28.7,10.4,0.0,83.0,Cloudy,7.0
2022-07-28,35.4,25.0,29.5,7.2,0.1,81.0,Patchy rain possible,8.0
2022-07-29,33.9,25.5,28.9,6.5,0.0,83.0,Overcast,7.0
2022-07-30,30.2,25.7,27.9,6.1,16.5,89.0,Moderate or heavy rain shower,7.0
