Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,21.7,17.4,20.0,5.4,20.2,92.0,Moderate or heavy rain shower,5.0
2022-06-30,21.9,16.2,20.4,2.5,18.8,92.0,Moderate or heavy rain shower,5.0
2022-07-01,22.7,18.4,20.9,2.5,7.8,94.0,Moderate or heavy rain shower,5.0
2022-07-02,26.3,19.4,22.8,3.2,3.7,84.0,Heavy rain at times,6.0
2022-07-03,26.8,18.0,22.3,5.0,5.9,83.0,Heavy rain at times,6.0
2022-07-04,25.3,17.8,22.0,4.7,4.1,91.0,Moderate or heavy rain shower,6.0
2022-07-05,23.7,17.9,20.6,5.4,4.0,92.0,Moderate or heavy rain shower,5.0
2022-07-06,22.7,17.2,20.4,4.9,4.9,92.0,Moderate rain at times,5.0
2022-07-07,25.3,16.8,20.6,5.0,3.6,88.0,Heavy rain at times,6.0
2022-07-08,23.4,16.5,21.0,3.2,7.9,90.0,Heavy rain at times,5.0
2022-07-09,23.3,16.8,20.9,5.4,19.0,92.0,Moderate or heavy rain shower,5.0
2022-07-10,23.0,17.1,21.0,4.7,17.8,92.0,Moderate or heavy rain shower,5.0
2022-07-11,23.4,16.9,20.4,5.0,7.6,90.0,Moderate or heavy rain shower,5.0
2022-07-12,24.4,17.5,22.0,5.4,7.7,88.0,Moderate or heavy rain shower,5.0
2022-07-13,25.7,18.3,22.2,6.5,5.2,84.0,Moderate or heavy rain shower,6.0
2022-07-14,26.3,16.7,21.2,6.5,4.9,83.0,Moderate or heavy rain shower,6.0
2022-07-15,24.1,16.9,21.3,4.3,7.4,90.0,Moderate or heavy rain shower,5.0
2022-07-16,26.2,17.3,22.9,2.5,1.8,87.0,Patchy rain possible,6.0
2022-07-17,26.7,20.3,23.9,5.4,0.5,82.0,Patchy rain possible,6.0
2022-07-18,26.4,22.3,24.0,5.0,3.3,84.0,Moderate rain at times,6.0
2022-07-19,23.5,18.4,21.4,4.0,2.2,93.0,Patchy rain possible,5.0
2022-07-20,23.0,17.7,21.5,4.7,9.7,93.0,Moderate or heavy rain shower,5.0
2022-07-21,22.3,17.9,20.6,5.0,17.2,93.0,Moderate or heavy rain shower,5.0
2022-07-22,23.2,17.0,20.7,6.1,19.6,88.0,Moderate or heavy rain shower,5.0
2022-07-23,23.8,16.4,20.8,4.7,7.7,90.0,Moderate or heavy rain shower,5.0
2022-07-24,25.5,16.2,21.3,4.7,1.8,84.0,Moderate rain at times,6.0
2022-07-25,27.6,17.2,23.0,3.2,0.5,76.0,Patchy rain possible,6.0
2022-07-26,28.3,17.1,22.8,2.9,0.0,77.0,Cloudy,6.0
2022-07-27,27.8,18.6,23.0,4.3,0.1,78.0,Cloudy,6.0
2022-07-28,26.6,17.0,22.5,3.2,0.3,81.0,Patchy rain possible,6.0
2022-07-29,24.4,17.6,21.9,2.9,1.0,87.0,Moderate rain at times,5.0
2022-07-30,24.0,19.6,21.6,2.4,13.9,90.0,Moderate or heavy rain shower,5.0
2022-07-31,22.1,19.5,20.8,3.2,5.3,94.0,Moderate or heavy rain shower,5.0
2022-08-01,22.4,19.5,20.9,2.2,11.2,94.0,Moderate or heavy rain shower,5.0
2022-08-02,22.7,17.2,20.9,5.0,24.2,92.0,Moderate or heavy rain shower,5.0
2022-08-03,24.1,19.2,21.6,3.2,9.2,91.0,Moderate or heavy rain shower,5.0
2022-08-04,25.2,19.0,22.2,2.5,4.0,88.0,Heavy rain at times,6.0
2022-08-05,23.4,16.9,21.0,2.9,18.7,92.0,Moderate or heavy rain shower,5.0
2022-08-06,23.2,17.8,20.6,2.9,16.6,93.0,Moderate or heavy rain shower,5.0
2022-08-07,21.2,17.9,19.8,5.4,74.5,96.0,Moderate or heavy rain shower,5.0
2022-08-08,23.1,19.6,21.2,5.8,14.1,88.0,Moderate or heavy rain shower,5.0
2022-08-09,25.2,18.9,21.8,5.4,4.3,81.0,Heavy rain at times,6.0
2022-08-10,25.2,19.2,21.8,3.2,5.6,83.0,Moderate rain at times,6.0
2022-08-11,21.7,17.5,19.6,3.2,57.7,99.0,Moderate or heavy rain shower,5.0
2022-08-12,20.9,17.2,19.2,4.3,20.2,99.0,Moderate or heavy rain shower,5.0
2022-08-13,21.7,18.5,20.1,4.3,3.4,93.0,Moderate rain at times,5.0
2022-08-14,24.2,15.7,20.4,5.0,7.0,87.0,Moderate or heavy rain shower,5.0
2022-08-15,24.3,20.8,22.3,3.2,9.2,89.0,Moderate or heavy rain shower,5.0
2022-08-16,25.0,18.1,21.9,3.6,8.8,87.0,Moderate or heavy rain shower,5.0
2022-08-17,25.1,20.2,22.2,4.0,13.6,88.0,Moderate or heavy rain shower,6.0
2022-08-18,25.0,18.4,21.9,2.2,2.9,87.0,Moderate or heavy rain shower,6.0
2022-08-19,25.5,19.2,22.5,2.9,6.4,88.0,Moderate rain at times,6.0
2022-08-20,27.6,17.8,21.6,5.4,7.6,87.0,Moderate or heavy rain shower,6.0
2022-08-21,23.0,16.5,19.9,5.0,23.0,93.0,Moderate or heavy rain shower,5.0
2022-08-22,22.2,17.4,20.6,2.5,14.1,95.0,Heavy rain at times,5.0
2022-08-23,25.0,20.8,22.5,3.2,1.3,86.0,Moderate rain at times,6.0
2022-08-24,25.8,20.5,22.7,1.8,3.8,86.0,Heavy rain at times,6.0
2022-08-25,26.7,17.2,22.0,4.3,5.0,86.0,Heavy rain at times,6.0
2022-08-26,22.2,16.8,19.4,6.1,103.2,98.0,Moderate or heavy rain shower,5.0
2022-08-27,21.8,17.1,20.4,2.5,3.9,96.0,Patchy rain possible,5.0
2022-08-28,23.1,18.6,21.3,3.2,0.7,94.0,Patchy rain possible,5.0
2022-08-29,24.3,20.4,22.1,3.2,0.3,91.0,Patchy rain possible,5.0
2022-08-30,23.8,18.9,21.9,4.3,1.1,93.0,Moderate rain at times,5.0
2022-08-31,23.8,20.0,21.8,4.3,13.4,90.0,Moderate or heavy rain shower,5.0
2022-09-01,24.4,20.1,21.4,4.7,6.9,88.0,Moderate or heavy rain shower,5.0
2022-09-02,23.2,19.2,21.2,4.0,3.2,93.0,Patchy rain possible,5.0
2022-09-03,23.6,17.1,20.7,3.2,5.9,90.0,Patchy rain possible,5.0
2022-09-04,21.0,16.2,18.8,4.3,17.5,93.0,Moderate or heavy rain shower,5.0
2022-09-05,24.1,18.4,20.8,4.7,0.0,67.0,Partly cloudy,6.0
2022-09-06,24.8,19.0,21.7,6.1,0.0,62.0,Partly cloudy,6.0
2022-09-07,24.2,18.8,21.5,7.2,0.0,62.0,Partly cloudy,6.0
2022-09-08,21.3,18.0,19.9,5.4,17.6,81.0,Moderate or heavy rain shower,5.0
