Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,30.8,25.1,27.4,8.6,7.5,79.0,Heavy rain at times,7.0
2022-06-30,27.3,23.9,25.1,4.7,16.9,91.0,Moderate or heavy rain shower,6.0
2022-07-01,30.8,23.4,26.6,8.6,12.5,84.0,Moderate or heavy rain shower,7.0
2022-07-02,31.4,24.2,27.2,17.6,22.6,80.0,Moderate or heavy rain shower,7.0
2022-07-03,27.4,25.0,26.1,13.8,10.7,89.0,Moderate or heavy rain shower,6.0
2022-07-04,32.7,25.3,28.0,7.6,18.7,83.0,Moderate or heavy rain shower,7.0
2022-07-05,30.8,25.0,27.7,10.4,5.0,87.0,Moderate or heavy rain shower,7.0
2022-07-06,26.9,23.0,24.9,14.0,18.2,91.0,Moderate or heavy rain shower,6.0
2022-07-07,27.0,23.6,24.7,7.9,21.6,94.0,Moderate or heavy rain shower,6.0
2022-07-08,26.7,22.4,24.2,8.0,14.9,95.0,Moderate rain at times,6.0
2022-07-09,29.9,23.3,25.8,10.4,4.8,85.0,Heavy rain at times,6.0
2022-07-10,30.3,23.2,26.1,8.3,4.1,83.0,Moderate or heavy rain shower,7.0
2022-07-11,31.5,23.9,27.0,7.9,2.6,81.0,Heavy rain at times,7.0
2022-07-12,31.0,23.8,26.8,9.4,3.5,82.0,Patchy rain possible,7.0
2022-07-13,30.9,23.9,26.6,6.8,2.0,83.0,Moderate rain at times,7.0
2022-07-14,30.2,23.8,26.1,7.6,2.5,86.0,Moderate rain at times,7.0
2022-07-15,31.1,24.0,26.8,7.2,3.7,83.0,Heavy rain at times,7.0
2022-07-16,31.7,24.5,27.6,10.8,1.5,82.0,Patchy rain possible,7.0
2022-07-17,31.8,24.9,28.0,12.2,1.2,85.0,Patchy rain possible,7.0
2022-07-18,32.9,25.3,28.4,13.7,5.3,82.0,Patchy rain possible,7.0
2022-07-19,30.3,25.7,27.5,15.8,11.3,85.0,Moderate or heavy rain shower,7.0
2022-07-20,31.6,24.9,27.8,14.8,8.9,81.0,Moderate or heavy rain shower,7.0
2022-07-21,29.9,23.9,26.2,14.4,12.3,83.0,Moderate or heavy rain shower,6.0
2022-07-22,28.6,23.3,25.6,9.4,6.6,84.0,Moderate or heavy rain shower,6.0
2022-07-23,31.0,23.1,26.5,10.4,1.0,80.0,Patchy rain possible,7.0
2022-07-24,33.3,22.8,27.4,11.9,0.0,78.0,Partly cloudy,8.0
2022-07-25,33.1,23.0,27.4,11.5,0.0,75.0,Sunny,8.0
2022-07-26,33.2,22.6,27.2,13.3,0.0,75.0,Sunny,8.0
2022-07-27,33.2,22.6,27.4,14.4,0.0,76.0,Partly cloudy,8.0
2022-07-28,34.1,22.2,27.5,11.5,0.0,72.0,Sunny,8.0
2022-07-29,33.4,22.7,27.5,10.8,0.0,69.0,Sunny,8.0
2022-07-30,33.1,23.7,27.1,10.1,4.4,74.0,Moderate or heavy rain shower,7.0
2022-07-31,31.1,24.4,26.9,11.2,10.6,80.0,Moderate or heavy rain shower,7.0
2022-08-01,31.5,24.0,27.1,10.1,5.3,80.0,Moderate or heavy rain shower,7.0
2022-08-02,31.5,23.7,27.0,10.4,1.3,79.0,Patchy rain possible,7.0
2022-08-03,34.0,24.1,28.3,8.3,0.4,72.0,Patchy rain possible,7.0
2022-08-04,33.8,23.9,27.8,8.3,6.5,77.0,Moderate or heavy rain shower,7.0
2022-08-05,28.1,24.2,25.6,7.9,1.1,87.0,Patchy rain possible,6.0
2022-08-06,25.2,22.6,23.8,5.0,11.0,94.0,Moderate or heavy rain shower,6.0
2022-08-07,26.7,22.7,24.4,8.6,10.8,93.0,Moderate or heavy rain shower,6.0
2022-08-08,30.9,22.9,26.6,9.0,9.6,78.0,Moderate or heavy rain shower,7.0
2022-08-09,31.5,23.9,27.0,7.5,1.7,79.0,Moderate rain at times,7.0
2022-08-10,25.4,22.6,24.1,13.7,56.0,91.0,Moderate or heavy rain shower,6.0
2022-08-11,24.4,22.3,23.2,11.5,80.1,95.0,Moderate or heavy rain shower,5.0
2022-08-12,24.8,22.6,23.3,7.9,11.0,97.0,Moderate or heavy rain shower,5.0
2022-08-13,28.0,22.7,24.7,11.5,2.9,91.0,Heavy rain at times,6.0
2022-08-14,30.0,23.3,26.0,11.2,4.7,87.0,Moderate or heavy rain shower,7.0
2022-08-15,31.9,24.2,27.0,10.8,3.0,85.0,Heavy rain at times,7.0
2022-08-16,30.7,23.9,26.6,9.4,2.1,83.0,Patchy rain possible,7.0
2022-08-17,32.8,24.2,27.3,7.2,9.3,77.0,Moderate or heavy rain shower,7.0
2022-08-18,32.0,23.8,27.4,7.6,2.8,78.0,Moderate or heavy rain shower,7.0
2022-08-19,30.7,24.4,27.0,5.4,1.3,83.0,Moderate rain at times,7.0
2022-08-20,29.7,24.2,26.2,11.2,24.3,85.0,Moderate or heavy rain shower,6.0
2022-08-21,26.8,23.3,24.6,8.3,12.4,92.0,Moderate rain at times,6.0
2022-08-22,28.4,23.4,25.5,8.6,4.2,89.0,Moderate rain at times,6.0
2022-08-23,31.1,24.1,27.1,8.6,1.6,81.0,Moderate rain at times,7.0
2022-08-24,31.9,25.1,27.9,2.9,3.1,82.0,Moderate or heavy rain shower,7.0
2022-08-25,31.7,25.1,27.3,10.2,35.6,80.0,Moderate or heavy rain shower,7.0
2022-08-26,25.4,22.8,23.9,25.9,64.1,94.0,Moderate or heavy rain shower,6.0
2022-08-27,27.9,22.9,24.8,9.4,3.4,95.0,Patchy rain possible,6.0
2022-08-28,29.7,23.1,26.0,11.5,0.7,87.0,Patchy rain possible,6.0
2022-08-29,32.2,23.9,26.9,14.8,0.0,80.0,Cloudy,7.0
2022-08-30,30.8,23.0,26.4,7.9,0.0,81.0,Cloudy,7.0
2022-08-31,33.2,23.4,27.2,4.7,0.0,77.0,Overcast,7.0
2022-09-01,28.3,23.3,25.5,16.1,6.8,86.0,Patchy rain possible,6.0
2022-09-02,31.2,22.8,26.3,9.0,0.5,80.0,Patchy rain possible,7.0
2022-09-03,31.6,23.3,26.7,4.7,0.8,77.0,Patchy rain possible,7.0
2022-09-04,29.3,23.3,25.5,16.6,2.4,70.0,Heavy rain at times,6.0
2022-09-05,30.2,22.6,25.8,13.3,0.0,64.0,Partly cloudy,8.0
2022-09-06,33.0,22.3,26.8,12.6,0.0,59.0,Partly cloudy,8.0
2022-09-07,31.6,22.7,25.8,10.1,4.2,67.0,Moderate or heavy rain shower,7.0
2022-09-08,27.2,22.8,24.3,10.1,19.5,87.0,Moderate or heavy rain shower,6.0
2022-09-09,24.7,22.2,23.5,6.5,4.9,95.0,Heavy rain at times,5.0
2022-09-10,28.6,21.6,24.4,5.8,6.8,86.0,Moderate or heavy rain shower,6.0
2022-09-11,29.1,22.2,24.5,6.8,3.9,90.0,Moderate rain at times,6.0
2022-09-12,28.6,21.6,24.3,5.4,3.4,91.0,Heavy rain at times,6.0
2022-09-13,29.2,22.4,25.0,6.8,0.1,88.0,Patchy rain possible,6.0
2022-09-14,30.0,21.5,25.4,4.3,0.5,82.0,Patchy rain possible,7.0
2022-09-15,30.5,22.2,25.6,5.4,1.1,81.0,Patchy rain possible,7.0
2022-09-16,28.3,22.2,25.1,8.6,18.4,81.0,Moderate or heavy rain shower,6.0
2022-09-17,27.9,21.8,24.8,7.2,11.9,86.0,Moderate or heavy rain shower,6.0
2022-09-18,32.2,21.6,26.4,5.4,0.0,78.0,Overcast,7.0
2022-09-19,33.2,23.5,27.4,5.4,0.0,75.0,Overcast,7.0
2022-09-20,32.0,23.0,25.7,6.5,0.5,83.0,Patchy rain possible,7.0
2022-09-21,29.5,22.1,24.9,6.1,10.1,84.0,Moderate or heavy rain shower,6.0
2022-09-22,29.1,21.4,24.4,8.3,6.8,84.0,Moderate or heavy rain shower,6.0
2022-09-23,29.3,21.2,24.4,11.1,2.6,83.0,Heavy rain at times,6.0
2022-09-24,27.9,21.2,24.2,12.9,0.5,86.0,Patchy rain possible,6.0
2022-09-25,27.6,21.4,24.2,5.4,2.4,87.0,Moderate rain at times,6.0
