Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,28.9,24.4,26.4,5.0,6.2,86.0,Moderate rain at times,6.0
2022-06-30,27.3,23.0,25.2,3.2,20.8,86.0,Moderate or heavy rain shower,6.0
2022-07-01,27.7,23.2,25.3,3.2,3.7,90.0,Patchy rain possible,6.0
2022-07-02,33.7,24.4,28.5,4.7,0.5,78.0,Overcast,7.0
2022-07-03,34.0,25.0,29.5,5.4,0.3,71.0,Overcast,7.0
2022-07-04,34.8,24.6,29.3,4.3,1.9,82.0,Heavy rain at times,7.0
2022-07-05,30.8,24.7,27.5,4.3,1.2,86.0,Moderate rain at times,7.0
2022-07-06,30.0,23.9,26.5,5.0,2.0,85.0,Patchy rain possible,7.0
2022-07-07,32.1,23.3,26.9,5.8,1.1,79.0,Patchy rain possible,7.0
2022-07-08,28.6,22.4,25.0,4.7,7.7,87.0,Heavy rain at times,6.0
2022-07-09,28.7,22.9,25.4,7.2,13.4,84.0,Moderate or heavy rain shower,6.0
2022-07-10,29.3,23.7,25.7,6.8,2.8,89.0,Moderate or heavy rain shower,6.0
2022-07-11,29.6,23.7,26.2,6.5,2.8,84.0,Moderate rain at times,6.0
2022-07-12,30.3,24.0,26.3,7.2,2.4,79.0,Patchy rain possible,7.0
2022-07-13,30.5,23.6,26.4,7.2,4.5,79.0,Moderate rain at times,7.0
2022-07-14,30.6,23.4,26.2,7.2,1.1,77.0,Patchy rain possible,7.0
2022-07-15,30.8,22.7,26.5,6.1,2.0,83.0,Patchy rain possible,7.0
2022-07-16,32.4,23.6,27.7,6.5,1.7,80.0,Patchy rain possible,7.0
2022-07-17,34.8,26.5,29.8,4.3,0.2,77.0,Patchy rain possible,7.0
2022-07-18,33.1,27.0,29.4,5.0,0.3,81.0,Patchy rain possible,7.0
2022-07-19,28.8,24.4,27.2,3.2,4.6,93.0,Moderate rain at times,6.0
2022-07-20,27.9,23.2,25.3,5.0,7.6,93.0,Heavy rain at times,6.0
2022-07-21,26.2,21.8,24.1,4.3,13.3,95.0,Moderate or heavy rain shower,6.0
2022-07-22,27.8,21.9,24.4,6.8,8.3,86.0,Moderate rain at times,6.0
2022-07-23,29.3,23.1,25.6,6.5,6.9,86.0,Moderate or heavy rain shower,6.0
2022-07-24,31.8,24.1,27.1,6.8,2.8,82.0,Heavy rain at times,7.0
2022-07-25,32.6,24.6,28.0,5.0,1.9,78.0,Moderate rain at times,7.0
2022-07-26,33.9,24.9,28.7,5.8,1.1,75.0,Cloudy,7.0
2022-07-27,32.5,25.1,28.1,7.2,2.7,74.0,Moderate rain at times,7.0
2022-07-28,31.6,24.9,27.7,6.5,4.0,79.0,Moderate or heavy rain shower,7.0
2022-07-29,29.7,24.5,26.9,6.1,8.3,86.0,Moderate or heavy rain shower,6.0
2022-07-30,29.3,24.0,26.0,4.7,9.2,86.0,Moderate rain at times,6.0
2022-07-31,28.3,23.2,25.4,3.6,3.9,90.0,Patchy rain possible,6.0
2022-08-01,27.0,22.7,24.8,3.2,9.8,94.0,Moderate or heavy rain shower,6.0
2022-08-02,30.2,22.8,25.5,7.6,11.7,85.0,Moderate or heavy rain shower,7.0
2022-08-03,31.6,23.6,26.9,5.8,4.6,83.0,Moderate rain at times,7.0
2022-08-04,32.4,24.8,27.6,4.3,4.4,84.0,Patchy rain possible,7.0
2022-08-05,31.1,23.1,26.4,5.8,8.6,87.0,Moderate rain at times,7.0
2022-08-06,26.7,23.1,24.7,5.1,17.9,92.0,Moderate or heavy rain shower,6.0
2022-08-07,24.5,21.4,23.3,5.0,32.1,95.0,Moderate or heavy rain shower,5.0
2022-08-08,30.3,22.5,25.8,6.1,0.7,82.0,Patchy rain possible,7.0
2022-08-09,31.5,24.2,27.2,6.1,0.2,73.0,Patchy rain possible,7.0
2022-08-10,32.3,22.4,26.5,4.0,5.0,81.0,Patchy rain possible,7.0
2022-08-11,25.4,21.8,23.7,3.6,58.8,98.0,Moderate or heavy rain shower,6.0
2022-08-12,24.0,21.3,22.7,6.1,18.4,96.0,Moderate or heavy rain shower,5.0
2022-08-13,28.0,22.4,24.5,4.3,6.9,86.0,Moderate or heavy rain shower,6.0
2022-08-14,30.7,23.1,26.2,4.7,2.0,81.0,Patchy rain possible,7.0
2022-08-15,30.7,24.3,26.7,6.1,4.6,81.0,Moderate or heavy rain shower,7.0
2022-08-16,30.8,24.0,26.7,6.1,2.4,85.0,Moderate rain at times,7.0
2022-08-17,30.0,23.4,26.6,5.4,5.5,84.0,Heavy rain at times,7.0
2022-08-18,31.4,23.4,26.8,4.3,7.1,83.0,Patchy rain possible,7.0
2022-08-19,32.4,24.8,28.0,5.0,3.1,80.0,Patchy rain possible,7.0
2022-08-20,31.9,23.0,27.2,5.8,5.2,83.0,Overcast,7.0
2022-08-21,28.5,21.7,24.5,6.8,26.9,88.0,Moderate or heavy rain shower,6.0
2022-08-22,27.1,23.3,24.6,4.7,13.7,91.0,Heavy rain at times,6.0
2022-08-23,31.9,23.8,27.4,4.3,0.5,83.0,Patchy rain possible,7.0
2022-08-24,31.8,23.9,27.3,4.0,5.0,79.0,Heavy rain at times,7.0
2022-08-25,32.1,23.9,27.5,5.0,5.5,83.0,Patchy rain possible,7.0
2022-08-26,25.4,21.2,22.8,5.8,98.2,98.0,Moderate or heavy rain shower,6.0
2022-08-27,26.6,22.8,24.1,2.2,8.3,96.0,Heavy rain at times,6.0
2022-08-28,29.4,23.1,25.6,4.3,4.8,93.0,Patchy rain possible,6.0
2022-08-29,29.0,24.1,26.0,4.0,9.93,93.0,Moderate or heavy rain shower,6.0
2022-08-30,28.5,24.1,25.8,4.0,6.7,94.0,Moderate or heavy rain shower,6.0
2022-08-31,30.0,23.1,25.7,5.8,10.9,86.0,Moderate or heavy rain shower,6.0
2022-09-01,29.0,22.9,25.0,6.5,2.5,85.0,Patchy rain possible,6.0
2022-09-02,29.5,23.2,25.8,6.5,0.2,87.0,Patchy rain possible,6.0
2022-09-03,29.6,23.8,26.0,4.0,2.7,87.0,Patchy rain possible,6.0
2022-09-04,25.2,21.5,23.0,3.6,21.0,93.0,Moderate or heavy rain shower,6.0
2022-09-05,31.0,22.2,25.8,3.6,0.0,64.0,Partly cloudy,8.0
2022-09-06,32.5,23.7,27.4,3.6,0.0,59.0,Partly cloudy,8.0
2022-09-07,30.3,23.3,26.2,5.4,0.0,60.0,Partly cloudy,8.0
2022-09-08,25.5,21.8,23.6,4.3,12.7,77.0,Moderate rain at times,6.0
2022-09-09,23.6,21.3,22.8,5.4,11.3,96.0,Heavy rain at times,5.0
2022-09-10,26.8,21.8,24.0,4.0,3.2,87.0,Patchy rain possible,6.0
