Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,35.5,28.1,31.5,13.8,4.3,71.0,Moderate or heavy rain shower,8.0
2022-06-30,33.4,26.1,28.7,13.0,22.4,78.0,Moderate or heavy rain shower,7.0
2022-07-01,33.2,25.4,28.7,11.7,17.8,77.0,Moderate or heavy rain shower,7.0
2022-07-02,35.7,27.1,30.8,17.6,6.8,70.0,Moderate or heavy rain shower,8.0
2022-07-03,32.5,25.7,28.0,16.9,15.6,90.0,Moderate or heavy rain shower,7.0
2022-07-04,36.5,28.1,31.4,10.4,0.0,70.0,Cloudy,8.0
2022-07-05,35.7,28.5,31.2,10.8,2.9,74.0,Patchy rain possible,8.0
2022-07-06,32.5,26.0,29.0,13.0,3.3,82.0,Patchy rain possible,7.0
2022-07-07,30.6,26.5,28.4,13.2,9.8,82.0,Moderate rain at times,7.0
2022-07-08,31.3,25.6,28.0,11.2,6.8,81.0,Moderate or heavy rain shower,7.0
2022-07-09,30.9,26.1,28.3,15.5,9.0,79.0,Moderate or heavy rain shower,7.0
2022-07-10,31.8,26.5,28.8,17.6,10.4,78.0,Moderate or heavy rain shower,7.0
2022-07-11,31.9,26.6,28.8,17.3,13.8,79.0,Moderate or heavy rain shower,7.0
2022-07-12,31.8,27.0,28.9,14.9,4.3,78.0,Patchy rain possible,7.0
2022-07-13,31.5,26.8,28.5,14.5,7.6,80.0,Moderate or heavy rain shower,7.0
2022-07-14,30.5,25.6,27.8,12.2,18.2,85.0,Moderate or heavy rain shower,7.0
2022-07-15,32.4,25.7,28.9,13.0,5.8,80.0,Moderate or heavy rain shower,7.0
2022-07-16,33.9,27.2,29.9,15.5,0.0,76.0,Partly cloudy,8.0
2022-07-17,35.0,28.7,30.9,15.8,0.2,79.0,Partly cloudy,9.0
2022-07-18,37.3,29.0,31.9,15.8,0.0,75.0,Partly cloudy,9.0
2022-07-19,33.9,29.2,31.2,19.8,2.3,76.0,Patchy rain possible,7.0
2022-07-20,33.2,27.7,30.2,19.8,12.1,75.0,Moderate or heavy rain shower,7.0
2022-07-21,30.8,26.0,28.2,25.2,15.7,82.0,Moderate or heavy rain shower,7.0
2022-07-22,31.2,25.9,28.2,19.4,5.0,79.0,Moderate rain at times,7.0
2022-07-23,31.9,26.4,28.7,18.0,0.8,79.0,Patchy rain possible,7.0
2022-07-24,33.6,26.7,29.3,16.6,0.4,75.0,Patchy rain possible,7.0
2022-07-25,33.5,26.2,29.4,17.6,0.0,73.0,Sunny,8.0
2022-07-26,33.8,26.5,29.4,17.3,0.0,75.0,Partly cloudy,8.0
2022-07-27,32.7,26.9,29.5,16.6,0.0,76.0,Cloudy,7.0
2022-07-28,35.1,27.1,30.0,14.8,0.1,74.0,Patchy rain possible,8.0
2022-07-29,35.0,27.1,30.2,15.5,0.1,75.0,Patchy rain possible,8.0
2022-07-30,33.2,27.4,30.1,14.9,15.8,79.0,Moderate or heavy rain shower,7.0
2022-07-31,33.1,26.5,29.4,13.3,25.2,74.0,Moderate rain at times,7.0
2022-08-01,33.0,27.4,29.6,15.8,13.1,78.0,Moderate or heavy rain shower,7.0
2022-08-02,32.4,27.1,29.5,17.3,3.2,76.0,Moderate rain at times,7.0
2022-08-03,33.7,26.5,29.4,14.4,1.3,77.0,Patchy rain possible,7.0
2022-08-04,33.8,27.4,30.1,11.2,1.1,77.0,Moderate rain at times,7.0
2022-08-05,30.0,27.1,28.0,12.6,31.7,83.0,Moderate or heavy rain shower,7.0
2022-08-06,27.0,25.1,25.6,12.7,25.7,91.0,Moderate or heavy rain shower,6.0
2022-08-07,27.0,24.5,25.4,8.3,17.5,93.0,Heavy rain at times,6.0
2022-08-08,31.1,24.0,27.2,14.4,12.2,84.0,Moderate or heavy rain shower,7.0
2022-08-09,32.3,25.4,28.4,9.6,16.2,78.0,Moderate or heavy rain shower,7.0
2022-08-10,31.4,25.3,27.8,14.4,12.5,82.0,Moderate or heavy rain shower,7.0
2022-08-11,27.2,24.4,25.6,12.6,61.8,91.0,Moderate or heavy rain shower,6.0
2022-08-12,26.1,23.9,25.1,6.8,30.3,93.0,Moderate or heavy rain shower,6.0
2022-08-13,31.0,24.6,27.0,13.6,4.8,87.0,Heavy rain at times,7.0
2022-08-14,33.2,26.3,28.9,12.2,3.5,81.0,Heavy rain at times,7.0
2022-08-15,32.4,26.5,29.4,16.2,0.9,82.0,Patchy rain possible,7.0
2022-08-16,32.4,27.2,29.4,17.3,5.4,80.0,Moderate or heavy rain shower,7.0
2022-08-17,31.9,26.6,29.0,14.6,1.3,79.0,Patchy rain possible,7.0
2022-08-18,34.1,27.0,29.9,12.5,4.1,78.0,Heavy rain at times,7.0
2022-08-19,33.3,27.1,29.6,13.0,8.6,77.0,Moderate or heavy rain shower,7.0
2022-08-20,31.7,26.7,28.7,10.1,45.9,79.0,Moderate or heavy rain shower,7.0
2022-08-21,27.5,25.4,26.6,10.0,15.0,87.0,Moderate or heavy rain shower,6.0
2022-08-22,32.0,24.9,27.8,12.6,3.4,83.0,Patchy rain possible,7.0
2022-08-23,33.6,26.4,29.3,11.6,2.4,80.0,Moderate rain at times,7.0
2022-08-24,34.2,27.1,29.7,10.8,8.9,78.0,Moderate or heavy rain shower,7.0
2022-08-25,32.8,27.2,29.3,19.2,40.4,79.0,Moderate or heavy rain shower,7.0
2022-08-26,28.6,24.9,26.7,21.5,53.8,91.0,Moderate or heavy rain shower,6.0
2022-08-27,30.8,26.3,27.9,12.6,0.0,85.0,Cloudy,7.0
2022-08-28,31.9,26.0,28.5,19.1,0.6,82.0,Patchy rain possible,7.0
2022-08-29,32.5,27.1,29.2,19.8,0.6,77.0,Patchy rain possible,7.0
2022-08-30,31.7,26.3,28.6,13.0,0.0,79.0,Cloudy,7.0
2022-08-31,34.3,26.1,29.5,10.8,0.8,77.0,Moderate rain at times,7.0
2022-09-01,31.1,26.6,28.3,9.7,8.2,79.0,Moderate rain at times,7.0
2022-09-02,32.5,25.3,28.5,11.2,2.6,79.0,Patchy rain possible,7.0
2022-09-03,32.5,26.2,28.9,11.4,1.6,77.0,Patchy rain possible,7.0
2022-09-04,31.1,25.1,27.7,17.3,12.0,76.0,Moderate or heavy rain shower,7.0
2022-09-05,32.6,24.5,27.4,17.6,0.0,69.0,Cloudy,7.0
2022-09-06,34.3,24.3,29.0,16.2,0.0,63.0,Sunny,8.0
2022-09-07,30.9,25.0,27.6,17.3,6.1,72.0,Heavy rain at times,7.0
2022-09-08,26.0,24.3,25.3,16.6,42.0,93.0,Moderate or heavy rain shower,6.0
2022-09-09,25.0,23.8,24.1,11.2,31.1,97.0,Moderate or heavy rain shower,6.0
2022-09-10,29.5,23.5,25.9,8.6,15.3,86.0,Moderate or heavy rain shower,6.0
2022-09-11,31.2,24.0,26.9,9.7,3.1,82.0,Heavy rain at times,7.0
2022-09-12,30.1,23.9,26.6,10.4,0.7,85.0,Patchy rain possible,7.0
2022-09-13,30.3,24.2,26.8,8.6,0.4,84.0,Patchy rain possible,7.0
2022-09-14,31.7,24.1,27.2,11.9,0.1,81.0,Patchy rain possible,7.0
2022-09-15,31.3,25.1,27.6,12.6,2.0,82.0,Moderate rain at times,7.0
2022-09-16,28.2,25.4,26.6,9.4,18.7,88.0,Moderate or heavy rain shower,6.0
2022-09-17,28.8,24.9,26.2,9.7,26.5,89.0,Moderate or heavy rain shower,6.0
2022-09-18,32.1,23.9,27.6,10.8,0.2,81.0,Patchy rain possible,7.0
2022-09-19,34.3,25.2,29.0,12.2,0.1,76.0,Patchy rain possible,7.0
2022-09-20,34.3,26.0,29.0,12.6,1.8,77.0,Heavy rain at times,7.0
2022-09-21,30.4,24.9,27.2,19.4,24.2,81.0,Moderate or heavy rain shower,7.0
2022-09-22,29.1,23.6,26.0,19.6,14.3,89.0,Moderate or heavy rain shower,6.0
2022-09-23,29.6,23.7,26.5,14.4,10.8,83.0,Moderate rain at times,6.0
2022-09-24,29.3,23.2,25.9,20.0,13.3,85.0,Moderate or heavy rain shower,6.0
2022-09-25,29.5,23.9,26.1,16.9,9.0,85.0,Moderate or heavy rain shower,6.0
2022-09-26,31.2,23.2,26.7,13.3,0.8,82.0,Patchy rain possible,7.0
2022-09-27,33.0,24.1,27.8,11.5,0.9,74.0,Sunny,8.0
2022-09-28,25.7,23.5,24.7,24.5,20.5,89.0,Moderate or heavy rain shower,6.0
2022-09-29,26.4,22.8,24.6,21.2,33.5,92.0,Moderate or heavy rain shower,6.0
2022-09-30,27.4,23.3,24.7,14.4,20.3,93.0,Moderate or heavy rain shower,6.0
2022-10-01,28.5,23.9,25.6,14.0,27.3,91.0,Moderate or heavy rain shower,6.0
2022-10-02,28.1,24.4,25.7,12.6,22.6,90.0,Moderate or heavy rain shower,6.0
2022-10-03,29.4,23.5,26.1,16.9,4.6,86.0,Patchy rain possible,6.0
2022-10-04,30.4,23.3,26.5,13.3,6.1,85.0,Moderate or heavy rain shower,7.0
2022-10-05,30.2,24.2,26.6,12.2,4.9,86.0,Patchy rain possible,7.0
2022-10-06,29.7,24.0,26.5,16.2,4.1,84.0,Moderate or heavy rain shower,6.0
2022-10-07,27.5,23.4,25.0,10.4,11.2,91.0,Moderate or heavy rain shower,6.0
2022-10-08,27.5,23.5,25.3,16.6,10.9,86.0,Moderate rain at times,6.0
2022-10-09,25.2,20.8,23.4,21.6,12.9,94.0,Moderate or heavy rain shower,6.0
2022-10-10,22.4,18.5,20.4,29.9,0.0,77.0,Overcast,5.0
2022-10-11,26.8,18.5,21.9,13.0,0.0,62.0,Partly cloudy,7.0
2022-10-12,27.9,19.0,22.8,11.9,0.0,60.0,Partly cloudy,7.0
2022-10-13,29.3,18.9,23.4,17.3,0.0,58.0,Sunny,7.0
2022-10-14,28.6,18.9,23.4,23.8,0.0,57.0,Partly cloudy,7.0
2022-10-15,29.7,21.7,24.5,21.2,0.0,55.0,Cloudy,6.0
2022-10-16,30.1,19.5,24.1,22.3,0.0,56.0,Partly cloudy,8.0
2022-10-17,31.1,21.8,25.4,28.1,0.0,56.0,Sunny,8.0
2022-10-18,29.5,20.7,24.4,28.4,0.0,46.0,Sunny,7.0
2022-10-19,21.6,16.9,20.2,15.0,9.8,54.0,Moderate rain at times,5.0
2022-10-20,17.6,15.7,16.9,25.2,25.2,91.0,Moderate or heavy rain shower,4.0
2022-10-21,21.5,17.8,19.9,18.4,12.0,92.0,Moderate or heavy rain shower,5.0
2022-10-22,31.0,19.8,24.5,16.6,0.0,77.0,Cloudy,7.0
2022-10-23,32.8,21.2,26.1,12.2,0.0,70.0,Partly cloudy,8.0
2022-10-24,29.4,22.6,25.9,18.0,0.1,70.0,Patchy rain possible,6.0
2022-10-25,25.8,23.8,24.8,17.6,2.5,81.0,Heavy rain at times,6.0
2022-10-26,26.8,23.0,24.6,18.0,2.4,80.0,Patchy rain possible,6.0
2022-10-27,27.5,23.0,24.7,21.6,1.2,82.0,Patchy rain possible,6.0
2022-10-28,27.4,21.6,24.5,18.2,0.2,82.0,Patchy rain possible,6.0
2022-10-29,27.4,21.9,24.6,14.8,0.0,75.0,Cloudy,6.0
2022-10-30,30.3,21.7,25.4,13.0,0.0,68.0,Partly cloudy,8.0
2022-10-31,29.0,22.2,25.0,31.0,0.0,58.0,Partly cloudy,7.0
2022-11-01,29.4,20.5,24.3,28.4,0.0,50.0,Sunny,7.0
2022-11-02,29.9,18.3,23.3,14.0,0.0,50.0,Sunny,7.0
2022-11-03,30.3,17.5,23.6,14.4,0.0,52.0,Sunny,8.0
2022-11-04,30.5,20.2,24.7,11.2,0.0,59.0,Sunny,8.0
2022-11-05,28.7,20.7,24.1,17.6,0.0,65.0,Sunny,7.0
2022-11-06,27.6,20.2,23.3,13.0,0.0,73.0,Cloudy,6.0
2022-11-07,27.1,19.7,23.5,13.7,0.0,78.0,Overcast,6.0
2022-11-08,27.9,20.2,24.0,13.3,0.0,76.0,Cloudy,6.0
2022-11-09,28.5,20.4,24.4,14.8,0.6,75.0,Patchy rain possible,6.0
2022-11-10,27.6,22.2,24.9,15.4,1.9,80.0,Patchy rain possible,6.0
2022-11-11,27.7,22.9,25.0,16.9,1.6,82.0,Patchy rain possible,6.0
2022-11-12,28.4,22.8,25.3,15.5,0.8,81.0,Patchy rain possible,6.0
2022-11-13,29.3,22.2,25.5,13.9,2.0,79.0,Patchy rain possible,6.0
2022-11-14,29.5,23.4,26.2,18.2,1.0,75.0,Patchy rain possible,6.0
2022-11-15,28.9,23.8,26.2,16.6,2.2,80.0,Moderate rain at times,6.0
2022-11-16,30.1,24.2,26.6,17.6,0.8,77.0,Patchy rain possible,7.0
2022-11-17,29.7,24.2,26.6,18.0,0.4,79.0,Patchy rain possible,6.0
2022-11-18,29.5,24.6,26.7,16.6,0.8,77.0,Patchy rain possible,6.0
2022-11-19,29.3,24.6,26.4,19.1,1.2,76.0,Patchy rain possible,6.0
2022-11-20,27.7,23.0,25.2,18.0,0.1,76.0,Patchy rain possible,6.0
2022-11-21,27.1,22.9,25.0,16.2,0.5,81.0,Patchy rain possible,6.0
2022-11-22,28.1,23.4,25.4,13.7,3.4,80.0,Moderate rain at times,6.0
2022-11-23,25.5,23.8,24.4,16.2,1.6,88.0,Moderate rain at times,6.0
2022-11-24,24.3,23.4,23.9,13.0,12.7,88.0,Moderate or heavy rain shower,5.0
2022-11-25,26.9,23.4,24.6,13.0,29.7,85.0,Heavy rain at times,6.0
2022-11-26,27.2,23.3,24.9,16.6,95.1,85.0,Moderate or heavy rain shower,6.0
2022-11-27,29.3,24.3,26.4,22.7,0.4,85.0,Patchy rain possible,6.0
2022-11-28,29.8,25.1,26.9,22.0,0.0,84.0,Overcast,6.0
2022-11-29,28.9,25.6,26.8,19.1,0.9,87.0,Patchy rain possible,6.0
2022-11-30,27.9,19.7,24.3,25.4,6.4,84.0,Moderate or heavy rain shower,6.0
2022-12-01,19.9,14.1,16.1,16.8,0.9,84.0,Patchy rain possible,4.0
2022-12-02,14.7,12.3,13.6,19.8,0.0,79.0,Overcast,3.0
2022-12-03,20.2,14.9,17.8,9.4,0.0,79.0,Overcast,5.0
2022-12-04,20.2,17.6,19.1,12.2,0.0,83.0,Overcast,5.0
2022-12-05,17.4,14.9,15.7,22.7,0.5,82.0,Patchy rain possible,4.0
2022-12-06,18.7,14.2,16.4,11.2,0.0,78.0,Overcast,4.0
2022-12-07,17.5,16.3,17.1,13.7,0.0,77.0,Overcast,4.0
2022-12-08,19.6,16.7,17.8,12.6,0.0,76.0,Overcast,4.0
2022-12-09,20.6,16.4,18.3,10.1,0.0,77.0,Overcast,5.0
2022-12-10,19.3,17.5,18.6,11.5,2.0,79.0,Patchy rain possible,4.0
2022-12-11,19.8,17.2,18.2,9.0,0.4,74.0,Overcast,4.0
2022-12-12,19.5,16.1,17.3,10.4,0.0,66.0,Overcast,4.0
2022-12-13,21.1,13.9,17.1,13.0,0.0,62.0,Overcast,5.0
2022-12-14,22.1,13.9,17.0,14.0,0.0,53.0,Sunny,6.0
2022-12-15,22.6,12.5,17.1,13.0,0.0,62.0,Sunny,6.0
2022-12-16,21.1,15.2,17.9,17.3,0.0,69.0,Overcast,5.0
2022-12-17,17.7,14.6,15.5,29.5,0.0,49.0,Overcast,4.0
2022-12-18,18.7,12.7,14.9,23.4,0.0,34.0,Cloudy,4.0
2022-12-19,19.9,11.4,15.1,13.0,0.0,47.0,Partly cloudy,5.0
2022-12-20,20.6,13.2,16.8,13.4,0.0,67.0,Overcast,5.0
