Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,36.4,28.5,31.1,18.4,0.0,66.0,Overcast,8.0
2022-06-30,32.9,27.0,29.1,11.5,3.0,76.0,Moderate or heavy rain shower,7.0
2022-07-01,30.7,25.7,27.8,11.6,4.4,79.0,Patchy rain possible,7.0
2022-07-02,31.0,25.2,27.3,21.8,8.4,82.0,Moderate or heavy rain shower,7.0
2022-07-03,30.1,27.5,28.9,25.2,0.8,67.0,Patchy rain possible,7.0
2022-07-04,33.6,28.0,30.3,25.6,0.0,66.0,Sunny,8.0
2022-07-05,34.1,28.2,30.6,22.3,0.1,65.0,Patchy rain possible,7.0
2022-07-06,33.0,28.1,30.0,20.4,0.2,67.0,Patchy rain possible,7.0
2022-07-07,32.3,27.1,29.3,17.3,0.2,71.0,Cloudy,7.0
2022-07-08,30.6,26.3,28.3,12.6,1.7,77.0,Patchy rain possible,7.0
2022-07-09,30.3,25.4,27.3,13.6,0.4,76.0,Cloudy,7.0
2022-07-10,29.9,25.4,27.6,15.0,16.3,74.0,Moderate or heavy rain shower,6.0
2022-07-11,28.6,26.0,27.3,13.3,21.3,75.0,Moderate or heavy rain shower,6.0
2022-07-12,29.4,26.3,27.7,13.7,3.1,78.0,Patchy rain possible,6.0
2022-07-13,28.7,25.7,27.0,14.0,9.5,84.0,Moderate rain at times,6.0
2022-07-14,28.8,25.9,27.0,9.0,8.2,85.0,Moderate or heavy rain shower,6.0
2022-07-15,31.1,25.8,28.1,9.0,1.8,77.0,Moderate rain at times,7.0
2022-07-16,33.1,26.7,29.5,14.4,0.7,73.0,Patchy rain possible,7.0
2022-07-17,34.5,28.0,30.8,17.4,0.0,69.0,Partly cloudy,8.0
2022-07-18,36.2,28.3,31.3,20.9,0.0,67.0,Sunny,9.0
2022-07-19,35.2,28.2,30.8,17.6,1.9,70.0,Moderate or heavy rain shower,8.0
2022-07-20,28.8,24.4,26.0,15.5,31.0,89.0,Moderate or heavy rain shower,6.0
2022-07-21,29.7,25.7,27.3,12.2,26.9,80.0,Moderate or heavy rain shower,6.0
2022-07-22,30.7,24.8,27.5,16.2,4.7,75.0,Moderate or heavy rain shower,7.0
2022-07-23,32.3,26.1,28.5,12.6,2.2,79.0,Heavy rain at times,7.0
2022-07-24,32.2,25.8,28.4,17.6,0.0,76.0,Sunny,8.0
2022-07-25,32.4,25.4,28.3,14.4,0.0,72.0,Sunny,8.0
2022-07-26,32.8,24.6,28.4,15.5,0.0,74.0,Sunny,8.0
2022-07-27,35.1,26.4,29.5,14.8,0.0,76.0,Sunny,9.0
