Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,34.2,28.9,31.2,14.0,4.3,74.0,Moderate or heavy rain shower,7.0
2022-06-30,32.8,26.3,28.9,13.1,22.4,78.0,Moderate or heavy rain shower,7.0
2022-07-01,32.6,26.2,29.0,13.3,17.8,75.0,Moderate or heavy rain shower,7.0
2022-07-02,35.3,27.3,30.6,21.2,6.8,70.0,Moderate or heavy rain shower,8.0
2022-07-03,31.5,25.6,27.7,19.4,20.3,90.0,Moderate or heavy rain shower,7.0
2022-07-04,34.7,28.1,30.9,16.2,0.0,73.0,Overcast,7.0
2022-07-05,35.1,28.6,31.2,12.7,2.9,74.0,Patchy rain possible,8.0
2022-07-06,33.1,27.0,29.3,15.5,3.3,80.0,Patchy rain possible,7.0
2022-07-07,29.9,27.1,28.7,13.7,9.8,81.0,Moderate rain at times,6.0
2022-07-08,31.0,26.3,28.1,11.5,6.8,80.0,Moderate or heavy rain shower,7.0
2022-07-09,31.0,26.4,28.5,16.6,9.0,78.0,Moderate or heavy rain shower,7.0
2022-07-10,31.5,27.0,28.9,18.7,10.4,76.0,Moderate or heavy rain shower,7.0
2022-07-11,32.0,26.9,29.0,20.2,13.8,79.0,Moderate or heavy rain shower,7.0
2022-07-12,31.7,27.3,29.3,16.7,4.3,78.0,Patchy rain possible,7.0
2022-07-13,31.6,27.2,28.8,16.3,7.6,79.0,Moderate or heavy rain shower,7.0
2022-07-14,30.3,26.5,28.4,14.5,18.2,83.0,Moderate or heavy rain shower,7.0
2022-07-15,32.1,26.1,29.1,12.6,5.8,78.0,Moderate or heavy rain shower,7.0
2022-07-16,34.4,27.9,30.4,15.1,0.0,75.0,Cloudy,7.0
2022-07-17,34.4,29.2,31.0,18.8,0.2,79.0,Partly cloudy,8.0
2022-07-18,35.5,29.4,31.8,21.2,0.0,75.0,Partly cloudy,9.0
2022-07-19,33.9,29.6,31.3,24.0,2.3,77.0,Patchy rain possible,7.0
2022-07-20,32.7,28.3,30.3,24.0,12.1,76.0,Moderate or heavy rain shower,7.0
2022-07-21,30.9,26.3,28.6,26.3,15.7,79.0,Moderate or heavy rain shower,7.0
2022-07-22,31.2,26.9,28.8,20.5,5.0,76.0,Moderate rain at times,7.0
2022-07-23,32.2,26.9,29.1,18.7,0.8,77.0,Patchy rain possible,7.0
2022-07-24,32.4,27.3,29.4,17.3,0.4,74.0,Patchy rain possible,7.0
2022-07-25,32.4,26.8,29.5,17.6,0.0,71.0,Sunny,8.0
2022-07-26,34.1,27.2,29.8,18.4,0.0,74.0,Partly cloudy,8.0
2022-07-27,32.4,27.5,29.6,16.9,0.0,74.0,Partly cloudy,8.0
2022-07-28,33.5,27.7,29.9,15.5,0.1,72.0,Patchy rain possible,7.0
2022-07-29,34.2,27.6,30.2,14.8,0.1,72.0,Patchy rain possible,7.0
2022-07-30,32.5,28.0,30.1,15.4,15.8,77.0,Moderate or heavy rain shower,7.0
2022-07-31,32.4,27.4,29.6,14.0,25.2,75.0,Moderate rain at times,7.0
2022-08-01,33.0,27.9,29.9,18.4,13.1,76.0,Moderate or heavy rain shower,7.0
2022-08-02,32.6,27.7,29.8,18.0,3.2,74.0,Moderate rain at times,7.0
2022-08-03,33.7,27.3,29.9,15.1,1.3,74.0,Patchy rain possible,7.0
2022-08-04,33.6,28.1,30.4,12.2,1.1,75.0,Moderate rain at times,7.0
2022-08-05,29.3,27.5,28.2,13.4,31.7,82.0,Moderate or heavy rain shower,6.0
2022-08-06,27.5,25.2,25.9,11.6,25.7,89.0,Moderate or heavy rain shower,6.0
2022-08-07,27.4,24.9,25.8,9.7,17.5,92.0,Heavy rain at times,6.0
2022-08-08,31.1,24.3,27.4,14.8,12.2,84.0,Moderate or heavy rain shower,7.0
2022-08-09,32.0,25.8,28.7,10.8,16.2,77.0,Moderate or heavy rain shower,7.0
2022-08-10,31.0,25.5,27.7,16.2,12.5,82.0,Moderate or heavy rain shower,7.0
2022-08-11,27.5,24.4,25.8,15.5,61.8,91.0,Moderate or heavy rain shower,6.0
2022-08-12,26.4,24.8,25.5,7.9,30.3,92.0,Moderate or heavy rain shower,6.0
2022-08-13,30.4,25.0,27.1,14.6,4.8,87.0,Heavy rain at times,7.0
2022-08-14,32.6,27.2,29.1,11.5,3.5,81.0,Heavy rain at times,7.0
2022-08-15,32.8,27.1,29.6,16.6,0.9,81.0,Patchy rain possible,7.0
2022-08-16,32.7,27.7,29.5,17.9,5.4,79.0,Moderate or heavy rain shower,7.0
2022-08-17,31.6,27.2,29.4,15.0,1.3,78.0,Patchy rain possible,7.0
2022-08-18,33.9,27.4,30.0,13.7,4.1,77.0,Heavy rain at times,7.0
2022-08-19,33.8,27.6,30.1,13.9,8.6,77.0,Moderate or heavy rain shower,7.0
2022-08-20,30.5,27.1,28.7,10.8,45.9,76.0,Moderate or heavy rain shower,7.0
2022-08-21,28.0,25.8,27.0,10.6,15.0,85.0,Moderate or heavy rain shower,6.0
2022-08-22,31.3,25.2,28.0,14.4,3.4,82.0,Patchy rain possible,7.0
2022-08-23,32.9,27.0,29.6,12.5,2.4,79.0,Moderate rain at times,7.0
2022-08-24,34.6,27.6,30.2,12.2,8.9,77.0,Moderate or heavy rain shower,7.0
2022-08-25,31.9,27.3,29.1,20.2,40.4,79.0,Moderate or heavy rain shower,7.0
2022-08-26,28.3,25.7,26.9,22.7,53.8,90.0,Moderate or heavy rain shower,6.0
2022-08-27,30.9,25.8,28.2,15.5,0.0,83.0,Cloudy,7.0
2022-08-28,31.7,26.6,28.9,19.4,0.6,81.0,Patchy rain possible,7.0
2022-08-29,32.0,27.6,29.4,20.2,0.6,75.0,Patchy rain possible,7.0
2022-08-30,31.6,26.8,28.9,13.0,0.0,78.0,Overcast,7.0
2022-08-31,33.6,26.5,29.4,11.5,0.8,77.0,Moderate rain at times,7.0
2022-09-01,31.2,26.7,28.5,12.1,8.2,78.0,Moderate rain at times,7.0
2022-09-02,32.5,25.5,28.6,11.5,2.6,78.0,Patchy rain possible,7.0
2022-09-03,32.8,26.4,29.1,11.8,1.6,76.0,Patchy rain possible,7.0
2022-09-04,31.6,25.0,28.0,17.0,12.0,76.0,Moderate or heavy rain shower,7.0
2022-09-05,33.0,24.1,27.6,19.8,0.0,69.0,Partly cloudy,8.0
2022-09-06,34.8,24.5,29.0,17.3,0.0,64.0,Partly cloudy,8.0
2022-09-07,31.2,25.5,28.0,18.7,6.1,72.0,Heavy rain at times,7.0
2022-09-08,27.0,25.0,26.1,21.5,42.0,89.0,Moderate or heavy rain shower,6.0
2022-09-09,25.9,23.9,24.6,13.6,31.1,95.0,Moderate or heavy rain shower,6.0
2022-09-10,29.1,23.7,26.1,10.1,15.3,84.0,Moderate or heavy rain shower,6.0
2022-09-11,30.9,24.2,27.0,10.4,3.1,81.0,Heavy rain at times,7.0
2022-09-12,29.7,24.2,26.7,11.2,0.7,84.0,Patchy rain possible,6.0
2022-09-13,30.0,24.3,26.9,9.7,0.4,83.0,Patchy rain possible,6.0
2022-09-14,31.3,24.5,27.4,12.6,0.1,80.0,Patchy rain possible,7.0
2022-09-15,29.9,25.6,27.8,14.8,2.0,81.0,Moderate rain at times,6.0
2022-09-16,28.5,26.0,27.3,11.5,18.7,86.0,Moderate or heavy rain shower,6.0
2022-09-17,29.0,25.3,26.6,10.1,26.5,87.0,Moderate or heavy rain shower,6.0
2022-09-18,33.2,24.1,28.0,11.9,0.2,81.0,Patchy rain possible,7.0
2022-09-19,33.8,25.5,29.1,13.7,0.1,76.0,Patchy rain possible,7.0
2022-09-20,32.3,26.5,28.7,12.6,1.8,77.0,Heavy rain at times,7.0
2022-09-21,30.0,25.8,27.4,20.5,24.2,80.0,Moderate or heavy rain shower,7.0
2022-09-22,29.0,24.2,26.5,23.3,14.3,85.0,Moderate or heavy rain shower,6.0
2022-09-23,29.6,24.9,27.1,17.1,10.8,79.0,Moderate rain at times,6.0
2022-09-24,29.4,24.3,26.5,21.1,13.3,82.0,Moderate or heavy rain shower,6.0
2022-09-25,29.7,25.1,26.9,19.0,9.0,82.0,Moderate or heavy rain shower,6.0
2022-09-26,31.5,23.6,27.1,14.8,0.8,80.0,Patchy rain possible,7.0
2022-09-27,33.4,24.4,28.2,13.0,0.9,73.0,Sunny,8.0
2022-09-28,26.0,24.2,25.2,25.8,20.5,88.0,Moderate or heavy rain shower,6.0
2022-09-29,27.5,23.5,25.4,25.0,33.5,90.0,Moderate or heavy rain shower,6.0
2022-09-30,27.3,23.7,25.1,15.6,20.3,91.0,Moderate or heavy rain shower,6.0
2022-10-01,27.5,24.1,25.7,14.4,27.3,90.0,Moderate or heavy rain shower,6.0
2022-10-02,28.0,25.0,26.1,14.5,22.6,87.0,Moderate or heavy rain shower,6.0
2022-10-03,29.8,23.9,26.6,15.1,4.6,84.0,Patchy rain possible,6.0
2022-10-04,29.7,23.9,26.7,15.5,6.1,84.0,Moderate or heavy rain shower,6.0
2022-10-05,29.7,24.7,26.8,15.5,4.9,83.0,Patchy rain possible,6.0
2022-10-06,30.0,24.4,26.9,16.3,4.1,83.0,Moderate or heavy rain shower,7.0
2022-10-07,27.1,23.9,25.5,15.8,11.2,88.0,Moderate or heavy rain shower,6.0
2022-10-08,27.6,24.6,25.9,18.0,10.9,83.0,Moderate rain at times,6.0
2022-10-09,25.5,20.9,23.8,22.9,12.9,93.0,Moderate or heavy rain shower,6.0
2022-10-10,22.3,19.2,20.5,27.9,0.0,77.0,Overcast,5.0
2022-10-11,26.7,18.5,22.1,11.9,0.0,60.0,Partly cloudy,7.0
2022-10-12,28.5,19.3,23.5,11.9,0.0,58.0,Sunny,7.0
2022-10-13,29.2,19.3,23.8,16.6,0.0,57.0,Sunny,7.0
2022-10-14,28.8,19.2,23.8,24.5,0.0,55.0,Partly cloudy,7.0
2022-10-15,29.5,21.9,24.7,19.8,0.0,54.0,Partly cloudy,7.0
2022-10-16,29.7,19.8,24.4,23.0,0.0,55.0,Partly cloudy,7.0
2022-10-17,30.9,22.2,25.8,28.9,0.0,55.0,Sunny,8.0
2022-10-18,29.4,20.9,24.5,29.9,0.0,47.0,Sunny,7.0
2022-10-19,21.9,16.4,20.4,16.2,9.8,56.0,Moderate rain at times,5.0
2022-10-20,17.9,15.3,16.9,26.3,25.2,92.0,Moderate or heavy rain shower,4.0
2022-10-21,22.8,18.0,20.3,20.9,12.0,91.0,Moderate or heavy rain shower,5.0
2022-10-22,30.5,20.0,24.5,17.3,0.0,77.0,Overcast,7.0
2022-10-23,32.0,21.7,26.2,12.6,0.0,69.0,Partly cloudy,8.0
2022-10-24,29.3,23.4,26.2,17.0,0.1,70.0,Patchy rain possible,6.0
2022-10-25,26.4,24.2,25.5,17.6,2.5,78.0,Heavy rain at times,6.0
2022-10-26,27.1,23.5,25.0,17.4,2.4,78.0,Patchy rain possible,6.0
2022-10-27,27.3,23.8,25.2,19.9,1.2,80.0,Patchy rain possible,6.0
2022-10-28,27.6,22.5,24.9,16.2,0.2,80.0,Patchy rain possible,6.0
2022-10-29,27.7,22.5,25.0,17.3,0.0,72.0,Partly cloudy,7.0
2022-10-30,29.6,22.0,25.5,14.4,0.0,67.0,Partly cloudy,7.0
2022-10-31,28.9,22.2,25.1,31.0,0.0,57.0,Sunny,7.0
2022-11-01,29.3,21.4,24.6,30.8,0.0,48.0,Sunny,7.0
2022-11-02,29.7,19.3,23.8,15.1,0.0,50.0,Sunny,7.0
2022-11-03,29.9,18.7,23.9,16.9,0.0,53.0,Sunny,7.0
2022-11-04,30.0,21.3,25.0,15.5,0.0,60.0,Sunny,7.0
2022-11-05,28.3,22.5,24.8,17.5,0.0,67.0,Sunny,7.0
2022-11-06,26.2,21.5,23.4,14.0,0.0,74.0,Cloudy,6.0
2022-11-07,26.9,21.4,24.1,14.0,0.0,77.0,Overcast,6.0
2022-11-08,28.0,20.8,24.4,12.9,0.0,76.0,Overcast,6.0
2022-11-09,28.3,21.4,24.5,15.7,0.6,76.0,Patchy rain possible,6.0
2022-11-10,27.9,22.8,25.1,17.9,1.9,80.0,Patchy rain possible,6.0
2022-11-11,27.6,23.4,25.1,19.4,1.6,82.0,Patchy rain possible,6.0
2022-11-12,27.5,23.3,25.2,16.7,0.8,82.0,Patchy rain possible,6.0
2022-11-13,28.4,22.7,25.4,15.8,2.0,80.0,Patchy rain possible,6.0
2022-11-14,29.0,24.2,26.2,17.2,1.0,77.0,Patchy rain possible,6.0
2022-11-15,28.5,24.4,26.2,18.4,2.2,81.0,Moderate rain at times,6.0
2022-11-16,29.6,24.5,26.6,16.8,0.8,77.0,Patchy rain possible,6.0
2022-11-17,29.0,24.5,26.5,18.7,0.4,79.0,Patchy rain possible,6.0
2022-11-18,28.8,24.8,26.6,16.1,0.8,78.0,Patchy rain possible,6.0
2022-11-19,28.9,24.9,26.4,20.9,1.2,77.0,Patchy rain possible,6.0
2022-11-20,27.6,23.4,25.3,17.9,0.1,76.0,Patchy rain possible,6.0
2022-11-21,27.3,23.6,25.3,20.4,0.5,80.0,Patchy rain possible,6.0
2022-11-22,27.1,24.1,25.4,17.0,3.4,81.0,Moderate rain at times,6.0
2022-11-23,25.3,23.7,24.4,15.5,1.6,87.0,Moderate rain at times,6.0
2022-11-24,24.4,23.7,24.0,15.8,12.7,88.0,Moderate or heavy rain shower,5.0
2022-11-25,26.3,23.6,24.7,15.4,29.7,85.0,Heavy rain at times,6.0
2022-11-26,26.7,24.0,24.9,16.9,95.1,85.0,Moderate or heavy rain shower,6.0
2022-11-27,28.6,24.6,26.4,24.8,0.4,85.0,Patchy rain possible,6.0
2022-11-28,30.5,25.4,27.2,25.9,0.0,86.0,Overcast,7.0
2022-11-29,28.9,25.6,26.9,22.0,0.9,87.0,Patchy rain possible,6.0
2022-11-30,27.4,21.1,24.6,25.6,6.4,83.0,Moderate or heavy rain shower,6.0
2022-12-01,20.7,14.8,17.1,20.0,0.9,83.0,Patchy rain possible,5.0
