Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,33.0,26.8,29.2,7.9,10.8,79.0,Moderate or heavy rain shower,7.0
2022-06-30,29.9,25.7,27.6,5.4,12.4,85.0,Moderate or heavy rain shower,6.0
2022-07-01,32.4,24.5,28.1,6.5,9.1,81.0,Moderate or heavy rain shower,7.0
2022-07-02,35.7,25.7,29.7,9.4,8.5,73.0,Moderate or heavy rain shower,8.0
2022-07-03,32.1,26.8,28.7,9.4,18.4,88.0,Patchy rain possible,7.0
2022-07-04,33.6,27.8,30.2,7.2,5.8,78.0,Moderate or heavy rain shower,7.0
2022-07-05,32.3,26.3,29.1,4.7,8.9,86.0,Patchy rain possible,7.0
2022-07-06,28.5,25.1,26.5,4.0,19.5,91.0,Moderate or heavy rain shower,6.0
2022-07-07,28.8,25.0,26.7,8.3,23.7,89.0,Moderate or heavy rain shower,6.0
2022-07-08,29.7,24.6,26.2,8.6,11.0,87.0,Moderate or heavy rain shower,6.0
2022-07-09,30.4,25.3,27.5,11.9,3.7,85.0,Patchy rain possible,7.0
2022-07-10,32.3,25.0,28.0,11.9,1.7,84.0,Patchy rain possible,7.0
2022-07-11,33.3,25.7,28.8,8.6,5.7,79.0,Heavy rain at times,7.0
2022-07-12,32.1,25.9,28.5,10.1,5.7,80.0,Patchy rain possible,7.0
2022-07-13,32.2,25.7,28.2,10.4,7.5,81.0,Moderate or heavy rain shower,7.0
2022-07-14,30.4,25.1,27.5,7.6,3.9,85.0,Moderate rain at times,7.0
2022-07-15,33.5,25.3,28.8,8.6,3.1,80.0,Patchy rain possible,7.0
2022-07-16,33.2,26.0,29.2,9.0,0.5,81.0,Patchy rain possible,7.0
2022-07-17,35.0,26.7,30.0,8.3,0.0,83.0,Overcast,8.0
2022-07-18,35.3,26.8,29.9,10.8,3.0,84.0,Overcast,8.0
2022-07-19,33.3,25.8,29.0,11.2,6.4,88.0,Moderate rain at times,7.0
2022-07-20,31.1,26.4,28.4,14.8,7.8,84.0,Heavy rain at times,7.0
2022-07-21,30.0,24.7,27.3,12.4,14.9,86.0,Moderate or heavy rain shower,7.0
2022-07-22,31.0,24.2,27.1,14.8,9.2,83.0,Moderate or heavy rain shower,7.0
2022-07-23,32.6,24.6,27.9,7.9,2.3,82.0,Heavy rain at times,7.0
2022-07-24,33.7,25.1,28.7,9.0,0.4,79.0,Patchy rain possible,7.0
2022-07-25,35.6,24.8,29.3,10.4,0.0,74.0,Partly cloudy,9.0
2022-07-26,35.7,24.7,29.3,12.2,0.0,75.0,Partly cloudy,9.0
2022-07-27,32.8,25.3,28.7,10.1,0.0,80.0,Overcast,7.0
2022-07-28,35.5,24.7,29.3,8.3,0.5,76.0,Patchy rain possible,8.0
2022-07-29,33.8,25.2,29.1,6.8,0.0,78.0,Cloudy,7.0
2022-07-30,32.3,25.7,28.2,11.5,17.1,85.0,Moderate or heavy rain shower,7.0
2022-07-31,32.2,24.2,27.6,6.8,12.1,84.0,Moderate or heavy rain shower,7.0
2022-08-01,32.5,25.2,28.1,5.0,6.9,86.0,Moderate rain at times,7.0
2022-08-02,31.8,25.3,28.2,9.4,5.7,84.0,Moderate or heavy rain shower,7.0
2022-08-03,34.5,25.1,29.0,8.3,1.4,80.0,Patchy rain possible,7.0
2022-08-04,33.1,25.6,28.9,7.6,1.4,83.0,Moderate rain at times,7.0
2022-08-05,29.0,25.8,27.1,10.1,33.4,87.0,Moderate or heavy rain shower,6.0
2022-08-06,27.6,24.5,25.8,8.6,20.1,91.0,Moderate or heavy rain shower,6.0
2022-08-07,27.0,23.7,24.8,7.6,18.5,94.0,Moderate or heavy rain shower,6.0
2022-08-08,33.3,23.8,27.8,6.1,3.0,80.0,Moderate rain at times,7.0
2022-08-09,34.6,24.4,28.7,5.0,6.3,79.0,Patchy rain possible,7.0
2022-08-10,30.2,24.2,26.8,9.4,18.6,86.0,Moderate or heavy rain shower,7.0
2022-08-11,25.5,23.8,24.5,9.1,68.5,97.0,Moderate or heavy rain shower,6.0
2022-08-12,25.8,23.5,24.2,6.1,36.2,97.0,Moderate or heavy rain shower,6.0
2022-08-13,31.3,23.8,26.4,8.3,12.6,89.0,Moderate or heavy rain shower,7.0
2022-08-14,32.3,24.5,27.7,9.0,3.8,86.0,Heavy rain at times,7.0
2022-08-15,32.0,25.3,28.0,9.0,6.1,88.0,Moderate rain at times,7.0
2022-08-16,31.7,25.5,28.0,10.1,2.4,88.0,Patchy rain possible,7.0
2022-08-17,33.5,25.3,28.9,8.3,9.9,77.0,Moderate or heavy rain shower,7.0
2022-08-18,33.8,25.6,29.1,8.6,1.3,80.0,Patchy rain possible,7.0
2022-08-19,33.4,25.7,28.9,6.1,7.6,81.0,Moderate or heavy rain shower,7.0
2022-08-20,31.7,25.6,28.1,7.6,33.3,84.0,Moderate or heavy rain shower,7.0
2022-08-21,28.8,24.6,26.5,8.3,21.8,90.0,Moderate or heavy rain shower,6.0
2022-08-22,30.8,24.4,26.9,5.8,2.9,89.0,Patchy rain possible,7.0
2022-08-23,33.4,25.1,28.5,6.1,1.7,83.0,Patchy rain possible,7.0
2022-08-24,34.4,26.0,29.1,6.1,11.0,82.0,Moderate or heavy rain shower,7.0
2022-08-25,33.0,25.6,28.7,6.2,24.9,83.0,Moderate or heavy rain shower,7.0
2022-08-26,27.2,23.9,25.3,21.6,73.58,95.0,Moderate or heavy rain shower,6.0
2022-08-27,30.1,23.6,26.6,11.2,1.0,91.0,Overcast,7.0
2022-08-28,32.3,24.4,27.5,11.5,0.8,88.0,Patchy rain possible,7.0
2022-08-29,32.2,25.4,28.0,14.8,0.5,85.0,Patchy rain possible,7.0
2022-08-30,31.6,24.6,27.6,8.3,0.0,85.0,Overcast,7.0
2022-08-31,34.9,24.4,29.1,4.7,0.2,75.0,Patchy rain possible,7.0
2022-09-01,29.8,24.7,26.9,7.9,7.5,88.0,Heavy rain at times,6.0
2022-09-02,33.7,24.3,28.0,6.1,1.0,82.0,Moderate rain at times,7.0
2022-09-03,33.3,24.4,28.0,7.6,0.2,83.0,Patchy rain possible,7.0
2022-09-04,31.1,25.0,27.2,9.0,5.4,75.0,Moderate or heavy rain shower,7.0
2022-09-05,32.4,23.1,27.1,8.3,0.0,67.0,Partly cloudy,8.0
2022-09-06,35.4,23.5,28.6,7.9,0.0,62.0,Cloudy,8.0
2022-09-07,33.6,23.6,27.5,6.5,3.0,67.0,Moderate or heavy rain shower,7.0
2022-09-08,26.3,23.9,25.0,8.6,41.8,91.0,Moderate or heavy rain shower,6.0
2022-09-09,26.9,23.5,24.9,5.0,11.5,92.0,Heavy rain at times,6.0
2022-09-10,30.7,23.1,25.9,6.8,7.0,86.0,Moderate or heavy rain shower,7.0
2022-09-11,29.6,23.4,25.7,6.8,12.0,89.0,Moderate or heavy rain shower,6.0
2022-09-12,29.7,23.3,26.0,5.8,2.2,87.0,Patchy rain possible,6.0
2022-09-13,29.3,23.8,26.1,6.5,0.3,85.0,Patchy rain possible,6.0
2022-09-14,32.3,23.5,27.0,8.3,0.6,77.0,Patchy rain possible,7.0
2022-09-15,32.0,23.0,26.7,9.0,4.1,80.0,Moderate or heavy rain shower,7.0
2022-09-16,28.5,23.9,25.7,8.6,58.3,89.0,Moderate or heavy rain shower,6.0
2022-09-17,30.0,24.0,26.0,5.0,24.2,88.0,Moderate or heavy rain shower,7.0
2022-09-18,33.5,23.4,27.7,6.1,0.1,79.0,Patchy rain possible,7.0
2022-09-19,34.0,24.4,28.7,7.6,0.0,77.0,Partly cloudy,8.0
2022-09-20,34.0,24.5,28.0,6.1,0.0,81.0,Cloudy,7.0
2022-09-21,31.2,23.7,26.8,6.5,21.8,82.0,Moderate or heavy rain shower,7.0
2022-09-22,29.9,23.3,26.1,9.4,8.1,85.0,Moderate or heavy rain shower,6.0
2022-09-23,31.9,22.7,26.5,7.2,4.1,81.0,Heavy rain at times,7.0
2022-09-24,30.0,23.0,26.1,6.5,6.2,82.0,Patchy rain possible,7.0
2022-09-25,29.4,22.7,25.7,5.8,3.0,84.0,Patchy rain possible,6.0
2022-09-26,32.1,22.8,26.6,7.2,0.3,81.0,Patchy rain possible,7.0
2022-09-27,33.8,23.3,27.8,5.8,0.0,75.0,Overcast,7.0
2022-09-28,27.9,22.9,25.5,10.3,26.4,83.0,Moderate or heavy rain shower,6.0
2022-09-29,26.1,22.3,23.6,13.3,24.9,91.0,Heavy rain at times,6.0
2022-09-30,26.2,22.9,24.0,6.8,21.03,94.0,Moderate or heavy rain shower,6.0
2022-10-01,28.0,23.6,24.9,5.8,32.5,92.0,Moderate or heavy rain shower,6.0
2022-10-02,28.0,23.7,25.1,10.1,36.7,91.0,Moderate or heavy rain shower,6.0
2022-10-03,31.0,22.9,26.0,8.3,1.3,86.0,Patchy rain possible,7.0
2022-10-04,30.7,23.0,26.2,6.1,0.3,83.0,Patchy rain possible,7.0
2022-10-05,32.7,23.2,26.9,9.4,0.4,78.0,Patchy rain possible,7.0
2022-10-06,31.0,23.2,26.3,8.6,1.5,82.0,Patchy rain possible,7.0
2022-10-07,29.0,23.0,25.5,8.3,2.2,85.0,Patchy rain possible,6.0
2022-10-08,27.2,23.4,25.0,7.6,2.8,89.0,Patchy rain possible,6.0
2022-10-09,25.8,20.6,23.5,16.6,7.6,85.0,Heavy rain at times,6.0
2022-10-10,22.1,19.2,20.2,11.9,0.0,80.0,Overcast,5.0
2022-10-11,27.1,17.8,21.4,8.3,0.0,58.0,Partly cloudy,7.0
2022-10-12,28.6,17.1,21.7,9.0,0.0,56.0,Partly cloudy,7.0
2022-10-13,29.8,18.4,22.9,7.9,0.0,53.0,Sunny,7.0
2022-10-14,30.6,18.1,23.3,10.4,0.0,52.0,Sunny,8.0
2022-10-15,30.1,18.4,23.3,10.1,0.0,49.0,Partly cloudy,8.0
2022-10-16,31.9,17.6,24.0,10.8,0.0,51.0,Sunny,8.0
2022-10-17,31.8,20.0,25.0,15.1,0.0,54.0,Sunny,8.0
2022-10-18,30.4,18.4,23.6,13.3,0.0,46.0,Sunny,8.0
2022-10-19,24.6,17.9,20.9,8.6,2.8,47.0,Patchy rain possible,5.0
2022-10-20,18.1,16.0,17.0,7.2,37.2,92.0,Moderate or heavy rain shower,4.0
2022-10-21,24.2,18.2,21.1,6.8,6.3,88.0,Moderate or heavy rain shower,5.0
2022-10-22,30.8,19.7,24.6,6.8,0.0,79.0,Cloudy,7.0
2022-10-23,32.4,21.9,26.4,5.4,0.0,67.0,Partly cloudy,8.0
