Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-06-29,34.1,25.9,29.5,10.8,8.12,75.0,Moderate or heavy rain shower,7.0
2022-06-30,29.2,25.1,26.6,8.3,30.0,87.0,Moderate or heavy rain shower,6.0
2022-07-01,32.3,24.4,28.3,6.8,8.4,78.0,Moderate or heavy rain shower,7.0
2022-07-02,35.7,26.0,30.7,13.0,0.4,72.0,Patchy rain possible,8.0
2022-07-03,34.0,25.8,29.2,13.7,4.1,83.0,Patchy rain possible,7.0
2022-07-04,33.7,27.2,30.4,8.6,0.0,79.0,Cloudy,7.0
2022-07-05,33.6,27.2,30.0,7.6,2.48,81.0,Cloudy,7.0
2022-07-06,29.5,25.5,27.3,5.0,12.27,90.0,Moderate or heavy rain shower,6.0
2022-07-07,30.1,25.6,27.5,9.7,17.2,83.0,Moderate or heavy rain shower,7.0
2022-07-08,29.9,24.7,26.6,11.5,12.1,84.0,Moderate or heavy rain shower,6.0
2022-07-09,31.7,25.1,27.6,11.8,4.6,82.0,Moderate rain at times,7.0
2022-07-10,32.6,25.1,28.1,13.2,1.3,83.0,Patchy rain possible,7.0
2022-07-11,33.7,25.5,28.8,12.4,7.0,78.0,Moderate or heavy rain shower,7.0
2022-07-12,32.2,26.1,28.3,10.8,5.1,80.0,Moderate rain at times,7.0
2022-07-13,30.8,25.8,27.9,10.4,6.2,80.0,Heavy rain at times,7.0
2022-07-14,29.2,25.1,27.3,7.6,5.6,85.0,Heavy rain at times,6.0
2022-07-15,32.9,25.3,28.7,10.1,1.4,80.0,Patchy rain possible,7.0
2022-07-16,34.5,26.0,29.6,11.9,0.0,79.0,Overcast,7.0
2022-07-17,36.2,27.1,30.7,13.0,0.0,80.0,Overcast,8.0
2022-07-18,35.4,27.3,30.8,14.8,0.0,80.0,Overcast,8.0
2022-07-19,35.1,26.7,29.8,13.2,10.9,83.0,Patchy rain possible,8.0
2022-07-20,32.0,26.0,28.6,16.3,6.5,82.0,Heavy rain at times,7.0
2022-07-21,30.5,25.0,27.1,15.1,15.1,84.0,Heavy rain at times,7.0
2022-07-22,30.0,24.4,26.8,11.9,7.2,84.0,Moderate or heavy rain shower,6.0
2022-07-23,33.0,24.3,28.0,11.6,1.0,80.0,Patchy rain possible,7.0
2022-07-24,34.6,25.2,29.1,13.7,0.1,77.0,Patchy rain possible,7.0
2022-07-25,35.8,25.3,29.8,14.0,0.0,72.0,Partly cloudy,9.0
2022-07-26,36.0,25.1,29.8,15.8,0.0,73.0,Partly cloudy,9.0
2022-07-27,33.1,25.5,29.0,12.7,0.0,80.0,Overcast,7.0
2022-07-28,35.1,25.4,29.8,11.9,0.0,76.0,Overcast,8.0
2022-07-29,34.0,25.9,29.5,10.4,0.0,79.0,Overcast,7.0
2022-07-30,33.0,25.4,28.3,11.9,20.2,84.0,Moderate or heavy rain shower,7.0
2022-07-31,32.8,23.6,27.4,7.9,12.6,77.0,Heavy rain at times,7.0
2022-08-01,32.5,24.4,27.6,8.6,7.8,86.0,Moderate or heavy rain shower,7.0
2022-08-02,30.9,25.0,27.8,10.4,2.8,85.0,Moderate rain at times,7.0
2022-08-03,33.4,24.6,28.7,7.9,0.2,82.0,Patchy rain possible,7.0
2022-08-04,34.6,25.8,29.3,8.3,0.5,81.0,Patchy rain possible,7.0
2022-08-05,28.5,25.9,27.3,11.2,18.5,89.0,Moderate or heavy rain shower,6.0
2022-08-06,26.7,24.6,25.7,11.9,39.4,92.0,Moderate or heavy rain shower,6.0
2022-08-07,25.8,23.6,24.9,8.6,19.3,93.0,Moderate or heavy rain shower,6.0
2022-08-08,33.3,22.9,27.1,9.7,7.2,82.0,Moderate or heavy rain shower,7.0
2022-08-09,33.9,23.8,28.4,7.9,6.1,77.0,Patchy rain possible,7.0
2022-08-10,32.4,24.3,27.6,12.2,19.8,82.0,Moderate or heavy rain shower,7.0
2022-08-11,25.1,23.7,24.5,11.3,62.2,96.0,Moderate or heavy rain shower,6.0
2022-08-12,24.8,23.1,24.1,8.6,28.7,96.0,Moderate or heavy rain shower,5.0
2022-08-13,31.6,23.5,26.4,10.1,9.3,87.0,Moderate or heavy rain shower,7.0
